AD_ax (m/s^2),AD_ay (m/s^2),AD_az (m/s^2)
5.209570237421611190e-03,5.014011871801045926e-03,7.967308770858813616e-03
3.672880522071106726e-03,3.509692036085609347e-03,5.660537136261985409e-03
3.004284612138657766e-03,2.893183266000872930e-03,4.576522448588953712e-03
2.582730052230741528e-03,2.494955881349602330e-03,3.987427004655544165e-03
2.320353319523975246e-03,2.249732198488886732e-03,3.549804334266428059e-03
2.130594253425945137e-03,2.047587025211091913e-03,3.242665399977385891e-03
1.968112801106462143e-03,1.911222277958402570e-03,2.999661967977296662e-03
1.842506127497636195e-03,1.777439041102610914e-03,2.828851938957749942e-03
1.747609440321715732e-03,1.680730670320184630e-03,2.658272061703232519e-03
1.649153971688165467e-03,1.587682895487727355e-03,2.507074108044638101e-03
1.136995204965938339e-03,1.128035430450467259e-03,1.781106583910792513e-03
9.292995050274198074e-04,9.145172027749849534e-04,1.456072916422005000e-03
7.999983108543596210e-04,7.965726184120749693e-04,1.274905816311555683e-03
7.335473282730293944e-04,7.132771410257715810e-04,1.117010923665480351e-03
6.678484720507417774e-04,6.346530637600713296e-04,1.031041032366853457e-03
6.126517797135334030e-04,6.039082785471717703e-04,9.397940275045895157e-04
5.612365045423848729e-04,5.567279582245856411e-04,9.078178500454165420e-04
5.372382028937443352e-04,5.189326880910888253e-04,8.346556497573986121e-04
5.093748195797550204e-04,4.921316504624488044e-04,7.884455636043639481e-04
3.640980041812900622e-04,3.516067763583795151e-04,5.749398180987615918e-04
2.993868879389842311e-04,2.972637316987470865e-04,4.522209461289300068e-04
2.670190896381540628e-04,2.517777788897367368e-04,4.113501794985931236e-04
2.403605219864916919e-04,2.406314830544580268e-04,3.590660468452133171e-04
2.087777477326742501e-04,2.139893009343096038e-04,3.353677226794796163e-04
2.047320248343532467e-04,1.914841208283536006e-04,3.130469898857528321e-04
1.853347691428352487e-04,1.869245817170980090e-04,2.666072234821539291e-04
1.750128839906213961e-04,1.750770904724257388e-04,2.543683411074917954e-04
1.658489097626552808e-04,1.663807607233761269e-04,2.627411524115183940e-04
1.018142120626192124e-04,1.292798006566936073e-04,1.850313923766929564e-04
7.680938047805966490e-05,1.174895979252679859e-04,1.594980735745215531e-04
7.331939429969355684e-05,1.095121500445665790e-04,1.384777981632783590e-04
7.302039695961132931e-05,8.006972477398438114e-05,1.199468547896105739e-04
6.025389041877805802e-05,7.901761973958883634e-05,8.705423298145900548e-05
7.224303474413963254e-05,8.020880074041521971e-05,9.155704961498974700e-05
7.327225918412489920e-05,5.940728247135699646e-05,9.267398994750400149e-05
6.771474461327543965e-05,5.950172188686397769e-05,7.794922272794765265e-05
7.328620079023882210e-05,3.893275773226521761e-05,7.557006378473477394e-05
3.601151025732667786e-05,3.504869787214882313e-05,7.488945438438745052e-05
