accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.837607240894552518e-02,1.811412183999719372e-01,-9.704711391103321816e+00
1.050633069916204337e-01,2.630551272724671041e-01,-9.693107849336177750e+00
1.171122942301931480e-01,3.535477604756294134e-01,-9.684514743906973422e+00
8.493393471414509288e-02,4.038273878329018407e-01,-9.696065235452866915e+00
9.863135318252487516e-02,4.499689483217750863e-01,-9.686696525067924668e+00
1.040735209652021570e-01,5.320276463564829195e-01,-9.683461070021731842e+00
1.034326298634403174e-01,5.533141766245678328e-01,-9.689732144656838742e+00
1.107955059721816016e-01,5.952055863956026149e-01,-9.695260279498024047e+00
1.054918026754675803e-01,6.312848715836720803e-01,-9.713644086976259473e+00
1.234261129854557770e-01,6.645001080712658048e-01,-9.695443206831328098e+00
9.301386344164676301e-02,6.855939717803093414e-01,-9.704888785144804686e+00
1.010233118410078929e-01,7.255419106019920239e-01,-9.697969149293266256e+00
9.908109019291726216e-02,7.534493232013405040e-01,-9.695460108887823836e+00
7.449743289926495649e-02,7.646339893675156985e-01,-9.702744936600437242e+00
1.026772059330408049e-01,8.117961030255644861e-01,-9.700764518090171151e+00
9.611576277502797971e-02,7.990372813558022091e-01,-9.690069198656880545e+00
1.038538763959519357e-01,8.157244353508635859e-01,-9.699388657151736481e+00
1.000660279774769762e-01,8.417618325007693025e-01,-9.688351300247092013e+00
9.902042482101106047e-02,8.406662604336563316e-01,-9.692326571323743423e+00
8.723990981801602040e-02,8.614634144694977014e-01,-9.686396937676336805e+00
1.026386467701446009e-01,8.889630968059842875e-01,-9.698651656214542172e+00
1.031232171088723865e-01,8.891537931299933195e-01,-9.707234709788433946e+00
1.044197153448921250e-01,8.992986765542699823e-01,-9.688450007267226383e+00
1.102331746258957967e-01,8.963209611939002563e-01,-9.697429485893740875e+00
1.054348905133230541e-01,9.340520526012968672e-01,-9.695822449680822075e+00
1.167035553140321896e-01,9.080877249467069756e-01,-9.694396909716436639e+00
1.049437205567340381e-01,9.215598542591724174e-01,-9.697142733451515895e+00
9.711935154981428397e-02,9.405007574235415557e-01,-9.680343442311913904e+00
9.997841363617630817e-02,9.317244607934446199e-01,-9.698623586116667639e+00
1.064105504919812401e-01,9.374095347016738744e-01,-9.691353373035843433e+00
9.570552800810870619e-02,9.422495506073246263e-01,-9.698667672794412553e+00
9.956772971690708296e-02,9.489542565863302581e-01,-9.689367223834569387e+00
1.018780116009140868e-01,9.334478725069349503e-01,-9.707619071247373554e+00
9.021975943771819162e-02,9.384738683187473507e-01,-9.695305208461867608e+00
9.989183326728792722e-02,9.479859110831568847e-01,-9.700326575155040487e+00
9.681938650733580565e-02,9.618524662132201808e-01,-9.690061302749445105e+00
1.023850397332940754e-01,9.536965374042091215e-01,-9.682825307338061904e+00
1.012378713231300298e-01,9.626936916445120174e-01,-9.689507735411018174e+00
1.130899887868762194e-01,9.433800005446011383e-01,-9.703855750496225951e+00
1.067246432961219266e-01,9.645200295587498251e-01,-9.703229558827347390e+00
1.009364557086592229e-01,9.708349961261669714e-01,-9.698535284970253301e+00
1.100203985189615458e-01,9.714042200126282722e-01,-9.707738856705400821e+00
1.059588258810854888e-01,9.655088779216007833e-01,-9.692465811918076213e+00
9.651015401162285623e-02,9.609342263269792239e-01,-9.708039804029763076e+00
1.010410323506052560e-01,9.735873970943849098e-01,-9.699235841190754215e+00
9.521534499475416136e-02,9.714325799195160371e-01,-9.708834204517044597e+00
9.917800360739884025e-02,9.529281657237037573e-01,-9.697899429603475951e+00
8.850896564411407652e-02,9.673707282353239956e-01,-9.706291048414565026e+00
9.715556600944943999e-02,9.575561207153822085e-01,-9.696795650920767784e+00
9.634083551678052082e-02,9.627907902023986608e-01,-9.708855081128778153e+00
9.467244170933260261e-02,9.651608588484661411e-01,-9.697487351326810057e+00
9.724510739074392063e-02,9.676697145277053380e-01,-9.698653479824359991e+00
1.095573998422331163e-01,9.681820270121511696e-01,-9.686607461748614867e+00
1.039859359114755216e-01,9.780198451610153665e-01,-9.708582225726539505e+00
9.249966904985193472e-02,9.781461275202976147e-01,-9.682920157455791710e+00
8.702158255855738100e-02,9.734059222133080169e-01,-9.688957299336914630e+00
9.698704005012727392e-02,9.721630650497580239e-01,-9.700321634720157959e+00
9.370984063205822778e-02,9.718770944526863298e-01,-9.693444793437796747e+00
9.904154849307514330e-02,9.607048018859717375e-01,-9.698510533234538045e+00
1.025708421240497520e-01,9.831336515909193663e-01,-9.694721812464587529e+00
9.951713407250689647e-02,9.801940146445903279e-01,-9.683064758899087465e+00
