gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849881607683043461e+06,4.656209781733697280e+06,3.287190891651243903e+06,5.009134384575360421e+00,-1.016836871032823358e-01,-1.962663120378096634e-02
-2.849882042623484042e+06,4.656219083902513608e+06,3.287196086605552584e+06,4.966039624458814750e+00,-1.697133253385143745e-02,3.167117130719437207e-02
-2.849886673174083699e+06,4.656215869665594772e+06,3.287192751964348834e+06,4.925735151854087057e+00,1.321100198588061846e-02,7.987043365202690925e-02
-2.849883395136706531e+06,4.656205769629809074e+06,3.287199372316965833e+06,4.960025061445348271e+00,4.357449238528468549e-02,1.454401093524347426e-02
-2.849883196201677900e+06,4.656215317446940579e+06,3.287185077864916064e+06,4.933630291767490128e+00,-5.382372844437305348e-02,-4.244410479249596108e-02
-2.849886929064757656e+06,4.656206544021481648e+06,3.287186315803591628e+06,5.041990365023436560e+00,8.835305293749114164e-02,3.246497887292532775e-02
-2.849891652252912521e+06,4.656210056544807740e+06,3.287189596322778147e+06,5.078662785374650213e+00,-4.035472741060889407e-02,-1.752691861798172032e-02
-2.849882687664519995e+06,4.656214872513410635e+06,3.287199623132460751e+06,5.083800077656103866e+00,2.361427216084106134e-02,8.530889328072863154e-02
-2.849888560669609345e+06,4.656214079902249388e+06,3.287192791801068466e+06,4.989551718481605391e+00,-1.049174016838737636e-02,8.804993613329949176e-02
-2.849883661778207868e+06,4.656201902379969135e+06,3.287200969052297994e+06,5.007651382804045426e+00,7.327682543098598678e-02,-2.577641004017812779e-02
-2.849884537021166179e+06,4.656208628653817810e+06,3.287185486004055478e+06,5.008942304210760810e+00,8.814435328577605033e-04,1.196448788733255192e-01
-2.849894176222280599e+06,4.656215530433692038e+06,3.287198730398301501e+06,5.032379695169756140e+00,1.074559528335403968e-01,-3.780610841899721686e-02
-2.849885961661717854e+06,4.656214371793395840e+06,3.287181225144788157e+06,4.864839461484997685e+00,2.991732819676077779e-02,-1.879054547073388814e-02
-2.849876194183310494e+06,4.656210395570620894e+06,3.287194049326945562e+06,4.947117261987705739e+00,1.368024610811134356e-01,3.452644504086646582e-02
-2.849892279730362352e+06,4.656221628097249195e+06,3.287185646473263390e+06,4.964184034918663890e+00,1.562775049743695549e-02,1.121533391115610012e-01
-2.849876025759022217e+06,4.656222858351809904e+06,3.287190522156870458e+06,5.070420112528045031e+00,9.739491221110108121e-02,-4.726348504139063489e-02
-2.849884007077098358e+06,4.656216824944122694e+06,3.287201558841432445e+06,4.965323333999864808e+00,7.348891524356158944e-02,-1.687665902880309543e-01
-2.849889921835270710e+06,4.656218840752846561e+06,3.287198243139538448e+06,4.959738033031401372e+00,3.776825100835119048e-02,-3.880708970339323549e-02
-2.849888177316078451e+06,4.656215265104664490e+06,3.287187436278059613e+06,5.055225980518329720e+00,4.079014763627440698e-02,-2.858591910347125977e-03
-2.849884257028988097e+06,4.656216857064283453e+06,3.287179033209185582e+06,5.066005472286360778e+00,5.845208119246683015e-02,-3.214241525275435968e-02
-2.849879323936912231e+06,4.656220246467886493e+06,3.287193312391818501e+06,4.960286506672369811e+00,4.466003366260201668e-02,-6.225443394084544807e-02
