gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
9.999999999999998473e-03,9.999999999999998473e-03,1.009999999999999787e+00
9.999999999999998473e-03,9.999999999999998473e-03,1.909999999999999698e+00
9.999999999999998473e-03,9.999999999999998473e-03,2.719999999999999307e+00
9.999999999999998473e-03,9.999999999999998473e-03,3.448999999999999400e+00
9.999999999999998473e-03,9.999999999999998473e-03,4.105099999999999305e+00
9.999999999999998473e-03,9.999999999999998473e-03,4.695589999999999264e+00
9.999999999999998473e-03,9.999999999999998473e-03,5.227031000000000205e+00
9.999999999999998473e-03,9.999999999999998473e-03,5.705327899999999453e+00
9.999999999999998473e-03,9.999999999999998473e-03,6.135795109999999219e+00
9.999999999999998473e-03,9.999999999999998473e-03,6.523215598999999365e+00
9.999999999999998473e-03,9.999999999999998473e-03,6.871894039099999851e+00
9.999999999999998473e-03,9.999999999999998473e-03,7.185704635189999578e+00
9.999999999999998473e-03,9.999999999999998473e-03,7.468134171670999244e+00
9.999999999999998473e-03,9.999999999999998473e-03,7.722320754503898321e+00
9.999999999999998473e-03,9.999999999999998473e-03,7.951088679053507136e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.156979811148156401e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.342281830033341450e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.509053647030007994e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.659148282327006285e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.794233454094305458e+00
9.999999999999998473e-03,9.999999999999998473e-03,8.915810108684874891e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.025229097816387380e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.123706188034748976e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.212335569231273169e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.292102012308145476e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.363891811077330374e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.428502629969598203e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.486652366972638362e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.538987130275375037e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.586088417247838223e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.628479575523055445e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.666631617970748991e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.700968456173674426e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.731871610556307672e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.759684449500676706e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.784716004550608304e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.807244404095548873e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.827519963685993787e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.845767967317394564e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.862191170585655087e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.876972053527088846e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.890274848174380296e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.902247363356941889e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.913022627021248923e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.922720364319122410e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.931448327887212102e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.939303495098490870e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.946373145588641052e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.952735831029778879e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.958462247926799904e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.963616023134118649e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.968254420820706230e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.972428978738637539e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.976186080864772876e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.979567472778295922e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.982610725500467908e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.985349652950420207e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.987814687655378165e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.990033218889839972e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.992029897000856309e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.993826907300769946e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.995444216570692930e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.996899794913625570e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.998209815422262281e+00
9.999999999999998473e-03,9.999999999999998473e-03,9.999388833880036742e+00
9.999999999999998473e-03,9.999999999999998473e-03,1.000044995049203322e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000140495544282970e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000226445989854795e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000303801390869296e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000373421251782347e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000436079126604128e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000492471213943801e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000543224092549544e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000588901683294552e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000630011514965112e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000667010363468634e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000700309327121751e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000730278394409645e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000757250554968536e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000781525499471591e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000803372949524572e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000823035654572024e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000840732089114837e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000856658880203298e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000870992992182984e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000883893692964755e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000895504323668384e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000905953891301436e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000915358502171237e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000923822651954076e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000931440386758631e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000938296348082801e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000944466713274572e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000950020041947042e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000955018037752353e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000959516233977098e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000963564610579226e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000967208149521426e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000970487334569370e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000973438601112342e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000976094741000999e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000978485266901075e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000980636740210983e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000982573066189829e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000984315759570897e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000985884183613805e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000987295765252405e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000988566188727091e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000989709569854291e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000990738612869002e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000991664751582100e+01
9.999999999999998473e-03,9.999999999999998473e-03,1.000992498276423781e+01
