mag_x (uT),mag_y (uT),mag_z (uT)
3.326395962848381771e+01,-4.818453671443923697e-02,3.655976367619290812e+01
3.304511205087827364e+01,1.626524090522288302e-01,3.627615143226595507e+01
3.322104179411706326e+01,-3.472474853972940673e-02,3.615618701743825625e+01
3.324871677687519167e+01,-7.849701233494152386e-02,3.627727364577050650e+01
3.330013556735408997e+01,-6.522672932347638175e-02,3.638788065841890784e+01
3.319781670869875967e+01,-5.510093583394784500e-02,3.624749601546756850e+01
3.302281331467214898e+01,-1.410049870551333684e-01,3.644370517311455870e+01
3.295446103699613616e+01,-2.213168626569839148e-01,3.629079614646183671e+01
3.314773389388574998e+01,-9.365973355379866860e-02,3.630330334789165647e+01
3.332397270440714010e+01,-1.668154908116784851e-01,3.634284327570698991e+01
3.314449105654427541e+01,-3.053990419172247228e-01,3.619941530021891651e+01
3.320824004708014598e+01,-3.047523455149959148e-01,3.632770981544550182e+01
3.311738021513852459e+01,-3.980303559007223879e-01,3.623681793953267061e+01
3.320373436527610522e+01,-2.910299255833752041e-01,3.602297725343660062e+01
3.301172693798111624e+01,-4.686128884964498864e-01,3.613540976565833773e+01
3.311677132743508167e+01,-4.836151451635026799e-01,3.612085894983128043e+01
3.323303160145265167e+01,-5.144937316332144350e-01,3.636821977644004278e+01
3.327617318267793678e+01,-6.589095993126212747e-01,3.639299314471610103e+01
3.332090291599046594e+01,-4.427262831473963156e-01,3.616148004189097520e+01
3.315574824003925869e+01,-8.120875003956086191e-01,3.616630673211339797e+01
3.292673688620024564e+01,-7.720428781369622628e-01,3.630196135502374943e+01
3.330730944794364490e+01,-9.003350270184068416e-01,3.643389480931508473e+01
3.320414366900016034e+01,-7.542812503095434051e-01,3.632058118759675125e+01
3.314184928686276521e+01,-8.616961535787149851e-01,3.641025515132432844e+01
3.318332163939798107e+01,-8.757578185664527393e-01,3.625019766521922548e+01
3.314464158623570711e+01,-9.956765284874171673e-01,3.648154672608682603e+01
3.314184964961253144e+01,-7.713656362634540020e-01,3.619739146113271033e+01
3.292844112251696487e+01,-1.175383879991764413e+00,3.637601692799489683e+01
3.305997996966427621e+01,-1.085244615926000966e+00,3.617787490364927550e+01
3.325277232009496942e+01,-1.254824266329138016e+00,3.645427758514572503e+01
3.311556358112166265e+01,-1.330302829224961680e+00,3.619553338378423746e+01
3.327507268378908378e+01,-1.291296955424509951e+00,3.625466302833662269e+01
3.300043040538292871e+01,-1.364458261614959200e+00,3.635832726098985290e+01
3.316428145523930482e+01,-1.389538619428338340e+00,3.620349839767722955e+01
3.318441323882410643e+01,-1.614123965638612823e+00,3.630278479699833127e+01
3.312137897577812140e+01,-1.481607872242155066e+00,3.629987530290595998e+01
3.323509769249334056e+01,-1.575949106614815465e+00,3.629287968191567160e+01
3.323047329320996113e+01,-1.748319376182319029e+00,3.622518922575009270e+01
3.310560243480743736e+01,-1.717164431561849947e+00,3.642101677190797915e+01
3.310665222813289432e+01,-1.685292866031183223e+00,3.615771001401420648e+01
3.313775986096892723e+01,-1.820396097818515635e+00,3.633076478618481531e+01
3.297659702410590654e+01,-1.752253325653823524e+00,3.616968886039532549e+01
3.302152726423281592e+01,-1.918791936005424859e+00,3.625245744890754906e+01
3.310578276682564081e+01,-1.918423242594671452e+00,3.630110010474499660e+01
3.298276027388131837e+01,-2.055601374837618067e+00,3.630251024877322408e+01
3.304846566577420219e+01,-2.090389646657297096e+00,3.615350408792174619e+01
3.306702089825184032e+01,-2.113516378816525432e+00,3.634625671196821628e+01
3.285613620614734742e+01,-2.249173854131968131e+00,3.631225234069752617e+01
3.309661303015472100e+01,-2.286375073921667500e+00,3.626131041866603510e+01
3.307039442380065708e+01,-2.375285962470978784e+00,3.615822052398571174e+01
3.288274913692504242e+01,-2.420891937212991341e+00,3.621255858953921347e+01
3.303813381678253336e+01,-2.463549217712561745e+00,3.635426466197328921e+01
3.294235432723111501e+01,-2.404155639797548094e+00,3.630565951499563937e+01
3.294310845485869521e+01,-2.551839096011029984e+00,3.631977976259834406e+01
3.299541634557684944e+01,-2.688603803031627049e+00,3.626322211286606745e+01
3.309186607975139083e+01,-2.685711016013401231e+00,3.614227025693634232e+01
3.323880595451671383e+01,-2.757760896033674580e+00,3.630460036974091764e+01
3.310398079981501951e+01,-2.551017561923321963e+00,3.621221203241851327e+01
3.299722459261081298e+01,-2.840139590603217190e+00,3.629143794335283246e+01
3.306464726049979674e+01,-2.955742668331626799e+00,3.622398165645033430e+01
3.321130355079777274e+01,-2.822803044514018644e+00,3.620557976922928844e+01
