ref_Yaw (deg),ref_Pitch (deg),ref_Roll (deg)
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999999999998473e-03,0.000000000000000000e+00,0.000000000000000000e+00
2.899999999999999453e-02,0.000000000000000000e+00,0.000000000000000000e+00
5.609999999999999015e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.048999999999998711e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.314409999999999745e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.782968999999999526e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.304672099999999502e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.874204889999999457e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.486784400999999312e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.138105960899999269e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.824295364809998987e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.541865828328998989e-01,0.000000000000000000e+00,0.000000000000000000e+00
6.287679245496098357e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.058911320946488210e-01,0.000000000000000000e+00,0.000000000000000000e+00
7.853020188851840278e-01,0.000000000000000000e+00,0.000000000000000000e+00
8.667718169966656117e-01,0.000000000000000000e+00,0.000000000000000000e+00
9.500946352969990016e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.035085171767299084e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.121576654590569211e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.209418989131512356e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.298477090218361107e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.388629381196524903e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.479766443076872218e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.571789798769184898e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.664610818892266364e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.758149737003039892e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.852334763302735832e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.947101286972462209e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.042391158275216334e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.138152042447694523e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.234336838202925168e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.330903154382633069e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.427812838944369833e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.525031555049932486e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.622528399544939770e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.720275559590445535e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.818248003631401044e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.916423203268260878e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.014780882941435092e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.113302794647291982e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.211972515182562660e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.310775263664306856e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.409697737297876063e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.508727963568088803e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.607855167211279745e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.707069650490152135e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.806362685441136762e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.905726416897023601e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.005153775207320521e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.104638397686589002e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.204174557917930599e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.303757102126137823e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.403381391913523402e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.503043252722171985e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.602738927449954609e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.702465034704959912e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.802218531234463406e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.901996678111017580e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.001797010299916302e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.101617309269924405e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.201455578342931929e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.301310020508639198e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.401179018457775705e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.501061116611998258e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.600955004950798788e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.700859504455719318e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.800773554010147492e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.900696198609133525e+00,0.000000000000000000e+00,0.000000000000000000e+00
