q0 (),q1,q2,q3
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.999999961922823033e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.726646248895442897e-05
9.999999679770938954e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.530727388378028607e-04
9.999998801631286849e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.895648356284356458e-04
9.999996882073293181e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.896741379932878868e-04
9.999993421507109570e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.147038859530634131e-03
9.999987895349761180e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.555933347748268778e-03
9.999979775262641812e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.011204460322103729e-03
9.999968544255516401e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.508214305442818971e-03
9.999953707077182674e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.042788709903288327e-03
9.999934797013175780e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.611170842047471165e-03
9.999911379971471170e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.209979473904319411e-03
9.999883056546272631e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.836171418364058894e-03
9.999849462598127126e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.487007723665635571e-03
9.999810268767946875e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.160023249251900951e-03
9.999765179246982161e-01,0.000000000000000000e+00,0.000000000000000000e+00,6.852999284666982070e-03
9.999713930049253241e-01,0.000000000000000000e+00,0.000000000000000000e+00,7.563938907029747402e-03
9.999656286973434005e-01,0.000000000000000000e+00,0.000000000000000000e+00,8.291044803090917570e-03
9.999592043394508467e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.032699309305822211e-03
9.999521017988945992e-01,0.000000000000000000e+00,0.000000000000000000e+00,9.787446448034186133e-03
9.999443052468739435e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.055397576018661868e-02
9.999358009377667944e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.133110775462193610e-02
9.999265769986205310e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.211778081258252371e-02
9.999166232308630553e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.291303940163724025e-02
9.999059309256149719e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.371602346816301783e-02
9.998944926932599175e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.452595889050011836e-02
9.998823023073956096e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.534214888670764297e-02
9.998693545629108170e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.616396628145721007e-02
9.998556451476608986e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.699084654615177006e-02
9.998411705270437988e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.782228153494991654e-02
9.998259278406649297e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.865781384710933286e-02
9.998099148102210787e-01,0.000000000000000000e+00,0.000000000000000000e+00,1.949703175302259714e-02
9.997931296577109439e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.033956462758171671e-02
9.997755710330878953e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.118507884014430437e-02
9.997572379504924278e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.203327405544704826e-02
9.997381297322424087e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.288387990437738828e-02
9.997182459598029647e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.373665298762292833e-02
9.996975864310129190e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.459137417891591598e-02
9.996761511228959840e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.544784619791791783e-02
9.996539401594407570e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.630589142578499545e-02
9.996309537837869685e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.716534993914927407e-02
9.996071923343056165e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.802607774067874050e-02
9.995826562241132418e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.888794516656071135e-02
9.995573459236020142e-01,0.000000000000000000e+00,0.000000000000000000e+00,2.975083545321935072e-02
9.995312619456141467e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.061464344734644502e-02
9.995044048329260189e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.147927444491626509e-02
9.994767751477465767e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.234464314628809900e-02
9.994483734629642235e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.321067271578941743e-02
9.994192003549086101e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.407729393533306950e-02
9.993892563974225984e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.494444444266647104e-02
9.993585421570596594e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.581206804579066538e-02
9.993270581892474969e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.668011410593322724e-02
9.992948050352782330e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.754853698222059000e-02
9.992617832200009209e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.841729553188036328e-02
9.992279932501095807e-01,0.000000000000000000e+00,0.000000000000000000e+00,3.928635266042147800e-02
9.991934356129330563e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.015567491679470497e-02
9.991581107756463132e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.102523212903606137e-02
9.991220191848305676e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.189499707634515568e-02
9.990851612663247394e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.276494519395528104e-02
9.990475374253119378e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.363505430751630360e-02
9.990091480466001261e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.450530439403932448e-02
9.989699934950543314e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.537567736674709418e-02
9.989300741161502017e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.624615688143968173e-02
9.988893902366202671e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.711672816222410576e-02
9.988479421651689227e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.798737784467146245e-02
9.988057301932361520e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.885809383465895134e-02
9.987627545957935560e-01,0.000000000000000000e+00,0.000000000000000000e+00,4.972886518132839384e-02
9.987190156321589241e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.059968196274947788e-02
9.986745135468181322e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.147053518301743236e-02
9.986292485702429333e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.234141667964163636e-02
9.985832209197009757e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.321231904019599335e-02
