ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886568250875454e+06,4.656214272941934876e+06,3.287190600463123061e+06,4.999999923845645178e+00,8.726646215666837483e-04,0.000000000000000000e+00
-2.849886518250876106e+06,4.656214272950661369e+06,3.287190600463123061e+06,4.999999359541888566e+00,2.530727307336782736e-03,0.000000000000000000e+00
-2.849886468250882346e+06,4.656214272975969128e+06,3.287190600463123061e+06,4.999997603262716694e+00,4.895647769605174227e-03,0.000000000000000000e+00
-2.849886418250906281e+06,4.656214273024925031e+06,3.287190600463123061e+06,4.999993764147557584e+00,7.896738917786794848e-03,0.000000000000000000e+00
-2.849886368250968866e+06,4.656214273103892803e+06,3.287190600463123061e+06,4.999986843018547233e+00,1.147038104951935908e-02,0.000000000000000000e+00
-2.849886318251100369e+06,4.656214273218596354e+06,3.287190600463123061e+06,4.999975790714173307e+00,1.555931464345371856e-02,0.000000000000000000e+00
-2.849886268251342233e+06,4.656214273374189623e+06,3.287190600463123061e+06,4.999959550566187794e+00,2.011200392713904939e-02,0.000000000000000000e+00
-2.849886218251747079e+06,4.656214273575309664e+06,3.287190600463123061e+06,4.999937088609979874e+00,2.508206415667988895e-02,0.000000000000000000e+00
-2.849886168252375908e+06,4.656214273826130666e+06,3.287190600463123061e+06,4.999907414368668590e+00,3.042774623944998272e-02,0.000000000000000000e+00
-2.849886118253301829e+06,4.656214274130407721e+06,3.287190600463123061e+06,4.999869594451495480e+00,3.611147296134988027e-02,0.000000000000000000e+00
-2.849886068254605867e+06,4.656214274491522461e+06,3.287190600463123061e+06,4.999822760728292792e+00,4.209942165054211122e-02,0.000000000000000000e+00
-2.849886018256378360e+06,4.656214274912516586e+06,3.287190600463123061e+06,4.999766114460121536e+00,4.836114862505211387e-02,0.000000000000000000e+00
-2.849885968258717097e+06,4.656214275396128185e+06,3.287190600463123061e+06,4.999698927462404185e+00,5.486925123676957700e-02,0.000000000000000000e+00
-2.849885918261727784e+06,4.656214275944820605e+06,3.287190600463123061e+06,4.999620541135686658e+00,6.159906374371845045e-02,0.000000000000000000e+00
-2.849885868265522644e+06,4.656214276560811326e+06,3.287190600463123061e+06,4.999530364008043293e+00,6.852838362021736185e-02,0.000000000000000000e+00
-2.849885818270219024e+06,4.656214277246095240e+06,3.287190600463123061e+06,4.999427868282106502e+00,7.563722525466688718e-02,0.000000000000000000e+00
-2.849885768275940325e+06,4.656214278002467006e+06,3.287190600463123061e+06,4.999312585760731231e+00,8.290759829080651677e-02,0.000000000000000000e+00
-2.849885718282814138e+06,4.656214278831543401e+06,3.287190600463123061e+06,4.999184103431876913e+00,9.032330814370957695e-02,0.000000000000000000e+00
-2.849885668290973175e+06,4.656214279734776355e+06,3.287190600463123061e+06,4.999042058920268872e+00,9.786977646955909160e-02,0.000000000000000000e+00
-2.849885618300552480e+06,4.656214280713474378e+06,3.287190600463123061e+06,4.998886135956533749e+00,1.055338795911215655e-01,0.000000000000000000e+00
