ref_gyro_x (deg/s),ref_gyro_y (deg/s),ref_gyro_z (deg/s)
0.000000000000000000e+00,0.000000000000000000e+00,9.999999999999997780e-01
0.000000000000000000e+00,0.000000000000000000e+00,1.899999999999999467e+00
0.000000000000000000e+00,0.000000000000000000e+00,2.709999999999999076e+00
0.000000000000000000e+00,0.000000000000000000e+00,3.438999999999999169e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.095099999999999518e+00
0.000000000000000000e+00,0.000000000000000000e+00,4.685589999999999478e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.217030999999999530e+00
0.000000000000000000e+00,0.000000000000000000e+00,5.695327899999999666e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.125795109999999433e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.513215598999999578e+00
0.000000000000000000e+00,0.000000000000000000e+00,6.861894039099999176e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.175704635189999792e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.458134171670999457e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.712320754503898534e+00
0.000000000000000000e+00,0.000000000000000000e+00,7.941088679053508237e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.146979811148158390e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.332281830033341663e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.499053647030008207e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.649148282327006498e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.784233454094305671e+00
0.000000000000000000e+00,0.000000000000000000e+00,8.905810108684875104e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.015229097816387593e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.113706188034749189e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.202335569231273382e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.282102012308145689e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.353891811077330587e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.418502629969598416e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.476652366972638575e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.528987130275375250e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.576088417247838436e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.618479575523055658e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.656631617970750980e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.690968456173676415e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.721871610556307886e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.749684449500678696e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.774716004550610293e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.797244404095549086e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.817519963685994000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.835767967317394778e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.852191170585655300e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.866972053527089059e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.880274848174380509e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.892247363356943879e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.903022627021249136e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.912720364319124400e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.921448327887212315e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.929303495098491084e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.936373145588643041e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.942735831029779092e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.948462247926800117e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.953616023134120638e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.958254420820708219e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.962428978738637753e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.966186080864774866e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.969567472778296136e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.972610725500468121e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.975349652950420420e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.977814687655378378e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.980033218889840185e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.982029897000856522e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.983826907300771936e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.985444216570694920e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.986899794913625783e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.988209815422264271e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.989388833880036955e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.990449950492035214e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.991404955442831692e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.992264459898548168e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.993038013908694950e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.993734212517823678e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.994360791266043265e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.994924712139438228e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.995432240925495648e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.995889016832945728e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.996300115149651333e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.996670103634686555e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.997003093271217722e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.997302783944096660e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.997572505549687349e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.997815254994717904e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998033729495245936e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998230356545720454e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998407320891148586e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998566588802033195e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998709929921831829e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998838936929649535e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.998955043236684048e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999059538913014578e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999153585021712587e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999238226519542749e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999314403867588297e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999382963480830000e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999444667132745934e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999500200419470630e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999550180377523745e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999595162339771193e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999635646105792475e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999672081495214471e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999704873345693912e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999734386011123632e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999760947410011980e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999784852669010959e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999806367402110041e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999825730661898504e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999843157595709187e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999858841836138268e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999872957652524263e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999885661887271127e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999897095698543126e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999907386128690234e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999916647515821211e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999924982764239800e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999932484487814577e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999939236039033119e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999945312435128741e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999950781191616400e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999955703072455293e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999960132765210119e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999964119488687686e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999967707539818562e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999970936785837594e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999973843107254012e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999976458796528078e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999978812916875626e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999980931625188418e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999982838462669221e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999984554616402121e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999986099154762442e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999987489239286376e+00
0.000000000000000000e+00,0.000000000000000000e+00,9.999988740315357560e+00
