ref_mag_x (uT),ref_mag_y (uT),ref_mag_z (uT)
3.314018003921201228e+01,0.000000000000000000e+00,3.626507057775879872e+01
3.314017953445820552e+01,-5.784052534514143480e-03,3.626507057775879872e+01
3.314017579423259008e+01,-1.677375171905824344e-02,3.626507057775879872e+01
3.314016415355099809e+01,-3.244852969865644199e-02,3.626507057775879872e+01
3.314013870775748671e+01,-5.233986989162131565e-02,3.626507057775879872e+01
3.314009283426518948e+01,-7.602609861988744722e-02,3.626507057775879872e+01
3.314001957919383301e+01,-1.031276977141608181e-01,3.626507057775879872e+01
3.313991193890820597e+01,-1.333030862189454324e-01,3.626507057775879872e+01
3.313976306025365659e+01,-1.662448243814876048e-01,3.626507057775879872e+01
3.313956637831373797e+01,-2.016761977125657301e-01,3.626507057775879872e+01
3.313931570654089853e+01,-2.393481430840543045e-01,3.626507057775879872e+01
3.313900529093713487e+01,-2.790364826091331629e-01,3.626507057775879872e+01
3.313862983743198498e+01,-3.205394344674634688e-01,3.626507057775879872e+01
3.313818451959185296e+01,-3.636753729206600450e-01,3.626507057775879872e+01
3.313766497219585005e+01,-4.082808125427452861e-01,3.626507057775879872e+01
3.313706727494674453e+01,-4.542085941940381955e-01,3.626507057775879872e+01
3.313638792958458623e+01,-5.013262525212188736e-01,3.626507057775879872e+01
3.313562383288183355e+01,-5.495145467951988438e-01,3.626507057775879872e+01
3.313477224737981430e+01,-5.986661387239520238e-01,3.626507057775879872e+01
3.313383077124215959e+01,-6.486844025197248120e-01,3.626507057775879872e+01
3.313279730822407743e+01,-6.994823539772582199e-01,3.626507057775879872e+01
3.313167003846478309e+01,-7.509816866483430831e-01,3.626507057775879872e+01
3.313044739058632615e+01,-8.031119043930795565e-01,3.626507057775879872e+01
3.312912801541109786e+01,-8.558095406630813473e-01,3.626507057775879872e+01
3.312771076148134597e+01,-9.090174558386447945e-01,3.626507057775879872e+01
3.312619465246789474e+01,-9.626842048115107353e-01,3.626507057775879872e+01
3.312457886648462591e+01,-1.016763467787067166e+00,3.626507057775879872e+01
3.312286271727471387e+01,-1.071213537983494390e+00,3.626507057775879872e+01
3.312104563719938000e+01,-1.125996860538374778e+00,3.626507057775879872e+01
3.311912716193628370e+01,-1.181079617502766688e+00,3.626507057775879872e+01
3.311710691678023011e+01,-1.236431354315123743e+00,3.626507057775879872e+01
3.311498460443088732e+01,-1.292024643608425061e+00,3.626507057775879872e+01
3.311275999414952764e+01,-1.347834782618682503e+00,3.626507057775879872e+01
3.311043291216719808e+01,-1.403839520836225541e+00,3.626507057775879872e+01
3.310800323323034888e+01,-1.460018814877024562e+00,3.626507057775879872e+01
3.310547087317483772e+01,-1.516354607853543257e+00,3.626507057775879872e+01
3.310283578242525948e+01,-1.572830630796592022e+00,3.626507057775879872e+01
3.310009794032372810e+01,-1.629432223924427214e+00,3.626507057775879872e+01
3.309725735019902970e+01,-1.686146175775607992e+00,3.626507057775879872e+01
3.309431403509459102e+01,-1.742960578420378326e+00,3.626507057775879872e+01
3.309126803408056361e+01,-1.799864697143763070e+00,3.626507057775879872e+01
3.308811939908230215e+01,-1.856848853154141388e+00,3.626507057775879872e+01
3.308486819216403774e+01,-1.913904318015596351e+00,3.626507057775879872e+01
3.308151448321250143e+01,-1.971023218632411256e+00,3.626507057775879872e+01
3.307805834797111544e+01,-2.028198451731173524e+00,3.626507057775879872e+01
3.307449986638054895e+01,-2.085423606891307902e+00,3.626507057775879872e+01
3.307083912118614677e+01,-2.142692897269720564e+00,3.626507057775879872e+01
3.306707619677739984e+01,-2.200001097250603443e+00,3.626507057775879872e+01
3.306321117822825073e+01,-2.257343486328268423e+00,3.626507057775879872e+01
3.305924415051102727e+01,-2.314715798600067487e+00,3.626507057775879872e+01
3.305517519785967551e+01,-2.372114177308681349e+00,3.626507057775879872e+01
3.305100440326118871e+01,-2.429535133929102031e+00,3.626507057775879872e+01
3.304673184805648845e+01,-2.486975511346064316e+00,3.626507057775879872e+01
3.304235761163456431e+01,-2.544432450713062899e+00,3.626507057775879872e+01
3.303788177120546976e+01,-2.601903361624969158e+00,3.626507057775879872e+01
3.303330440164000947e+01,-2.659385895273020939e+00,3.626507057775879872e+01
3.302862557536506927e+01,-2.716877920284060721e+00,3.626507057775879872e+01
3.302384536230549372e+01,-2.774377500975696353e+00,3.626507057775879872e+01
3.301896382986434020e+01,-2.831882877785882879e+00,3.626507057775879872e+01
3.301398104293447489e+01,-2.889392449659530016e+00,3.626507057775879872e+01
3.300889706393573420e+01,-2.946904758196509988e+00,3.626507057775879872e+01
3.300371195287235082e+01,-3.004418473384952382e+00,3.626507057775879872e+01
3.299842576740640965e+01,-3.061932380761347883e+00,3.626507057775879872e+01
3.299303856294351789e+01,-3.119445369854794592e+00,3.626507057775879872e+01
3.298755039272762701e+01,-3.176956423787007822e+00,3.626507057775879872e+01
3.298196130794240588e+01,-3.234464609912517830e+00,3.626507057775879872e+01
3.297627135781673502e+01,-3.291969071395067559e+00,3.626507057775879872e+01
3.297048058973281570e+01,-3.349469019626580391e+00,3.626507057775879872e+01
3.296458904933499667e+01,-3.406963727404458631e+00,3.626507057775879872e+01
3.295859678063844456e+01,-3.464452522791372502e+00,3.626507057775879872e+01
3.295250382613634343e+01,-3.521934783589297346e+00,3.626507057775879872e+01
3.294631022690496991e+01,-3.579409932366372615e+00,3.626507057775879872e+01
3.294001602270605389e+01,-3.636877431981288211e+00,3.626507057775879872e+01
3.293362125208572877e+01,-3.694336781555453975e+00,3.626507057775879872e+01
3.292712595246999285e+01,-3.751787512848161921e+00,3.626507057775879872e+01
3.292053016025617040e+01,-3.809229186994433469e+00,3.626507057775879872e+01
3.291383391090034394e+01,-3.866661391569287343e+00,3.626507057775879872e+01
3.290703723900065114e+01,-3.924083737945765371e+00,3.626507057775879872e+01
3.290014017837629723e+01,-3.981495858917349917e+00,3.626507057775879872e+01
3.289314276214243193e+01,-4.038897406558313641e+00,3.626507057775879872e+01
3.288604502278086983e+01,-4.096288050298206862e+00,3.626507057775879872e+01
3.287884699220674634e+01,-4.153667475189064540e+00,3.626507057775879872e+01
3.287154870183119471e+01,-4.211035380346054069e+00,3.626507057775879872e+01
3.286415018262018606e+01,-4.268391477544200008e+00,3.626507057775879872e+01
3.285665146514971724e+01,-4.325735489955603974e+00,3.626507057775879872e+01
3.284905257965740333e+01,-4.383067151013058549e+00,3.626507057775879872e+01
3.284135355609072349e+01,-4.440386203387459041e+00,3.626507057775879872e+01
3.283355442415199832e+01,-4.497692398067587582e+00,3.626507057775879872e+01
3.282565521334035452e+01,-4.554985493532051066e+00,3.626507057775879872e+01
3.281765595299072658e+01,-4.612265255004143860e+00,3.626507057775879872e+01
3.280955667231017259e+01,-4.669531453781337049e+00,3.626507057775879872e+01
3.280135740041156112e+01,-4.726783866631935282e+00,3.626507057775879872e+01
3.279305816634485637e+01,-4.784022275252172385e+00,3.626507057775879872e+01
3.278465899912611548e+01,-4.841246465777691022e+00,3.626507057775879872e+01
3.277615992776432563e+01,-4.898456228343992969e+00,3.626507057775879872e+01
3.276756098128625894e+01,-4.955651356690923492e+00,3.626507057775879872e+01
3.275886218875943712e+01,-5.012831647806804902e+00,3.626507057775879872e+01
3.275006357931338385e+01,-5.069996901608250006e+00,3.626507057775879872e+01
3.274116518215920735e+01,-5.127146920652074336e+00,3.626507057775879872e+01
3.273216702660768362e+01,-5.184281509876108807e+00,3.626507057775879872e+01
3.272306914208593298e+01,-5.241400476366008476e+00,3.626507057775879872e+01
3.271387155815280323e+01,-5.298503629145457694e+00,3.626507057775879872e+01
3.270457430451298819e+01,-5.355590778987438405e+00,3.626507057775879872e+01
3.269517741103006614e+01,-5.412661738244441523e+00,3.626507057775879872e+01
3.268568090773850088e+01,-5.469716320695735767e+00,3.626507057775879872e+01
3.267608482485459120e+01,-5.526754341409973570e+00,3.626507057775879872e+01
3.266638919278664588e+01,-5.583775616621619697e+00,3.626507057775879872e+01
3.265659404214425621e+01,-5.640779963619790394e+00,3.626507057775879872e+01
3.264669940374681545e+01,-5.697767200648291563e+00,3.626507057775879872e+01
3.263670530863134900e+01,-5.754737146815707582e+00,3.626507057775879872e+01
3.262661178805967666e+01,-5.811689622014550416e+00,3.626507057775879872e+01
3.261641887352499936e+01,-5.868624446848562215e+00,3.626507057775879872e+01
3.260612659675790326e+01,-5.925541442567347161e+00,3.626507057775879872e+01
3.259573498973188777e+01,-5.982440431007600701e+00,3.626507057775879872e+01
3.258524408466840327e+01,-6.039321234540281580e+00,3.626507057775879872e+01
3.257465391404144128e+01,-6.096183676023124498e+00,3.626507057775879872e+01
3.256396451058179053e+01,-6.153027578757959581e+00,3.626507057775879872e+01
3.255317590728084554e+01,-6.209852766452369721e+00,3.626507057775879872e+01
3.254228813739415926e+01,-6.266659063185227474e+00,3.626507057775879872e+01
3.253130123444463351e+01,-6.323446293375743821e+00,3.626507057775879872e+01
3.252021523222543209e+01,-6.380214281755673511e+00,3.626507057775879872e+01
3.250903016480268803e+01,-6.436962853344342150e+00,3.626507057775879872e+01
3.249774606651789810e+01,-6.493691833426248117e+00,3.626507057775879872e+01
3.248636297199013256e+01,-6.550401047530945320e+00,3.626507057775879872e+01
3.247488091611808159e+01,-6.607090321415003409e+00,3.626507057775879872e+01
3.246329993408184578e+01,-6.663759481045813615e+00,3.626507057775879872e+01
3.245162006134461308e+01,-6.720408352587088352e+00,3.626507057775879872e+01
3.243984133365415801e+01,-6.777036762385856505e+00,3.626507057775879872e+01
3.242796378704422722e+01,-6.833644536960809646e+00,3.626507057775879872e+01
3.241598745783574742e+01,-6.890231502991876589e+00,3.626507057775879872e+01
3.240391238263795515e+01,-6.946797487310888641e+00,3.626507057775879872e+01
3.239173859834940572e+01,-7.003342316893240493e+00,3.626507057775879872e+01
3.237946614215888275e+01,-7.059865818850431296e+00,3.626507057775879872e+01
3.236709505154622946e+01,-7.116367820423405099e+00,3.626507057775879872e+01
3.235462536428306635e+01,-7.172848148976623150e+00,3.626507057775879872e+01
3.234205711843344488e+01,-7.229306631992763243e+00,3.626507057775879872e+01
3.232939035235449410e+01,-7.285743097068021257e+00,3.626507057775879872e+01
3.231662510469687533e+01,-7.342157371907923391e+00,3.626507057775879872e+01
3.230376141440530091e+01,-7.398549284323617137e+00,3.626507057775879872e+01
3.229079932071893211e+01,-7.454918662228581461e+00,3.626507057775879872e+01
3.227773886317176277e+01,-7.511265333635722463e+00,3.626507057775879872e+01
3.226458008159291069e+01,-7.567589126654810983e+00,3.626507057775879872e+01
3.225132301610695862e+01,-7.623889869490231064e+00,3.626507057775879872e+01
3.223796770713413906e+01,-7.680167390439001984e+00,3.626507057775879872e+01
3.222451419539059003e+01,-7.736421517889054300e+00,3.626507057775879872e+01
3.221096252188850428e+01,-7.792652080317730601e+00,3.626507057775879872e+01
3.219731272793632826e+01,-7.848858906290489656e+00,3.626507057775879872e+01
