ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886568250875454e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886518250876106e+06,4.656214272950661369e+06,3.287190600463123061e+06
-2.849886468250882346e+06,4.656214272975969128e+06,3.287190600463123061e+06
-2.849886418250906281e+06,4.656214273024925031e+06,3.287190600463123061e+06
-2.849886368250968866e+06,4.656214273103892803e+06,3.287190600463123061e+06
-2.849886318251100369e+06,4.656214273218596354e+06,3.287190600463123061e+06
-2.849886268251342233e+06,4.656214273374189623e+06,3.287190600463123061e+06
-2.849886218251747079e+06,4.656214273575309664e+06,3.287190600463123061e+06
-2.849886168252375908e+06,4.656214273826130666e+06,3.287190600463123061e+06
-2.849886118253301829e+06,4.656214274130407721e+06,3.287190600463123061e+06
-2.849886068254605867e+06,4.656214274491522461e+06,3.287190600463123061e+06
-2.849886018256378360e+06,4.656214274912516586e+06,3.287190600463123061e+06
-2.849885968258717097e+06,4.656214275396128185e+06,3.287190600463123061e+06
-2.849885918261727784e+06,4.656214275944820605e+06,3.287190600463123061e+06
-2.849885868265522644e+06,4.656214276560811326e+06,3.287190600463123061e+06
-2.849885818270219024e+06,4.656214277246095240e+06,3.287190600463123061e+06
-2.849885768275940325e+06,4.656214278002467006e+06,3.287190600463123061e+06
-2.849885718282814138e+06,4.656214278831543401e+06,3.287190600463123061e+06
-2.849885668290973175e+06,4.656214279734776355e+06,3.287190600463123061e+06
-2.849885618300552480e+06,4.656214280713474378e+06,3.287190600463123061e+06
-2.849885568311691284e+06,4.656214281768812798e+06,3.287190600463123061e+06
-2.849885518324530683e+06,4.656214282901851460e+06,3.287190600463123061e+06
-2.849885468339215033e+06,4.656214284113540314e+06,3.287190600463123061e+06
-2.849885418355889618e+06,4.656214285404736176e+06,3.287190600463123061e+06
-2.849885368374702521e+06,4.656214286776210181e+06,3.287190600463123061e+06
-2.849885318395802751e+06,4.656214288228652440e+06,3.287190600463123061e+06
-2.849885268419340719e+06,4.656214289762686938e+06,3.287190600463123061e+06
-2.849885218445468228e+06,4.656214291378872469e+06,3.287190600463123061e+06
-2.849885168474337086e+06,4.656214293077711947e+06,3.287190600463123061e+06
-2.849885118506100494e+06,4.656214294859657064e+06,3.287190600463123061e+06
-2.849885068540912122e+06,4.656214296725112945e+06,3.287190600463123061e+06
-2.849885018578925170e+06,4.656214298674445599e+06,3.287190600463123061e+06
-2.849884968620295171e+06,4.656214300707981922e+06,3.287190600463123061e+06
-2.849884918665175792e+06,4.656214302826014347e+06,3.287190600463123061e+06
-2.849884868713722564e+06,4.656214305028806441e+06,3.287190600463123061e+06
-2.849884818766089622e+06,4.656214307316594757e+06,3.287190600463123061e+06
-2.849884768822432496e+06,4.656214309689591639e+06,3.287190600463123061e+06
-2.849884718882906251e+06,4.656214312147985213e+06,3.287190600463123061e+06
-2.849884668947665486e+06,4.656214314691945910e+06,3.287190600463123061e+06
-2.849884619016865268e+06,4.656214317321624607e+06,3.287190600463123061e+06
-2.849884569090661127e+06,4.656214320037157275e+06,3.287190600463123061e+06
-2.849884519169207197e+06,4.656214322838664055e+06,3.287190600463123061e+06
-2.849884469252658542e+06,4.656214325726252981e+06,3.287190600463123061e+06
-2.849884419341169763e+06,4.656214328700019978e+06,3.287190600463123061e+06
-2.849884369434895460e+06,4.656214331760048866e+06,3.287190600463123061e+06
-2.849884319533989765e+06,4.656214334906416014e+06,3.287190600463123061e+06
-2.849884269638607278e+06,4.656214338139188476e+06,3.287190600463123061e+06
-2.849884219748902135e+06,4.656214341458423994e+06,3.287190600463123061e+06
-2.849884169865028467e+06,4.656214344864173792e+06,3.287190600463123061e+06
-2.849884119987139944e+06,4.656214348356483504e+06,3.287190600463123061e+06
-2.849884070115390234e+06,4.656214351935393177e+06,3.287190600463123061e+06
-2.849884020249933470e+06,4.656214355600936338e+06,3.287190600463123061e+06
-2.849883970390922390e+06,4.656214359353142790e+06,3.287190600463123061e+06
-2.849883920538511593e+06,4.656214363192035817e+06,3.287190600463123061e+06
-2.849883870692853350e+06,4.656214367117638700e+06,3.287190600463123061e+06
-2.849883820854100864e+06,4.656214371129967272e+06,3.287190600463123061e+06
-2.849883771022407804e+06,4.656214375229036435e+06,3.287190600463123061e+06
-2.849883721197926905e+06,4.656214379414857365e+06,3.287190600463123061e+06
-2.849883671380810905e+06,4.656214383687440306e+06,3.287190600463123061e+06
-2.849883621571213007e+06,4.656214388046788983e+06,3.287190600463123061e+06
-2.849883571769285016e+06,4.656214392492909916e+06,3.287190600463123061e+06
-2.849883521975180134e+06,4.656214397025804035e+06,3.287190600463123061e+06
-2.849883472189051099e+06,4.656214401645471342e+06,3.287190600463123061e+06
-2.849883422411049716e+06,4.656214406351911835e+06,3.287190600463123061e+06
-2.849883372641328257e+06,4.656214411145120859e+06,3.287190600463123061e+06
-2.849883322880039923e+06,4.656214416025095619e+06,3.287190600463123061e+06
-2.849883273127335589e+06,4.656214420991829596e+06,3.287190600463123061e+06
-2.849883223383368459e+06,4.656214426045315340e+06,3.287190600463123061e+06
-2.849883173648290336e+06,4.656214431185547262e+06,3.287190600463123061e+06
-2.849883123922252562e+06,4.656214436412514187e+06,3.287190600463123061e+06
-2.849883074205407873e+06,4.656214441726206802e+06,3.287190600463123061e+06
-2.849883024497907143e+06,4.656214447126614861e+06,3.287190600463123061e+06
-2.849882974799903110e+06,4.656214452613726258e+06,3.287190600463123061e+06
-2.849882925111547112e+06,4.656214458187529817e+06,3.287190600463123061e+06
-2.849882875432990957e+06,4.656214463848011568e+06,3.287190600463123061e+06
-2.849882825764385983e+06,4.656214469595157541e+06,3.287190600463123061e+06
-2.849882776105884463e+06,4.656214475428953767e+06,3.287190600463123061e+06
-2.849882726457636803e+06,4.656214481349386275e+06,3.287190600463123061e+06
-2.849882676819795277e+06,4.656214487356438302e+06,3.287190600463123061e+06
-2.849882627192510758e+06,4.656214493450094946e+06,3.287190600463123061e+06
-2.849882577575935051e+06,4.656214499630338512e+06,3.287190600463123061e+06
-2.849882527970219497e+06,4.656214505897154100e+06,3.287190600463123061e+06
-2.849882478375514969e+06,4.656214512250522152e+06,3.287190600463123061e+06
-2.849882428791972809e+06,4.656214518690425903e+06,3.287190600463123061e+06
-2.849882379219744354e+06,4.656214525216846727e+06,3.287190600463123061e+06
-2.849882329658980947e+06,4.656214531829766929e+06,3.287190600463123061e+06
-2.849882280109832995e+06,4.656214538529166952e+06,3.287190600463123061e+06
-2.849882230572452303e+06,4.656214545315026306e+06,3.287190600463123061e+06
-2.849882181046989281e+06,4.656214552187327296e+06,3.287190600463123061e+06
-2.849882131533594802e+06,4.656214559146047570e+06,3.287190600463123061e+06
-2.849882082032420672e+06,4.656214566191168502e+06,3.287190600463123061e+06
-2.849882032543616835e+06,4.656214573322668672e+06,3.287190600463123061e+06
-2.849881983067334164e+06,4.656214580540526658e+06,3.287190600463123061e+06
-2.849881933603723999e+06,4.656214587844721042e+06,3.287190600463123061e+06
-2.849881884152936749e+06,4.656214595235230401e+06,3.287190600463123061e+06
-2.849881834715122823e+06,4.656214602712032385e+06,3.287190600463123061e+06
-2.849881785290433094e+06,4.656214610275105573e+06,3.287190600463123061e+06
-2.849881735879018437e+06,4.656214617924425751e+06,3.287190600463123061e+06
-2.849881686481029261e+06,4.656214625659970567e+06,3.287190600463123061e+06
-2.849881637096615974e+06,4.656214633481716737e+06,3.287190600463123061e+06
-2.849881587725928985e+06,4.656214641389640048e+06,3.287190600463123061e+06
-2.849881538369118702e+06,4.656214649383718148e+06,3.287190600463123061e+06
-2.849881489026335534e+06,4.656214657463925891e+06,3.287190600463123061e+06
-2.849881439697729889e+06,4.656214665630239062e+06,3.287190600463123061e+06
-2.849881390383452177e+06,4.656214673882632516e+06,3.287190600463123061e+06
