ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.999999923845645178e+00,8.726646215666837483e-04,0.000000000000000000e+00
4.999999359541888566e+00,2.530727307336782736e-03,0.000000000000000000e+00
4.999997603262716694e+00,4.895647769605174227e-03,0.000000000000000000e+00
4.999993764147557584e+00,7.896738917786794848e-03,0.000000000000000000e+00
4.999986843018547233e+00,1.147038104951935908e-02,0.000000000000000000e+00
4.999975790714173307e+00,1.555931464345371856e-02,0.000000000000000000e+00
4.999959550566187794e+00,2.011200392713904939e-02,0.000000000000000000e+00
4.999937088609979874e+00,2.508206415667988895e-02,0.000000000000000000e+00
4.999907414368668590e+00,3.042774623944998272e-02,0.000000000000000000e+00
4.999869594451495480e+00,3.611147296134988027e-02,0.000000000000000000e+00
4.999822760728292792e+00,4.209942165054211122e-02,0.000000000000000000e+00
4.999766114460121536e+00,4.836114862505211387e-02,0.000000000000000000e+00
4.999698927462404185e+00,5.486925123676957700e-02,0.000000000000000000e+00
4.999620541135686658e+00,6.159906374371845045e-02,0.000000000000000000e+00
4.999530364008043293e+00,6.852838362021736185e-02,0.000000000000000000e+00
4.999427868282106502e+00,7.563722525466688718e-02,0.000000000000000000e+00
4.999312585760731231e+00,8.290759829080651677e-02,0.000000000000000000e+00
4.999184103431876913e+00,9.032330814370957695e-02,0.000000000000000000e+00
4.999042058920268872e+00,9.786977646955909160e-02,0.000000000000000000e+00
4.998886135956533749e+00,1.055338795911215655e-01,0.000000000000000000e+00
4.998716059970531589e+00,1.133038030813002528e-01,0.000000000000000000e+00
4.998531593881781809e+00,1.211689108874520471e-01,0.000000000000000000e+00
4.998332534134117822e+00,1.291196275413219463e-01,0.000000000000000000e+00
4.998118707002207728e+00,1.371473321453112459e-01,0.000000000000000000e+00
4.997889965183114569e+00,1.452442629569976329e-01,0.000000000000000000e+00
4.997646184675381242e+00,1.534034315118408542e-01,0.000000000000000000e+00
4.997387261940518854e+00,1.616185453301727248e-01,0.000000000000000000e+00
4.997113111336451752e+00,1.698839383500748423e-01,0.000000000000000000e+00
4.996823662808889566e+00,1.781945083136684538e-01,0.000000000000000000e+00
4.996518859824466752e+00,1.865456604116449701e-01,0.000000000000000000e+00
4.996198657528216458e+00,1.949332565604169898e-01,0.000000000000000000e+00
4.995863021107604496e+00,2.033535697488519922e-01,0.000000000000000000e+00
4.995511924345368726e+00,2.118032429478625689e-01,0.000000000000000000e+00
4.995145348343975833e+00,2.202792521267998571e-01,0.000000000000000000e+00
4.994763280405220662e+00,2.287788729661949794e-01,0.000000000000000000e+00
4.994365713049451649e+00,2.372996508974291319e-01,0.000000000000000000e+00
4.993952643159925486e+00,2.458393741368417318e-01,0.000000000000000000e+00
