accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.556811586494083726e-03,6.131518664366591119e-03,-9.791177267356394154e+00
5.506419978600901729e-04,-5.743207751874939218e-03,-9.791787824687146369e+00
9.693944081144727568e-03,-2.612898370561553014e-03,-9.801584280798088855e+00
-1.659986795861442301e-03,-8.920149685332072823e-03,-9.805051875738017841e+00
-3.066617348008156361e-03,-1.949923738685617773e-03,-9.790181033787360931e+00
-4.454062812717370459e-04,-1.978158515536342608e-03,-9.797332908472228041e+00
1.704054492086930217e-03,2.331160963546062906e-03,-9.793040361517149961e+00
8.398591661005268272e-03,6.123141654113837878e-04,-9.809058065240670032e+00
2.438687235370638924e-03,5.549014452027246046e-03,-9.800410067989158591e+00
1.350171531648413064e-03,3.291384891726077590e-03,-9.802385760476086674e+00
-5.445008429802108280e-03,2.438235930979577686e-03,-9.785208164165785760e+00
-5.414868840515728830e-03,-3.951268524210685570e-04,-9.794310747856352251e+00
5.268752824700866436e-03,7.462194710485863837e-03,-9.796189742051023330e+00
7.295180287464667589e-04,-6.581763229108915023e-03,-9.792376388917309882e+00
-4.889687476173584270e-03,4.636159495402562662e-03,-9.786341324895076355e+00
-5.650425962062695720e-03,-7.745877132244335245e-03,-9.790132888381238629e+00
-2.132637995162375410e-03,9.078309412632808465e-04,-9.799822691205413605e+00
1.527348269424527814e-03,5.327408439670070807e-03,-9.803266947988447555e+00
-2.233586716644175938e-03,4.765968329087665739e-03,-9.786993067841368799e+00
-4.436865627912968922e-03,-3.713595637649437926e-05,-9.783083213037510717e+00
-2.160299520604831453e-03,2.052349109606413109e-03,-9.808055099803274501e+00
5.629624938361325014e-03,-6.290261673348889783e-03,-9.776913517970438505e+00
-5.159017760999361273e-05,-3.677374371028739597e-03,-9.794868317013973424e+00
-1.724728348147947996e-03,5.472481399397201469e-03,-9.797204907580640665e+00
1.614781581389152128e-03,-4.908631595695584979e-03,-9.798382376418532047e+00
2.291646477889177497e-03,-2.031794515749183773e-03,-9.807045292626122901e+00
-7.620984586050048686e-03,6.131972169496117085e-03,-9.796344237839095470e+00
9.298789708097146903e-03,6.343316995380244259e-03,-9.793990135969286470e+00
-1.169216502625651175e-02,3.358696335915688485e-03,-9.806970629708002818e+00
-5.831915255949738849e-03,-3.991591627764628537e-03,-9.799803507384648782e+00
-3.946110458980023328e-03,-1.972278407807844403e-03,-9.801223622173505845e+00
3.700650888486007196e-03,-1.191660231542650923e-03,-9.800940884362141503e+00
1.956451859732047816e-03,-3.849280979190704277e-03,-9.778668180457854575e+00
3.050440007289594458e-03,2.162891992176090537e-03,-9.788377153163150268e+00
-7.829663042570978804e-04,4.948677292605006481e-03,-9.790977948821092625e+00
4.890179539338082582e-04,-4.542771805828967925e-03,-9.799730956745726473e+00
2.591948612915437756e-03,6.499558084386941777e-03,-9.795131687251261710e+00
1.706856088860807903e-03,-1.068568986351632610e-02,-9.791753222995774664e+00
-6.836060748268976217e-04,-1.275252060803482577e-04,-9.783749210734031365e+00
3.754113559817904601e-03,-2.937713323271667464e-03,-9.788396598470816556e+00
2.515577590174475006e-03,6.452086345367511605e-03,-9.797460563093407515e+00
-6.895378722664171310e-03,-1.866871775590176049e-03,-9.797421810600363656e+00
1.690869893153860992e-03,3.545228376881966268e-03,-9.782192565762562353e+00
-6.921681482253129632e-03,1.243929720084477244e-03,-9.786609860421240370e+00
-7.099639881688933705e-04,-3.375824898107971598e-03,-9.791559104191218665e+00
5.082049037883290196e-03,-3.522375415426527712e-03,-9.796343876375773974e+00
2.563896313936456662e-03,-8.494944127961213606e-03,-9.796844760181540934e+00
2.407291833944908289e-04,1.496461476315543142e-03,-9.804228735814948692e+00
4.526330298429145395e-03,3.672460482807598809e-03,-9.782820982671939447e+00
