gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849889041248147842e+06,4.656218113173736259e+06,3.287184495600921568e+06,-8.566450689558297374e-03,-1.337142730524222903e-02,-2.223990265765930785e-02
-2.849885398487855215e+06,4.656210753920429386e+06,3.287194565354315564e+06,-2.019425767600581054e-02,-8.683604596456144520e-02,-1.952279581257889904e-02
-2.849897805297719315e+06,4.656207253581523895e+06,3.287182088202465326e+06,3.467833921816355219e-02,1.165720039912082791e-02,6.098645577883694824e-02
-2.849892395787748042e+06,4.656210867799645290e+06,3.287196338432083838e+06,-8.582316642943646490e-02,8.702747419805837922e-03,7.152498546845555139e-02
-2.849893999227297958e+06,4.656209388810937293e+06,3.287195612516911235e+06,-9.256182105778106017e-02,-1.350570343926456134e-02,7.214624556815378738e-03
-2.849890962038223166e+06,4.656214458612272516e+06,3.287200787516465411e+06,9.913740781918037315e-02,-3.304804293626972811e-02,6.701796621317906988e-02
-2.849884060123358853e+06,4.656221450796141289e+06,3.287181967837265227e+06,6.291807502739864277e-02,-1.112699564727573781e-01,-2.807507400954730239e-02
-2.849891484504673164e+06,4.656215552423789166e+06,3.287177162001901306e+06,-4.768491291535295606e-02,2.423767169016212419e-02,2.574016214426769200e-02
-2.849888083931530360e+06,4.656207487141343765e+06,3.287188136687840335e+06,-3.057899761332313546e-02,-3.909693520018087814e-02,3.182823719711012911e-02
-2.849893474587611388e+06,4.656223711156585254e+06,3.287194902694608551e+06,-4.149688013925316443e-02,-2.390770666350345436e-02,-2.791539574972470850e-02
-2.849880478304634336e+06,4.656207993043964729e+06,3.287185568212091923e+06,1.052964289571697160e-02,2.983002332781552537e-03,-5.527646886942948895e-02
-2.849895034206441138e+06,4.656221313852865249e+06,3.287182964742449112e+06,-1.552083932245720312e-02,-8.934984141053478601e-02,-1.290483898884650128e-02
-2.849891661856153514e+06,4.656218366060257889e+06,3.287197111836404074e+06,-3.239679508150622445e-02,1.918691919770288204e-02,4.727457808397762112e-02
-2.849881409917365294e+06,4.656213126488006674e+06,3.287191741722837556e+06,-1.128828084029444290e-02,4.547438566206424976e-02,-1.183073151440002663e-02
-2.849881408056517597e+06,4.656214314099041745e+06,3.287191924156573601e+06,4.866884547737014566e-02,5.709499554477466543e-02,-4.104967777652005628e-02
-2.849888503765522037e+06,4.656210222792078741e+06,3.287184139216483105e+06,-6.686413097757705482e-02,2.920248477040424812e-02,-8.504436028980230655e-02
-2.849883384400232229e+06,4.656219228580885567e+06,3.287196172662851866e+06,-4.390340065785384299e-02,6.037481303365408586e-02,4.041119031374652143e-02
-2.849881587044713087e+06,4.656210131733810529e+06,3.287180776301244274e+06,6.481195685700844034e-02,2.726171057269977799e-02,1.345972202233019777e-01
-2.849882011976712383e+06,4.656216997686564922e+06,3.287191424858871382e+06,-2.738737873983013854e-02,-9.255514232885590775e-02,3.845983213819784141e-02
-2.849884126891472843e+06,4.656216674304400571e+06,3.287192202200138941e+06,-3.393787036594022449e-02,-8.193467255886498213e-02,8.965914577520729331e-03
-2.849884443813234102e+06,4.656217662929617800e+06,3.287185457415424753e+06,-6.941989425100014710e-02,4.061856944767412714e-02,9.866613188935969073e-03
-2.849882404669943266e+06,4.656216716460826807e+06,3.287201509742822498e+06,3.242949962929060626e-02,-4.776825479772114913e-02,-6.570596152562859643e-03
-2.849885929381249007e+06,4.656215865720267408e+06,3.287196664502831176e+06,1.620088084602977138e-02,-2.335782585678545381e-02,-3.057866815167026298e-02
-2.849887038933164440e+06,4.656216181178958155e+06,3.287179403306503315e+06,8.309254214789987825e-02,2.779179472805673110e-02,-1.043438785764299291e-02
-2.849885951190677471e+06,4.656212073300451972e+06,3.287192549840104766e+06,-4.080752976407064914e-02,-2.499983480831359170e-02,2.095349083364675402e-02
-2.849887921240784694e+06,4.656218299612793140e+06,3.287191566981973592e+06,8.617842379997017743e-02,-1.401574776701965119e-02,4.465326593611579353e-02
-2.849877740609697532e+06,4.656220267561711371e+06,3.287186373054558411e+06,-6.537227314420708708e-03,5.929934931758557015e-02,7.428836758479039071e-02
-2.849892856799620669e+06,4.656203991819777526e+06,3.287182738008221611e+06,4.777227418740952712e-03,-5.058952458439763822e-02,6.389688541812596489e-02
-2.849891725582379382e+06,4.656208833801644854e+06,3.287190589873049408e+06,6.343902937102716133e-02,-2.061683794094759485e-03,-1.347454849124697998e-02
-2.849885865376799833e+06,4.656215720120172016e+06,3.287176532064190600e+06,4.690668412805078236e-02,4.435456596810935515e-02,4.269928144417237809e-02
-2.849887219012467656e+06,4.656219718305027112e+06,3.287197415458313655e+06,-8.640236101429080162e-02,1.594145440933485147e-02,-2.459996818829584403e-02
-2.849871656855681911e+06,4.656212095251988620e+06,3.287190210729884449e+06,5.861843131939991486e-02,4.226911297101804132e-02,5.465763408367496634e-02
-2.849882964182266500e+06,4.656211437112873420e+06,3.287196056618034840e+06,1.644981707369011156e-02,3.006328040617329417e-02,1.968496235825680646e-02
-2.849882790755645372e+06,4.656217666045666672e+06,3.287192232525880914e+06,4.483206731615822782e-02,-1.499955648676480104e-02,9.399625557906087642e-03
-2.849888983869260643e+06,4.656212481846974231e+06,3.287181505422081798e+06,5.046914022854832177e-03,1.564034606877323999e-02,8.690295534650525899e-03
-2.849881232738187071e+06,4.656210347425309010e+06,3.287192825827167369e+06,-6.792322551591208069e-02,-2.290001194903306184e-02,-1.983798067854819491e-02
-2.849877814509070944e+06,4.656215307066994719e+06,3.287189368633310311e+06,-5.246288697464200103e-03,-4.172621122965394086e-02,-4.114060448602618880e-02
-2.849879744602282532e+06,4.656211567562787794e+06,3.287193455374066252e+06,-4.601422407451395517e-03,5.858193241102799265e-02,-1.601092849921663050e-02
-2.849890504277664702e+06,4.656212647248147987e+06,3.287191407146551646e+06,4.878968719016876787e-02,-3.263605566528945956e-02,1.484741512706791444e-02
-2.849879178658756427e+06,4.656222475753110833e+06,3.287196350177302025e+06,1.378813097476775697e-02,-1.383368767044187986e-02,-1.038136530482484110e-01
-2.849887292809552047e+06,4.656223902891564183e+06,3.287183652527819853e+06,-1.908569012972115633e-02,1.630534477645307961e-03,-2.446190553188909086e-02
-2.849883883800981566e+06,4.656217515792369843e+06,3.287183211001100950e+06,-5.844836365212285716e-03,-1.567964692445816127e-02,-7.931395145155600845e-02
-2.849882374180050101e+06,4.656220922275334597e+06,3.287188769019355532e+06,5.600520551354635362e-02,-1.140551362358672299e-02,-1.448317225158273283e-02
-2.849881397925374564e+06,4.656210553598529659e+06,3.287185210270171985e+06,-1.157191410483033728e-01,4.670054166941978169e-02,5.091899158356318067e-02
-2.849882110003089067e+06,4.656220306686148979e+06,3.287192346011039801e+06,5.147254126170705546e-02,1.421209397725566384e-02,1.094846132297546022e-02
-2.849886713202796876e+06,4.656219463041138835e+06,3.287194107897931710e+06,2.209548988203166586e-02,1.099907539239888647e-02,1.045056634342111240e-02
-2.849894084518466145e+06,4.656213654243554920e+06,3.287190359228508547e+06,3.347326751498874015e-02,-3.919776198584811605e-02,2.805253760866470436e-02
-2.849887652338406537e+06,4.656211156861347146e+06,3.287189324313636404e+06,5.589209818108151900e-02,9.637770668105114999e-03,-1.722536461340412259e-02
-2.849881382136567030e+06,4.656221986035483889e+06,3.287185704510070849e+06,-7.289140671152910533e-03,-6.219862248870718785e-03,8.879810824866517238e-02
-2.849889231124588288e+06,4.656218393043562770e+06,3.287193128699893132e+06,2.812923085124524603e-02,1.247323825866568092e-01,5.011847131451564741e-02
-2.849889196275889874e+06,4.656226551810517907e+06,3.287187440553756896e+06,2.934941277647347760e-02,2.461359422673994532e-02,1.930248587998205714e-02
-2.849888924786876421e+06,4.656207514313824475e+06,3.287196385754977353e+06,7.769886115615082245e-02,6.030494777567642350e-02,-7.574773962338150757e-02
-2.849884762186947744e+06,4.656202600316299126e+06,3.287187972148402128e+06,7.224196470082887289e-02,5.145061220644234212e-02,1.689742914629288953e-02
-2.849895080109342467e+06,4.656216466295802966e+06,3.287202776274184696e+06,1.142774100222434114e-01,-3.446207556385916942e-02,1.138395803703318339e-02
-2.849887318179238588e+06,4.656219952820677310e+06,3.287190382180330809e+06,1.010864153112785158e-01,-9.270628865873807578e-02,-2.086221772573432914e-02
-2.849885756144213025e+06,4.656221160938831978e+06,3.287194528076010291e+06,1.076725522009670463e-02,-6.914393474453665867e-02,-2.990315120528135376e-02
-2.849882631196973380e+06,4.656219534841905348e+06,3.287200434875186533e+06,-3.415296892894340020e-02,2.045846784309022365e-02,1.549212563781611485e-02
-2.849888063643831760e+06,4.656209229861984961e+06,3.287186589155299123e+06,3.084169564207793219e-03,3.487511188540166895e-02,1.010221425880843127e-01
-2.849887184496412985e+06,4.656210170710631646e+06,3.287194018408014905e+06,9.438803177857155169e-02,-5.052114817486632117e-03,8.487831581522245483e-02
-2.849887255836717319e+06,4.656220746535025537e+06,3.287187355279443320e+06,-1.112534060352878169e-02,-1.641589538618623209e-02,-1.091221652831093208e-01
-2.849892020137641579e+06,4.656213230288730934e+06,3.287193748559119646e+06,2.839563949371781693e-02,1.874898196570011152e-02,4.052076539633120422e-02
-2.849886446671256330e+06,4.656207996126438491e+06,3.287189102170107886e+06,1.584862178188504722e-01,2.342278279499400082e-02,-4.313861318215564400e-02
-2.849889240838669706e+06,4.656212600959666073e+06,3.287188661279580556e+06,8.034049402559277631e-02,-1.935333528020076119e-02,-7.114797068894555820e-02
-2.849900797069521155e+06,4.656213023354443721e+06,3.287193049978033639e+06,-3.927130539192394409e-02,-2.368511008847075036e-02,-1.245270843543933720e-02
-2.849884557375269476e+06,4.656205781320613809e+06,3.287193106896976940e+06,-2.850215678184592205e-02,-3.338407364609181222e-02,2.455715646177529868e-02
-2.849884074442035519e+06,4.656209118412321433e+06,3.287193427938307635e+06,5.153515305783343270e-02,-6.905503862113897967e-03,-7.832717890241461603e-03
-2.849888617666114122e+06,4.656215022697445937e+06,3.287180590152270626e+06,-1.840281551955117931e-02,-3.183189004117902704e-02,4.157641044585704687e-02
-2.849878878484447487e+06,4.656210101201809011e+06,3.287192127962962259e+06,1.226531593942663603e-02,-2.150243973853484432e-03,-2.676149396759313140e-02
-2.849884791312966030e+06,4.656215950466644019e+06,3.287200137213228270e+06,-1.841602372467020937e-02,4.183502014036816208e-02,5.031321313074469184e-03
-2.849881255928526167e+06,4.656211271876487881e+06,3.287197495805166662e+06,2.169064602145390555e-02,4.860790351709898954e-02,1.743821772945719148e-02
-2.849888339331533760e+06,4.656210954246586189e+06,3.287189731638390105e+06,-6.202104405915142421e-02,-5.064826729390003307e-02,-4.937087376456756119e-03
-2.849883646997914184e+06,4.656210450168850832e+06,3.287205627711786423e+06,-4.542722182677386145e-02,-8.018182202985854254e-03,3.572999599802555853e-02
-2.849887797398370691e+06,4.656205417891550809e+06,3.287179816070472822e+06,-3.049700052755848975e-02,-4.449484732488856974e-03,-1.073746443966811931e-01
-2.849881196741945110e+06,4.656220558875750750e+06,3.287178852883733809e+06,3.957894463115374517e-02,-5.209821146217256255e-02,-1.104776816974611942e-02
-2.849881147112443112e+06,4.656215828502249904e+06,3.287190813307236414e+06,-7.412275800714455964e-02,-9.832896746707786573e-03,1.300278810335285355e-02
-2.849889600384921301e+06,4.656213279986754991e+06,3.287190283475184347e+06,5.729034039860693428e-02,6.297510957968906198e-02,2.757890598834027152e-02
-2.849892205888088327e+06,4.656212259042193182e+06,3.287182227361663245e+06,5.200829210604090980e-02,4.868066517433895096e-02,-1.684210852066063066e-02
-2.849893978463358711e+06,4.656217474702130072e+06,3.287186911090514157e+06,1.788047139600907470e-02,-5.449068189327931772e-02,6.455284771103104915e-04
-2.849882635570220649e+06,4.656209972797292285e+06,3.287196560794468969e+06,-8.945913544516732874e-02,5.550303304214967981e-02,2.515869409938546047e-02
-2.849883364161615726e+06,4.656211622700192966e+06,3.287187836421285756e+06,3.595439559308198033e-03,-8.089017748834836929e-02,7.384982073471638153e-02
-2.849879534086889122e+06,4.656211961330807768e+06,3.287192618262658827e+06,1.560741069193927466e-01,-2.043592114723234709e-02,-1.485544764408118328e-02
-2.849887854663971346e+06,4.656217260162683204e+06,3.287193941627629567e+06,-1.129485965006938736e-01,1.072205376139570288e-01,7.732726491696487181e-02
-2.849885501576218288e+06,4.656216050114472397e+06,3.287196332069327589e+06,-4.075425535044840258e-02,-1.653558298460090781e-02,2.421423323321116733e-02
-2.849887525081508327e+06,4.656219698816455901e+06,3.287190487426766660e+06,-6.633670749990184037e-03,4.122894673642660962e-02,-3.700598234160067113e-02
-2.849891919973644428e+06,4.656216160470934585e+06,3.287183617437005509e+06,4.138283080959805765e-02,-5.832186458140117824e-02,1.266424673587053344e-02
-2.849887453888860997e+06,4.656217365468950942e+06,3.287181815503716003e+06,2.760599922296345238e-02,5.451577469517874391e-02,-3.761338691130840413e-03
-2.849880284720035270e+06,4.656217515486110933e+06,3.287183165860750712e+06,-7.595694119354566565e-02,4.727871513232045214e-02,-1.611160716617360440e-03
-2.849884349365680479e+06,4.656213446923188865e+06,3.287191173469666392e+06,2.969725141838967103e-02,-2.091277433994911516e-03,-3.080725258000126601e-02
-2.849888085540208966e+06,4.656215555655819364e+06,3.287197872366819996e+06,4.626077583061189574e-02,4.751318100116582593e-03,-1.534448572798611903e-02
-2.849884523772075307e+06,4.656208792927178554e+06,3.287189890821189620e+06,-6.961377707094053811e-03,-8.285999757424177686e-03,-2.077048272073299742e-02
-2.849883333225185983e+06,4.656211664625477977e+06,3.287190207849440631e+06,1.971036803057831660e-02,-9.530342405304250905e-03,3.019043339830081510e-02
-2.849886843521609902e+06,4.656211258164718747e+06,3.287193081889360212e+06,6.694711416381673996e-02,2.532519459988692712e-02,-6.739565898537996924e-02
-2.849892991508332547e+06,4.656219483744995669e+06,3.287187649888320360e+06,-2.445471375671070917e-03,8.430603251438176238e-02,3.853806211695730982e-02
-2.849890639470976312e+06,4.656207014676123857e+06,3.287182505344506819e+06,4.344437482363360664e-03,-2.617733987880302426e-02,-2.519095456255446286e-02
-2.849891149895166513e+06,4.656213787425979041e+06,3.287195834231465124e+06,-2.765861614094599838e-02,1.134059661954018722e-01,-3.829606990165698287e-03
-2.849887558609862812e+06,4.656219595392006449e+06,3.287181888758332469e+06,4.744103087639608279e-02,-2.306561793751982226e-02,-4.988877253757163094e-02
-2.849880274864355102e+06,4.656219268712163903e+06,3.287183865786134731e+06,-1.735968106848849099e-02,4.042924440400132852e-03,4.244826911897888952e-03
-2.849889309038015548e+06,4.656212078168924898e+06,3.287193224911408965e+06,-5.580676364359629660e-02,-5.887937504116968340e-02,-6.133785117205875492e-02
