gyro_x (deg/s),gyro_y (deg/s),gyro_z (deg/s)
-1.691141367040745885e-02,-4.437861513680364106e-02,-5.806023285224738706e-02
-1.296846485388644388e-01,6.712028555808415009e-02,-2.126742757805004380e-02
-2.645789261604900716e-02,-2.697844257902246023e-02,5.699575276169396160e-02
-1.413301296119665561e-02,7.502081003101283840e-02,-4.660696094570200392e-03
1.175625342443028659e-01,-5.789498831125668155e-02,5.013465960774702440e-02
8.989259856580053554e-02,5.667479347485632896e-02,2.940280473614774459e-02
-8.635090608280176008e-03,-1.782437030381419383e-03,3.769781510443895312e-02
6.729282471846624591e-02,-6.726280756745715850e-02,5.182356487979129789e-02
3.287086311786666798e-02,-8.499790924401112724e-02,-1.144900468328967011e-02
-3.902482118163122515e-02,-2.125797462718267972e-02,5.609857507368496560e-02
9.523629521796111996e-02,9.756289074987758991e-02,-3.259299680653790499e-02
-3.257321044408314353e-02,-8.818415697429647648e-02,-6.218265235008305081e-03
4.812703978549369432e-02,-4.100291940537476726e-02,-4.247546445060512710e-02
-3.197158000403958755e-02,-1.530062223920837863e-02,5.887183210241419412e-02
-3.382321556471287651e-03,1.460859378121079875e-02,-4.496587458618216820e-02
-1.084703804928010759e-02,-6.722938069479918698e-03,-5.750598450768257264e-02
-3.644030603346339742e-02,-2.714134109680490028e-02,-4.419137736372311803e-02
6.759808635403490029e-02,1.450743003216454011e-02,-4.870398204743008747e-02
-6.089906840864166976e-02,3.132051843779942030e-02,-5.196617622377883161e-02
4.900130548063044537e-03,-2.463216754700111449e-02,-6.003382983352405396e-03
4.745953739665056265e-02,-2.694695934172746873e-02,1.534924002869223446e-02
-5.647753053927900835e-02,-7.052083555855591379e-02,5.074996722915382785e-02
1.531422872145982682e-02,5.475242792811328696e-02,-2.126546200727251132e-02
1.781947831288057532e-02,1.042564472960616842e-02,2.452126307978353195e-02
7.265491091783914113e-02,3.898416685257415776e-02,-5.839398827940763675e-02
-3.054286853135797924e-02,-4.152852483042085430e-02,1.049429579457945849e-02
1.961650898366726001e-02,-1.448099754819786103e-02,1.204018507010019140e-02
-6.892557394205091337e-02,4.608495330480953667e-02,-2.065242775281810744e-02
-1.907677929691915450e-02,-1.850761515528489762e-02,-1.688544028239328393e-02
-7.954941061297855776e-02,-1.836988986225755391e-02,3.799694586809061747e-02
6.105282370863204799e-02,3.191166312659142121e-03,-2.250912134038578899e-02
-1.701416213545261418e-03,-1.196387324715843578e-04,-3.846780622157413426e-02
-5.296461073727394553e-02,-2.791825904394844553e-03,2.550195692252642254e-02
9.635268263141710463e-03,-8.423061181218363669e-02,7.070529445230652570e-03
3.373430533712319657e-02,4.959353018481958003e-02,4.355690493751372856e-03
2.290966828962912039e-02,-2.670794318760095695e-02,-4.871397588922287553e-02
5.247630276499901623e-03,6.002463408206173967e-02,-5.550881682846424414e-02
-1.462113009547672156e-02,-8.087810660737652924e-02,-1.454789298373536204e-02
1.154416364715619703e-01,6.759672084268190939e-03,2.447564099637930882e-02
9.325598603169142284e-03,5.751904129322879533e-02,1.210338445070646973e-01
-6.934869256865647258e-02,-3.558413851596412686e-02,-9.708618633749489107e-03
6.526089804547585693e-02,-8.924988853439880243e-02,3.638128205563812695e-02
1.946387065189918858e-02,1.936514526987744012e-02,-8.366774358873802636e-03
8.599809837130144644e-03,1.157123013046561580e-02,3.052052238911970999e-02
-1.478271803505801577e-02,2.173475560802599210e-02,2.984294893396716164e-03
-4.667198366394292863e-02,8.377029428507597186e-02,2.087637177302865271e-02
-1.418592438431890909e-02,1.083257009836013961e-03,6.602731264040864745e-02
-4.487072709357405043e-02,2.183254140738964677e-03,1.253495198047627733e-02
6.188964133588301109e-02,9.658613975179466959e-02,-6.835031752654714687e-02
-5.563031121949231494e-02,6.189033451329341989e-03,2.265418804767233701e-02
2.385650611091490354e-03,-4.896924973344848192e-02,-4.276147963434703651e-03
-5.202485346834790497e-02,5.144088729080236594e-02,4.075712925158149480e-02
2.257509839377871280e-02,-2.984743100619810172e-02,-2.906684930621382390e-02
-6.779018038851693240e-02,7.640921295714553363e-02,4.140056106625721044e-02
-5.671110870551902133e-02,7.798817820382454580e-02,-5.943081660314082637e-02
9.863480937605346652e-04,1.789147661256198715e-02,7.195532474733898343e-02
9.483193191983023407e-02,8.457506803029510301e-02,3.714525932340915354e-02
