mag_x (uT),mag_y (uT),mag_z (uT)
3.294636408961561358e+01,1.732129504510134255e-01,3.610778523575981325e+01
3.313703650079340690e+01,1.690613093463192718e-01,3.654158381033528258e+01
3.314431444796545634e+01,1.141308940224433632e-01,3.628305106193592167e+01
3.331606632906841980e+01,2.410566739113662038e-02,3.641462968249105359e+01
3.305906531437241114e+01,2.936205299885078501e-01,3.621543383013457174e+01
3.304535408356996129e+01,9.870766471202994941e-02,3.625830111684348367e+01
3.294151810969201222e+01,1.198620434596203710e-02,3.623140099024391247e+01
3.303261335575524527e+01,-5.149954384262719342e-01,3.615895236395184753e+01
3.290549477285191671e+01,1.016755755857177146e-01,3.644205046209722809e+01
3.296347582210658089e+01,-5.492649944840621856e-02,3.667150779724608611e+01
3.306082876324178699e+01,3.821179239856304366e-01,3.631925875906240009e+01
3.299761708174391117e+01,1.631291720853188520e-01,3.604534265091003675e+01
3.329140788603656631e+01,2.860680948482364205e-01,3.617560305015106081e+01
3.300560636580220830e+01,3.619524149636833832e-02,3.618569379327094993e+01
3.312168913911608570e+01,-5.542435492542781283e-02,3.637847679943330803e+01
3.298594348150258782e+01,2.206317344690894855e-01,3.607288727171762588e+01
3.324507942783495906e+01,-2.397285402640821766e-02,3.657986058059677958e+01
3.308586624914909891e+01,-5.623972411803099258e-02,3.648039105018256123e+01
3.269721174916998052e+01,6.130459278617590713e-02,3.613177388879916663e+01
3.325156958846871902e+01,-1.053025239578180561e-01,3.613586842986845227e+01
3.293696362213039919e+01,-3.860838670749919960e-02,3.651912868932024736e+01
3.279385383868623194e+01,2.090885326671388933e-01,3.650369555335354477e+01
3.307828389407083591e+01,1.783223616039180115e-01,3.653234370011511345e+01
3.325935445519569811e+01,-9.528489944742635220e-02,3.628863972708752073e+01
3.306764242196625503e+01,-1.259008852914820509e-01,3.651798886704243330e+01
3.273782911056825640e+01,-5.870981549607180439e-01,3.645390403588950790e+01
3.307850714602853515e+01,2.760804193179319799e-02,3.655931400079142435e+01
3.266365070963897921e+01,-2.491931400860168955e-01,3.591551106066137322e+01
3.272209975814451610e+01,-1.419082721981865525e-01,3.620484705503568534e+01
3.309809308705597886e+01,2.991492896983647537e-02,3.608862823170485257e+01
3.325406262521114797e+01,3.286480574037838331e-01,3.623861739067959320e+01
3.275906320395926485e+01,2.442444244740996917e-01,3.630946288051956827e+01
3.307834398760510197e+01,1.877429202040553358e-01,3.596350879534732314e+01
3.289461959473042896e+01,2.117195690703484456e-01,3.623425727191037282e+01
3.332865945383945672e+01,-2.971511703961031148e-01,3.597549745027391310e+01
3.344362706500371729e+01,1.173784644457752935e-01,3.614287447091756889e+01
3.309371828103160595e+01,2.474289795614432741e-01,3.659726497199618223e+01
3.299202905634378880e+01,-1.786877237051296419e-01,3.612598474198562570e+01
3.329106831313570325e+01,-3.138280186533844440e-01,3.650528387769863059e+01
3.318422225923099944e+01,-1.787913421907867118e-01,3.623243007055720000e+01
3.310538498405671959e+01,2.593620318584630158e-01,3.603304280005502136e+01
3.314549972358220487e+01,2.739563670479922691e-02,3.625958926133860416e+01
3.323074789367402815e+01,-3.092742401879807271e-02,3.615776093078629572e+01
3.321177906695719884e+01,1.578434126951643035e-02,3.613927997449330576e+01
3.317300674179644915e+01,-1.901007842071211484e-01,3.618258393200366640e+01
3.328437447180720454e+01,6.375713682687236816e-02,3.598519767431018579e+01
3.331192022614039416e+01,1.606558142342693341e-01,3.647787462294381555e+01
3.343267113176170113e+01,7.323838553944182761e-02,3.659305704733155551e+01
3.312759088537600149e+01,-1.856966580900874242e-01,3.647881581940469431e+01
3.293918258270254995e+01,2.438882001470813465e-01,3.616400359448960700e+01
3.313892566150939700e+01,1.608055523712013934e-01,3.618931353678642182e+01
3.325007193153825824e+01,2.686650781815754785e-01,3.637274535112926799e+01
3.352127115519684963e+01,3.757946639608288897e-01,3.598591613653636045e+01
3.311160632193018216e+01,2.331786256727896578e-01,3.617571219997500265e+01
3.312298439913158177e+01,1.204477978067500232e-01,3.620033697082453017e+01
3.314754319815679651e+01,2.424638257737617986e-01,3.603427132953794398e+01
