accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
9.788648690540184549e-02,9.866059976144291033e-02,-9.706112563102626822e+00
9.323078871102000176e-02,1.019456254089991382e-01,-9.709542336153775821e+00
1.027156293452796687e-01,9.036212690398860714e-02,-9.675051672762934984e+00
9.367578404290095861e-02,1.082614136976376290e-01,-9.692278102242712023e+00
1.073203182330812744e-01,9.275956846706934211e-02,-9.696847804441150132e+00
1.103516582316001055e-01,1.034296643049044812e-01,-9.699118648571870338e+00
1.005097920833056130e-01,9.700174152052568055e-02,-9.688131240752529294e+00
9.871075814516713787e-02,9.739672836315683979e-02,-9.689890547571707202e+00
1.015318409866676486e-01,1.074787002135128566e-01,-9.703955743142563151e+00
9.454145314952099033e-02,1.007668105187096014e-01,-9.709365735687338628e+00
9.145905409176538492e-02,1.148031448570001056e-01,-9.683376107911447761e+00
9.996680657922943358e-02,1.069975300873977631e-01,-9.703069097694109857e+00
9.921994480080949252e-02,9.722627855738608105e-02,-9.684501963691792170e+00
1.066182868016222335e-01,1.041241575026453647e-01,-9.692911781273990002e+00
1.097695563204631741e-01,8.711165108258819845e-02,-9.696990682314677201e+00
8.674349504959409651e-02,8.936571832440473595e-02,-9.692554628789824989e+00
1.057518378246296992e-01,9.542325273407725739e-02,-9.704345088070795100e+00
1.116899409055839981e-01,8.250473664158852749e-02,-9.684287116040451338e+00
9.251733279437353297e-02,1.029344764102598092e-01,-9.703158224043519908e+00
9.163336672738094102e-02,1.051827721013809391e-01,-9.690396340632421612e+00
1.010059171025359664e-01,1.173455398102616065e-01,-9.696327295433009752e+00
1.123438025544986618e-01,9.404572267461516755e-02,-9.685134902669799928e+00
9.825486307897414451e-02,9.232875813317151237e-02,-9.702115700955655342e+00
1.019965059691586573e-01,1.054789226559367382e-01,-9.704717311718587425e+00
9.289497851088548974e-02,9.194887473394709743e-02,-9.695871722940733406e+00
1.079082846687299535e-01,1.111210088978772520e-01,-9.699186630399328379e+00
1.022995525571919612e-01,1.007925287628781003e-01,-9.695302890526070527e+00
