gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849886754151037894e+06,4.656227457740228623e+06,3.287194982547840104e+06,5.092476152214156393e+00,4.914018887773377031e+00,4.934025967549301228e+00
-2.849881493942136411e+06,4.656219714859319851e+06,3.287186299863469787e+06,4.981088456978470802e+00,5.068309963696629339e+00,4.984258676803373866e+00
-2.849890627306564245e+06,4.656209405115691945e+06,3.287179575889791362e+06,5.017288431240633173e+00,5.065078444800152013e+00,5.020396078997082512e+00
-2.849893465073418804e+06,4.656209638371831737e+06,3.287193418354797643e+06,5.036176812900382771e+00,5.025291631708721951e+00,5.002894669352449419e+00
-2.849890090989639051e+06,4.656213769585504197e+06,3.287188559308297001e+06,4.988617104751758013e+00,4.985321259101687552e+00,4.963601755431370499e+00
-2.849883379088532645e+06,4.656231464843386784e+06,3.287184477397513576e+06,4.942929546052403644e+00,4.951210783506097002e+00,4.958349960875882090e+00
-2.849898016958574299e+06,4.656212904155217111e+06,3.287179777329829056e+06,4.974400881816713138e+00,4.948973276954191647e+00,5.011184203813416005e+00
-2.849890106944435276e+06,4.656222233373159543e+06,3.287203813691393007e+06,5.044096208988674945e+00,4.986308333283095529e+00,5.018140240690458498e+00
-2.849890556594762020e+06,4.656222053812608123e+06,3.287185377699298318e+06,5.013558996749416075e+00,5.060649507996407337e+00,5.010193321538054967e+00
-2.849886892708934844e+06,4.656216692639773712e+06,3.287187820002945606e+06,5.055998967204534011e+00,4.996356112925735893e+00,5.017676591913446948e+00
-2.849886068586443085e+06,4.656216215844254941e+06,3.287186738426526077e+06,5.012455992145634198e+00,4.987806965863272879e+00,4.946299679875285626e+00
-2.849885610448021907e+06,4.656213341641816311e+06,3.287188889071346261e+06,4.967071957008728944e+00,4.943588657685224597e+00,4.931269147812311182e+00
-2.849883351474299096e+06,4.656215959798830561e+06,3.287187740373225883e+06,4.971534584622870234e+00,5.004270810590163876e+00,4.986941723200191134e+00
-2.849874374104043469e+06,4.656212735934280790e+06,3.287199463081569877e+06,5.015550288732065987e+00,4.880735316728018525e+00,5.035301118015674149e+00
-2.849882467574606650e+06,4.656213917518449016e+06,3.287187838662793860e+06,5.015018980003777216e+00,5.027888210237007272e+00,5.010793218114564240e+00
-2.849885290219419636e+06,4.656218419748294167e+06,3.287191939405465964e+06,5.048098319959699154e+00,4.971654025474131267e+00,5.133128798067897236e+00
-2.849886986166320276e+06,4.656220580450844020e+06,3.287191771124331746e+06,4.931175395220903646e+00,5.059570645859191806e+00,5.000785844653631962e+00
-2.849876704076192807e+06,4.656216952143165283e+06,3.287199887155895587e+06,5.023567743026059240e+00,5.045547040082042578e+00,4.957820548341699052e+00
-2.849886825510448311e+06,4.656219093897497281e+06,3.287188984887544997e+06,5.034678860080874507e+00,4.925134552127822474e+00,4.958376587701677884e+00
-2.849880056678614113e+06,4.656218083893251605e+06,3.287191904911506455e+06,5.037440468061225474e+00,4.998280824374329967e+00,4.926413417562891972e+00
-2.849878801479588728e+06,4.656218122337580658e+06,3.287188384224931709e+06,4.957348995713046769e+00,5.006797550683083742e+00,5.028934511812711783e+00
-2.849895490230836906e+06,4.656215035712704994e+06,3.287188667492857669e+06,5.025716798517374961e+00,5.021336901675350184e+00,5.041117455604333664e+00
-2.849888858613830525e+06,4.656222385748991743e+06,3.287195334224390797e+06,4.958877332983559150e+00,4.960850695964520440e+00,5.018102755971120210e+00
-2.849882281801672187e+06,4.656227300347360782e+06,3.287175574128258042e+06,4.961464975214699535e+00,4.955636550406742558e+00,4.985786785783344222e+00
-2.849881801862050779e+06,4.656211895063305274e+06,3.287189006105601788e+06,4.936156777561457432e+00,4.988003383832664284e+00,5.063011623917883064e+00
-2.849881196286905557e+06,4.656211198817061260e+06,3.287193123729403596e+06,4.935269061136798641e+00,5.003246631888023543e+00,5.030901935217787724e+00
-2.849885406897757668e+06,4.656217212635992095e+06,3.287183882283481304e+06,5.053571786065533367e+00,4.904903541860345051e+00,5.006411325191441719e+00
-2.849882168781595770e+06,4.656207928459824063e+06,3.287181112629793584e+06,5.008432491541659815e+00,4.924728432053183447e+00,5.059330391353336509e+00
-2.849884611427377444e+06,4.656209878669599071e+06,3.287186704053586815e+06,4.881631940119439683e+00,4.984815651470372089e+00,5.042350560651507330e+00
-2.849887089722727425e+06,4.656216471607010812e+06,3.287200008952595294e+06,5.024063840942994297e+00,4.906147932705427372e+00,4.957250976603703840e+00
-2.849886926370791160e+06,4.656219298030298203e+06,3.287193892165539321e+06,5.081257373754103135e+00,5.130480434118502409e+00,4.936191848751789735e+00
-2.849880295677274000e+06,4.656217923553081229e+06,3.287196008700424805e+06,5.013942903362877068e+00,4.970634284990859797e+00,5.030271005713798260e+00
