mag_x (uT),mag_y (uT),mag_z (uT)
3.322539410616730038e+01,8.193369621689855498e-02,3.624930926252347518e+01
3.303652912887920223e+01,1.673000669812337582e-01,3.633660965156586542e+01
3.328016086151742314e+01,4.815237573915636532e-02,3.627551238951919288e+01
3.311558794799426408e+01,1.849418865856776728e-01,3.625880788515566167e+01
3.307522120338421701e+01,-8.586997650027095030e-02,3.618420922060962397e+01
3.304267353978090682e+01,1.053446276177476409e-01,3.614432340855640291e+01
3.306171576101530718e+01,-2.506864632424880834e-02,3.620556220200278830e+01
3.304405225809959745e+01,6.650180359394800705e-03,3.639838245223661062e+01
3.312967645345029410e+01,2.262369374369923095e-02,3.620238944390631275e+01
3.315710815985428894e+01,4.027024441418401539e-03,3.634941938596867317e+01
3.331941697578685080e+01,-4.890618396889893221e-02,3.625953030404639321e+01
3.297215142130126964e+01,-9.852140392783041711e-02,3.631343640896410108e+01
3.306298567665126598e+01,-1.547176340386393900e-01,3.645505739113855981e+01
3.302074575930070921e+01,1.414000610086101895e-01,3.612743656816481774e+01
3.310255020517627145e+01,-4.937265655906187406e-02,3.626060347069490319e+01
3.311127458424235925e+01,-6.412574830969689638e-03,3.628189752479065788e+01
3.323324419724497147e+01,-1.785087254848127802e-02,3.628227238045563752e+01
3.304926723599058391e+01,-1.006952588965141226e-01,3.625823282942288017e+01
3.327849842905796862e+01,-3.679560164333749162e-02,3.645277663695335235e+01
3.297287329807186040e+01,1.534110568488614434e-01,3.618356264858993399e+01
3.318792363790257127e+01,1.773631187409833165e-01,3.607691908192871466e+01
3.337598489662286028e+01,-7.410172210330957104e-03,3.628330057187329061e+01
3.305677917898935192e+01,1.794752233516908324e-01,3.608236675079960776e+01
3.314410871089586408e+01,8.577249295536197582e-02,3.620234973299206160e+01
3.300194768497991049e+01,-9.907718987008906630e-02,3.623223940366991513e+01
3.305261225442393425e+01,1.709809889654545501e-02,3.631564359383329332e+01
3.323191379822237934e+01,-8.800586861567223640e-02,3.610042588153959287e+01
3.308308904218721125e+01,1.262799734067393542e-01,3.633097499638890326e+01
3.305415989124101372e+01,6.550104108952276190e-03,3.617705972058745090e+01
3.302716823933243262e+01,9.806758432828305283e-02,3.644819152436502918e+01
3.293794512030521560e+01,-2.262701010196356555e-02,3.638865276822199490e+01
3.313905212276805656e+01,-4.381093707503018464e-02,3.618441451782260998e+01
3.311754565342153001e+01,9.819284196402046361e-02,3.609494416799987704e+01
3.327184351966290166e+01,3.941066039369458401e-02,3.628645474114352965e+01
3.316138286294136606e+01,6.804807522298257638e-02,3.626999364646633950e+01
3.326580602703626255e+01,-1.217615739987935319e-01,3.634761791781876639e+01
3.318534806552975169e+01,-5.856665197494559383e-02,3.632802115101324603e+01
3.309221674358621357e+01,-8.954462739344132283e-02,3.630515566420697127e+01
3.304132679490538038e+01,-1.552479228632121233e-01,3.615573819757898377e+01
3.317635659170342421e+01,3.526000087475418543e-02,3.623392124673166137e+01
3.318034507838878966e+01,-5.304774966554146043e-02,3.628245016969865588e+01
3.310654200120810486e+01,8.516040691412919000e-03,3.618153576637565294e+01
3.301093504595267092e+01,1.459079893907068992e-01,3.617809624861843076e+01
3.315835882515851551e+01,-2.658377402061043102e-02,3.640686868594398362e+01
3.323147141221874534e+01,-1.362621776769741833e-01,3.616102424469023191e+01
3.311402154051745583e+01,-2.672647387975790254e-02,3.627467071338711690e+01
3.314606031859285906e+01,7.636534956453437661e-03,3.607765133677765590e+01
3.314718256387877915e+01,-6.095267533893092976e-02,3.623508767793946106e+01
3.320904698074934913e+01,6.646123303634086932e-02,3.630424366302018768e+01
3.308901685663705905e+01,2.195842956040381776e-03,3.619493429597726930e+01
3.318984237726890996e+01,-1.521176432515993632e-02,3.638167390659152289e+01
3.311981899135665941e+01,-1.814344706124523254e-01,3.624022104896398844e+01
