ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886568250875454e+06,4.656214322941934690e+06,3.287190650463122874e+06
-2.849886518250875175e+06,4.656214372941934504e+06,3.287190700463123154e+06
-2.849886468250875361e+06,4.656214422941935249e+06,3.287190750463122968e+06
-2.849886418250875082e+06,4.656214472941935062e+06,3.287190800463123247e+06
-2.849886368250875268e+06,4.656214522941934876e+06,3.287190850463123061e+06
-2.849886318250875454e+06,4.656214572941934690e+06,3.287190900463122874e+06
-2.849886268250875175e+06,4.656214622941934504e+06,3.287190950463123154e+06
-2.849886218250875361e+06,4.656214672941935249e+06,3.287191000463122968e+06
-2.849886168250875082e+06,4.656214722941935062e+06,3.287191050463123247e+06
-2.849886118250875268e+06,4.656214772941934876e+06,3.287191100463123061e+06
-2.849886068250875454e+06,4.656214822941934690e+06,3.287191150463122874e+06
-2.849886018250875175e+06,4.656214872941934504e+06,3.287191200463123154e+06
-2.849885968250875361e+06,4.656214922941935249e+06,3.287191250463122968e+06
-2.849885918250875082e+06,4.656214972941935062e+06,3.287191300463123247e+06
-2.849885868250875268e+06,4.656215022941934876e+06,3.287191350463123061e+06
-2.849885818250875454e+06,4.656215072941934690e+06,3.287191400463122874e+06
-2.849885768250875175e+06,4.656215122941934504e+06,3.287191450463123154e+06
-2.849885718250875361e+06,4.656215172941935249e+06,3.287191500463122968e+06
-2.849885668250875082e+06,4.656215222941935062e+06,3.287191550463123247e+06
-2.849885618250875268e+06,4.656215272941934876e+06,3.287191600463123061e+06
-2.849885568250875454e+06,4.656215322941934690e+06,3.287191650463122874e+06
-2.849885518250875175e+06,4.656215372941934504e+06,3.287191700463123154e+06
-2.849885468250875361e+06,4.656215422941935249e+06,3.287191750463122968e+06
-2.849885418250875082e+06,4.656215472941935062e+06,3.287191800463123247e+06
-2.849885368250875268e+06,4.656215522941934876e+06,3.287191850463123061e+06
-2.849885318250875454e+06,4.656215572941934690e+06,3.287191900463122874e+06
-2.849885268250875175e+06,4.656215622941934504e+06,3.287191950463123154e+06
-2.849885218250875361e+06,4.656215672941935249e+06,3.287192000463122968e+06
-2.849885168250875082e+06,4.656215722941935062e+06,3.287192050463123247e+06
-2.849885118250875268e+06,4.656215772941934876e+06,3.287192100463123061e+06
-2.849885068250875454e+06,4.656215822941934690e+06,3.287192150463122874e+06
-2.849885018250875175e+06,4.656215872941934504e+06,3.287192200463123154e+06
-2.849884968250875361e+06,4.656215922941935249e+06,3.287192250463122968e+06
-2.849884918250875082e+06,4.656215972941935062e+06,3.287192300463123247e+06
-2.849884868250875268e+06,4.656216022941934876e+06,3.287192350463123061e+06
-2.849884818250875454e+06,4.656216072941934690e+06,3.287192400463122874e+06
-2.849884768250875175e+06,4.656216122941934504e+06,3.287192450463123154e+06
-2.849884718250875361e+06,4.656216172941935249e+06,3.287192500463122968e+06
-2.849884668250875082e+06,4.656216222941935062e+06,3.287192550463123247e+06
-2.849884618250875268e+06,4.656216272941934876e+06,3.287192600463123061e+06
-2.849884568250875454e+06,4.656216322941934690e+06,3.287192650463122874e+06
-2.849884518250875175e+06,4.656216372941934504e+06,3.287192700463123154e+06
-2.849884468250875361e+06,4.656216422941935249e+06,3.287192750463122968e+06
-2.849884418250875082e+06,4.656216472941935062e+06,3.287192800463123247e+06
-2.849884368250875268e+06,4.656216522941934876e+06,3.287192850463123061e+06
-2.849884318250875454e+06,4.656216572941934690e+06,3.287192900463122874e+06
-2.849884268250875175e+06,4.656216622941934504e+06,3.287192950463123154e+06
-2.849884218250875361e+06,4.656216672941935249e+06,3.287193000463122968e+06
-2.849884168250875082e+06,4.656216722941935062e+06,3.287193050463123247e+06
-2.849884118250875268e+06,4.656216772941934876e+06,3.287193100463123061e+06
-2.849884068250875454e+06,4.656216822941934690e+06,3.287193150463122874e+06
-2.849884018250875175e+06,4.656216872941934504e+06,3.287193200463123154e+06
-2.849883968250875361e+06,4.656216922941935249e+06,3.287193250463122968e+06
-2.849883918250875082e+06,4.656216972941935062e+06,3.287193300463123247e+06
-2.849883868250875268e+06,4.656217022941934876e+06,3.287193350463123061e+06
-2.849883818250875454e+06,4.656217072941934690e+06,3.287193400463122874e+06
-2.849883768250875175e+06,4.656217122941934504e+06,3.287193450463123154e+06
-2.849883718250875361e+06,4.656217172941935249e+06,3.287193500463122968e+06
-2.849883668250875082e+06,4.656217222941935062e+06,3.287193550463123247e+06
-2.849883618250875268e+06,4.656217272941934876e+06,3.287193600463123061e+06
-2.849883568250875454e+06,4.656217322941934690e+06,3.287193650463122874e+06
-2.849883518250875175e+06,4.656217372941934504e+06,3.287193700463123154e+06
-2.849883468250875361e+06,4.656217422941935249e+06,3.287193750463122968e+06
-2.849883418250875082e+06,4.656217472941935062e+06,3.287193800463123247e+06
-2.849883368250875268e+06,4.656217522941934876e+06,3.287193850463123061e+06
-2.849883318250875454e+06,4.656217572941934690e+06,3.287193900463122874e+06
-2.849883268250875175e+06,4.656217622941934504e+06,3.287193950463123154e+06
-2.849883218250875361e+06,4.656217672941935249e+06,3.287194000463122968e+06
-2.849883168250875082e+06,4.656217722941935062e+06,3.287194050463123247e+06
-2.849883118250875268e+06,4.656217772941934876e+06,3.287194100463123061e+06
-2.849883068250875454e+06,4.656217822941934690e+06,3.287194150463122874e+06
-2.849883018250875175e+06,4.656217872941934504e+06,3.287194200463123154e+06
-2.849882968250875361e+06,4.656217922941935249e+06,3.287194250463122968e+06
-2.849882918250875082e+06,4.656217972941935062e+06,3.287194300463123247e+06
-2.849882868250875268e+06,4.656218022941934876e+06,3.287194350463123061e+06
-2.849882818250875454e+06,4.656218072941934690e+06,3.287194400463122874e+06
-2.849882768250875175e+06,4.656218122941934504e+06,3.287194450463123154e+06
-2.849882718250875361e+06,4.656218172941935249e+06,3.287194500463122968e+06
-2.849882668250875082e+06,4.656218222941935062e+06,3.287194550463123247e+06
-2.849882618250875268e+06,4.656218272941934876e+06,3.287194600463123061e+06
-2.849882568250875454e+06,4.656218322941934690e+06,3.287194650463122874e+06
-2.849882518250875175e+06,4.656218372941934504e+06,3.287194700463123154e+06
-2.849882468250875361e+06,4.656218422941935249e+06,3.287194750463122968e+06
-2.849882418250875082e+06,4.656218472941935062e+06,3.287194800463123247e+06
-2.849882368250875268e+06,4.656218522941934876e+06,3.287194850463123061e+06
-2.849882318250875454e+06,4.656218572941934690e+06,3.287194900463122874e+06
-2.849882268250875175e+06,4.656218622941934504e+06,3.287194950463123154e+06
-2.849882218250875361e+06,4.656218672941935249e+06,3.287195000463122968e+06
-2.849882168250875082e+06,4.656218722941935062e+06,3.287195050463123247e+06
-2.849882118250875268e+06,4.656218772941934876e+06,3.287195100463123061e+06
-2.849882068250875454e+06,4.656218822941934690e+06,3.287195150463122874e+06
-2.849882018250875175e+06,4.656218872941934504e+06,3.287195200463123154e+06
-2.849881968250875361e+06,4.656218922941935249e+06,3.287195250463122968e+06
-2.849881918250875082e+06,4.656218972941935062e+06,3.287195300463123247e+06
-2.849881868250875268e+06,4.656219022941934876e+06,3.287195350463123061e+06
-2.849881818250875454e+06,4.656219072941934690e+06,3.287195400463122874e+06
-2.849881768250875175e+06,4.656219122941934504e+06,3.287195450463123154e+06
