accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.090161773794970229e-01,9.491830648851144747e-02,-9.708727567478806719e+00
1.178689639953749563e-01,1.024465967109925296e-01,-9.690907689214160570e+00
9.716901751715646685e-02,1.077721793719721849e-01,-9.703322939912489176e+00
1.071560713563180917e-01,8.314787592853280229e-02,-9.689328883367050338e+00
9.405910014802697228e-02,9.533266876231637210e-02,-9.699037807404181422e+00
8.601169286959414739e-02,1.016444028955255097e-01,-9.698285258160671773e+00
9.769154553381916017e-02,1.029950088447890710e-01,-9.684975003880847311e+00
8.557414927915761582e-02,1.002436504526385969e-01,-9.715554950434501791e+00
9.851546861733014027e-02,1.032810622867725570e-01,-9.690819614486944289e+00
1.038425243958451261e-01,1.078155870219514451e-01,-9.695772548912856337e+00
8.844766561630526547e-02,9.687050834583535441e-02,-9.704887761510573085e+00
8.892378522663454965e-02,1.091933709339860392e-01,-9.683465771000115296e+00
8.576631354203946567e-02,9.853050942787493216e-02,-9.696407320269633701e+00
1.083187432768815128e-01,1.029866258688411362e-01,-9.682154533025979504e+00
1.125464993116482015e-01,9.829346853483658664e-02,-9.682322557074380498e+00
8.335624291097537553e-02,1.059283357180817592e-01,-9.705833511216001241e+00
1.068812854780561705e-01,9.833947908103167490e-02,-9.686895558118481020e+00
9.174809731291844184e-02,8.978650226553303026e-02,-9.695694202224453662e+00
1.020668434412917297e-01,9.256148745086745233e-02,-9.693740588161123384e+00
8.863211446641218461e-02,1.131274075819255626e-01,-9.699792057526526179e+00
9.807300390654141720e-02,9.758544736498134253e-02,-9.693239854940989275e+00
1.038321648279652010e-01,1.024272403292664779e-01,-9.679924847858854875e+00
8.629811366051771959e-02,1.005172548897983464e-01,-9.709525299142411470e+00
9.412671480280031255e-02,1.051681871673761370e-01,-9.700752537953398758e+00
1.016010633421291637e-01,8.995470635883646982e-02,-9.698215232782327888e+00
9.514787658075588017e-02,1.060405783369066657e-01,-9.688460495497878355e+00
1.069349469542717063e-01,1.056935153972346220e-01,-9.690078043752230030e+00
9.195259234886472843e-02,1.024553182739239843e-01,-9.693684699244020209e+00
