gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849885412610995583e+06,4.656212929280381650e+06,3.287189289502226282e+06,4.779211413220015719e-02,5.520047276594924890e-02,-4.545137889765932249e-02
-2.849890314012631774e+06,4.656211282450415194e+06,3.287200069677004125e+06,1.412709689823450111e-02,-2.114136873942262448e-02,-4.023540706459650257e-02
-2.849891961808288936e+06,4.656213177754800767e+06,3.287175673009069636e+06,1.459581912878785137e-02,3.086271122406540873e-03,-2.812399606062531907e-02
-2.849887883429653011e+06,4.656221299418200739e+06,3.287196851718879770e+06,2.766242206656886055e-02,2.778984315949327433e-02,-6.569848549841542096e-02
-2.849885301844883244e+06,4.656207304715453647e+06,3.287199997227358166e+06,-1.923102975749125046e-02,6.368369822698831395e-02,4.219556222778835484e-03
-2.849883070750779472e+06,4.656213490068146959e+06,3.287193242168175522e+06,2.960666893172477984e-02,-1.063872916632308679e-01,-1.550489926144563158e-02
-2.849887377820228226e+06,4.656218226988508366e+06,3.287195512229801156e+06,-1.728951965379541336e-02,-3.622799599746678867e-02,-4.631633283922738376e-02
-2.849889237651658244e+06,4.656206817325390875e+06,3.287183122085239273e+06,-4.159130144298677639e-02,2.606458966681740597e-03,-3.946912485048001407e-02
-2.849890809191090986e+06,4.656212189818657003e+06,3.287178464244788978e+06,-4.148888859536460118e-03,-1.277300523713440807e-02,-1.331752648355827018e-01
-2.849889068560099229e+06,4.656217296297850087e+06,3.287185783830263186e+06,-9.619388523744644426e-03,-9.896389722131669620e-02,2.188398567472465278e-02
-2.849887830513744615e+06,4.656213449157997966e+06,3.287186712308316492e+06,6.512455234355397915e-02,-2.616754891784709575e-02,-1.011718477082843709e-02
-2.849886939018861391e+06,4.656223633069452830e+06,3.287199218676169869e+06,6.403635090110690320e-02,1.406560805248178829e-02,-9.106518633038541977e-02
-2.849888055811894126e+06,4.656207543979307637e+06,3.287189649015467614e+06,-5.084189789498536061e-02,-9.728533279246363158e-03,9.698559108072976609e-02
-2.849886801611592062e+06,4.656213362245324999e+06,3.287181382476826664e+06,2.726854206740642744e-02,1.885761618944326382e-02,5.635828657232239830e-03
-2.849883116943056695e+06,4.656213767484881915e+06,3.287192220779431053e+06,-8.702044829528498768e-03,4.191517220780960340e-02,4.289711249950631938e-02
-2.849883711907146499e+06,4.656217472578006797e+06,3.287191032581267413e+06,-2.627665773379026654e-02,7.890918056013824025e-03,-2.046926204956761586e-02
-2.849886289727386087e+06,4.656214062704597600e+06,3.287182861177205108e+06,-1.334055975831839949e-02,7.847231480099793599e-02,1.809124682943930723e-02
-2.849891868499529082e+06,4.656212980834631249e+06,3.287194636480775196e+06,4.558659479361124728e-02,-1.021687554931723085e-01,-5.026302300981047577e-02
