mag_x (uT),mag_y (uT),mag_z (uT)
3.322565039544723930e+01,1.728275365826546506e-01,3.630159750773042759e+01
3.304530682215705184e+01,-1.020334910489932717e-01,3.621096805834373811e+01
3.305936210469885594e+01,1.179032922131850597e-01,3.646533504328708375e+01
3.311214562513000459e+01,-8.958434830762727896e-02,3.604211448165702336e+01
3.330150660575127120e+01,8.049876061649616221e-02,3.623474103337618857e+01
3.315310093976542305e+01,3.198710754346038160e-02,3.618347056718528876e+01
3.303452711083627946e+01,1.155431120505975157e-01,3.636403002937273499e+01
3.313240991811681369e+01,-5.185394937839922502e-02,3.632546696986718615e+01
3.323905294961404167e+01,9.735948444272270186e-02,3.620314593162743222e+01
3.311742322867465305e+01,9.847887191122728368e-02,3.633935740033989248e+01
3.310314448304968948e+01,-2.903658594038113425e-02,3.635303461388571833e+01
3.311166530139121278e+01,-1.198674967309602268e-01,3.631880015288277264e+01
3.310760806938737488e+01,-1.014545631398688919e-02,3.643485253797918944e+01
3.334488886890287063e+01,9.061379818843075251e-02,3.634511320641097143e+01
3.322804942191712740e+01,-1.093710521351880793e-01,3.612047549743689245e+01
3.308732137447547927e+01,6.960044417089771007e-02,3.634324461634952286e+01
3.323301076124315756e+01,9.285001628835475029e-02,3.630829641076127956e+01
3.313582078871014858e+01,5.547941182240762048e-02,3.617010247489365327e+01
3.335038688723601297e+01,-1.197337663551422890e-02,3.624403497939941587e+01
3.305767148149480050e+01,1.496952828992979267e-01,3.620270612562757861e+01
3.321982590942585745e+01,-5.014716157963348270e-02,3.633288041854380168e+01
3.321194331271669853e+01,-1.306059521632865761e-01,3.611141082797972501e+01
3.298325936374511258e+01,-1.386002280163908806e-02,3.626100193606640687e+01
3.294071349599111187e+01,-6.895155075508155318e-02,3.622330900919402552e+01
3.316991769874218932e+01,-3.108349625886273199e-02,3.623102564475474452e+01
3.316610350039312038e+01,3.588212369157614545e-02,3.615228903823706474e+01
3.322708033543049311e+01,1.328090449934154205e-01,3.612052196689725747e+01
3.316989323251081601e+01,-9.646700817360071012e-02,3.618565266316786477e+01
3.306883773584785047e+01,7.678587957804408615e-02,3.617553611761474031e+01
3.320068323865199034e+01,5.407564090012235980e-02,3.621041273045033648e+01
3.306965734562695047e+01,1.654859491967865526e-01,3.625078571242910641e+01
3.304246861527152390e+01,1.166964551927835436e-01,3.625764543699838072e+01
3.310879721052872071e+01,1.013678966091340200e-01,3.621707104268411825e+01
3.315276389477880059e+01,4.475653004048862904e-02,3.638943787171300670e+01
3.319657509631470305e+01,-7.615259157830497026e-03,3.622520025777998853e+01
3.323069521529756543e+01,1.456739378227107640e-01,3.623032512753849232e+01
3.341818633029799201e+01,-1.355988537246894388e-01,3.620440347275911108e+01
3.303262469955614478e+01,-1.420442217403673768e-01,3.632556515635601357e+01
3.308595004103652570e+01,-1.883057292890341905e-01,3.626581121797430285e+01
3.311552424521022431e+01,4.359978930796724883e-02,3.633515513028886090e+01
3.305148185390473969e+01,-2.259370624169129357e-02,3.627173484247207824e+01
3.305952412759846482e+01,4.787260663559393670e-02,3.635459056237651509e+01
3.329610594767723342e+01,5.558217585676429595e-02,3.632899475591692351e+01
3.307710190903771519e+01,1.749529960121188332e-01,3.647502152578947232e+01
3.321275602085641054e+01,-8.092821574087510211e-03,3.621146200634041890e+01
3.311703132296923968e+01,-1.001971849561974354e-01,3.617758591690441961e+01
3.324229706137272444e+01,8.044566528325987342e-02,3.639063298021930137e+01
3.321111860941594074e+01,3.882077649895467053e-02,3.620440783208042745e+01
3.329722208398700189e+01,-1.979323843568402963e-01,3.612953812461655900e+01
3.307656428469781673e+01,1.105048797398419796e-01,3.654669509621969326e+01
3.315993785203860966e+01,-2.066524933725032501e-02,3.621305030115646417e+01
3.308740116581363822e+01,6.592724376871177128e-02,3.631099646382191537e+01
3.333409401251567061e+01,-4.166986793050288761e-03,3.611809814788582429e+01
3.313289003820949574e+01,-2.824741998560442377e-02,3.618060387651475196e+01
3.298134475451306713e+01,-1.260530962217931705e-01,3.619331009863642379e+01
3.314523951678653191e+01,9.938905237317360863e-02,3.632057265682538372e+01
3.314419159660879188e+01,6.734650033664267565e-02,3.624068860814161042e+01
3.323119254703741632e+01,-7.697991268737651438e-02,3.632363287115246209e+01
3.306856703417079046e+01,2.874175513089913085e-03,3.610514966142579851e+01
3.303976987902260021e+01,-1.188350334592774699e-01,3.617751540979442382e+01
3.303276481746781457e+01,1.956637241337622624e-01,3.642207372135492705e+01
3.319028627266769860e+01,3.801154334080059094e-02,3.647540973068972647e+01
3.301492183603535580e+01,4.265845079628376169e-02,3.630484908697533797e+01
3.324631793625310650e+01,2.036441071900150709e-02,3.626674057486377478e+01
3.323201351657782965e+01,-5.063376510066456594e-03,3.652784714946662348e+01
3.315997444564828101e+01,1.719931564057975704e-01,3.628507174741141483e+01
3.323274026164194339e+01,2.691538921863321360e-02,3.616629777160633097e+01
3.331156444013369367e+01,-1.178490240339362255e-01,3.615232010483163805e+01
3.318672066014862310e+01,2.180692546145817645e-01,3.623739140564862993e+01
3.312775114902257201e+01,1.461333322624923381e-01,3.613619214883971154e+01
3.311237555953186273e+01,6.894341460380461195e-02,3.640230769513868125e+01
3.313300708395406247e+01,-3.728019730061767761e-02,3.621554853730121692e+01
3.322088157336217051e+01,1.096761345652963460e-02,3.625677802177050779e+01
3.297528305103244151e+01,1.228551057775696849e-02,3.621277627102494279e+01
3.316007249117448197e+01,-1.907857827359606476e-02,3.637138279507873762e+01
3.313082546838161591e+01,9.829295993557428390e-02,3.622082145762021810e+01
3.339356567323257252e+01,-5.891611636123753049e-02,3.628522344074542616e+01
3.314686557395446442e+01,-1.445235770193283864e-01,3.652701985332493706e+01
3.323573974889669103e+01,1.246298444425981977e-01,3.629708096175081522e+01
3.308951770209245069e+01,3.502320737367828341e-02,3.622179932027496818e+01
3.325375847493388903e+01,-5.599631372229200467e-03,3.637594233548490052e+01
3.313682320094276434e+01,2.915894795314558641e-01,3.617171117248080492e+01
3.298252711571927875e+01,6.861389461104844267e-02,3.634469849708730038e+01
3.323175039386792662e+01,9.096616444874931762e-02,3.616474675619468115e+01
3.327218956721171139e+01,4.584151463969338841e-02,3.621745729605508757e+01
3.300034922122377878e+01,4.177967812092392430e-02,3.628601730048072938e+01
3.300059337631137169e+01,-1.078161544479684653e-01,3.611943580934899245e+01
3.309174373186534979e+01,-1.106493807413569813e-01,3.621443765131368053e+01
3.328461200249783047e+01,-7.283977289684811368e-03,3.626567693216300370e+01
3.321342880898588135e+01,9.746597050648356242e-02,3.633840962949935971e+01
3.323021240061810744e+01,-1.429527775207206086e-01,3.639492980054204452e+01
3.331247321517169979e+01,-3.528108637837814449e-02,3.619620644970200374e+01
3.294167504650358325e+01,-3.685182928746909975e-02,3.636530699212729445e+01
3.311020107521203215e+01,1.757080341622132835e-01,3.631887229957475682e+01
3.299474053248938787e+01,1.275083589653094596e-01,3.621948022170339243e+01
3.330143190600862368e+01,6.650782282705679661e-04,3.630810610843523278e+01
3.307797171065841724e+01,3.454615662156351741e-03,3.613766424767044327e+01
3.310774367129456408e+01,1.248823853954055818e-01,3.621622703364157303e+01
3.311065353071564488e+01,1.310732521245862869e-01,3.622628642253927467e+01
3.310845786826600801e+01,1.098636457078032702e-01,3.604417748416771161e+01
3.305308834258894990e+01,-5.131399478111658974e-02,3.611532853482037808e+01
3.320944814259782873e+01,-5.508764630073931245e-02,3.632447421712202384e+01
3.315197122790578987e+01,-1.970780681190311204e-02,3.639377846229368885e+01
3.307036516524479453e+01,6.642954214100556254e-02,3.632202848896284308e+01
3.298558652368954824e+01,9.273216363035208590e-03,3.635406420724783771e+01
3.312663871656162939e+01,7.898666836462985008e-02,3.644208309837539872e+01
3.312238915066858169e+01,-2.501104715738498852e-02,3.619885847242213828e+01
3.319551259768892493e+01,-5.266652022039772230e-02,3.642671459584058624e+01
3.314768114001832089e+01,-5.707669504237157521e-02,3.635717213606973530e+01
3.323125511985970348e+01,2.147220455400308536e-01,3.618132276109466261e+01
3.327089190399114216e+01,-8.449843762905211511e-03,3.633978067286864899e+01
3.332414998424366814e+01,-5.785108896719662330e-02,3.623351222714213549e+01
3.305865398244915809e+01,-1.193440430182255707e-01,3.620096618178757808e+01
3.321324014861412621e+01,1.421769130274732340e-01,3.628678694176722530e+01
3.304986310999817789e+01,-1.599639800225082509e-01,3.640678013909616340e+01
3.309677579369697042e+01,-1.307065215359698163e-01,3.622924550448851022e+01
3.321628923432007241e+01,5.524606401883629808e-02,3.617873741832266887e+01
3.305804643755877237e+01,-2.241688382031705243e-02,3.635757093973076337e+01
3.309662904854372556e+01,8.334966057464542749e-03,3.647379620439650694e+01
3.323924635105801428e+01,-1.143892419112867015e-01,3.619189430173702249e+01
3.302550334591702352e+01,1.811018171115956754e-01,3.632213439626134033e+01
3.304185526313130339e+01,-1.001369985633980414e-01,3.632189971215564839e+01
3.323983592974798995e+01,2.211052047518289876e-01,3.619282189744111378e+01
3.325940190361509963e+01,-2.347491318556544082e-01,3.624018871412420850e+01
3.317882991567817186e+01,-1.176688023824809526e-01,3.627182583938992622e+01
3.326535170284267195e+01,-7.446319829690686842e-02,3.607668012939124935e+01
3.302305285255358314e+01,-4.140158829412967506e-02,3.610448384961462409e+01
3.322727543784883153e+01,-9.404658806812538074e-02,3.618941395551568263e+01
3.304368946095140558e+01,1.465390772616049220e-01,3.636644442591068582e+01
3.316928606707800498e+01,1.895612519890880199e-01,3.618054366555249146e+01
3.323640169743507045e+01,-8.158189010976490962e-02,3.620071570431782249e+01
3.340947586444853812e+01,1.807649457738229673e-02,3.621080324571095588e+01
3.303471258005634326e+01,-8.710335567951305036e-02,3.640979053361055406e+01
3.311593644259637159e+01,1.158387811732424083e-01,3.630407075256192684e+01
3.312624312685353800e+01,4.844251360007868074e-02,3.629165803314211303e+01
3.316384421137469474e+01,7.571747020103419823e-02,3.612816534415795644e+01
3.322073868754577575e+01,-1.844701719670449602e-02,3.630430235784088211e+01
3.324196928375185678e+01,-8.957612372098588960e-02,3.605667390885798085e+01
3.292539174466951124e+01,-5.323265530666284988e-03,3.637077636654800017e+01
3.301956842323521357e+01,9.609413771285747752e-02,3.643649980961255608e+01
3.298365168143961057e+01,-5.750180909682277991e-02,3.619496873669175585e+01
3.304501937960642977e+01,-1.668839058978153697e-02,3.633766436758106977e+01
3.330471592348656884e+01,1.425276683697566937e-01,3.621515182931393184e+01
3.301387073314050014e+01,-4.506641864113163087e-02,3.633556385247603515e+01
3.314062644379861666e+01,8.878832678411091583e-02,3.618661767235294491e+01
3.337717078125826475e+01,-3.349670155814059302e-02,3.625170719733196734e+01
3.329875095765404325e+01,5.296317067288421054e-02,3.622603444632109415e+01
3.310166266015852443e+01,-1.879075665266710660e-02,3.638244722631168315e+01
3.308922220888145205e+01,1.752189742952312002e-02,3.633173691542105388e+01
3.294788773514707714e+01,-1.058907111442168730e-01,3.643353924403748323e+01
3.318428450154007692e+01,-9.034671747197883795e-02,3.638705477136582545e+01
3.303686504576025840e+01,3.647827156237871959e-02,3.608373059196220112e+01
3.310319295357456326e+01,-6.457344544457292723e-02,3.625888689959085553e+01
3.323070364229728568e+01,4.168749063104863067e-02,3.620936721597429653e+01
3.321206775244503717e+01,-1.444402213686786784e-01,3.643808279922217963e+01
3.325144307202066329e+01,4.405620037417103119e-02,3.620071877019539386e+01
3.334612523170562781e+01,-8.116958947073312641e-03,3.623843180874368386e+01
3.322056400002269783e+01,1.213694042534337741e-01,3.616293784529548816e+01
3.316709812771173205e+01,5.785099109648316612e-02,3.645936127677771310e+01
3.312619035738147488e+01,-1.167790827404580623e-01,3.616436520454821846e+01
3.321535278789074397e+01,9.342702405960284784e-02,3.641288815002225476e+01
3.295571318152712337e+01,5.228090837690871351e-02,3.634030281325161837e+01
3.306441031323788593e+01,1.959298147066231288e-01,3.620919231953955375e+01
3.312454202913320245e+01,-4.940691644696981744e-02,3.624827904767413145e+01
3.292343211738835862e+01,9.937838793610748178e-02,3.634462375413687596e+01
3.305132782629523547e+01,7.285880110905357254e-02,3.633433607796541764e+01
3.316318409568231118e+01,-4.787707483916201628e-02,3.610974395130850212e+01
3.290310053236766663e+01,-4.719171587623386538e-02,3.633368283392599096e+01
3.329406189301833763e+01,6.735792183778294140e-02,3.633683736913929607e+01
3.325538725870536894e+01,-3.851104211957918216e-02,3.612082607826423697e+01
3.320814959770601149e+01,4.109715993854998889e-02,3.619629924607892946e+01
3.307710751950442329e+01,6.752394963842540954e-02,3.628799463569636430e+01
3.297443536255450169e+01,-2.244742663307727482e-01,3.617644030654508924e+01
3.323306066372815337e+01,-1.968674703165187445e-01,3.617174754292491201e+01
3.313436251354108464e+01,6.127194152571507207e-02,3.625854108281324528e+01
3.313293620054884059e+01,1.100317394961742301e-01,3.616890693838119830e+01
3.308363487563507732e+01,-1.151363910526878725e-01,3.605628227463377300e+01
3.312172359625820661e+01,-8.188985997455100474e-02,3.633426891848056783e+01
3.309323810359996543e+01,2.295863736875010039e-02,3.620850246327494659e+01
3.326849119368304031e+01,-8.785195839950998842e-02,3.629104552720274057e+01
3.313201507920962285e+01,-4.774449134098837644e-02,3.631164891651675930e+01
3.313511647066532362e+01,-1.103931538560965486e-01,3.618285234993830102e+01
3.312874879890400592e+01,-2.640737191116309182e-02,3.625163960205198066e+01
3.315948967227577526e+01,-4.556258232689059523e-02,3.634666629399184501e+01
3.315994796271307621e+01,7.386657552912541391e-02,3.622630531282954536e+01
3.306907870185663967e+01,-9.451933500477140149e-02,3.627039661428406703e+01
3.306010339288255295e+01,-7.800576670173720029e-02,3.625404036017120291e+01
3.336284212647725411e+01,-8.093189504179093552e-02,3.630765924664625288e+01
3.305824802137640717e+01,-2.779842261882520954e-02,3.620035347638184930e+01
3.299653951769136029e+01,-3.491125215720976326e-04,3.611699846454776974e+01
3.308539687115686689e+01,-5.002424401598096204e-02,3.632999145087376291e+01
3.304477815201362034e+01,-9.803278494388129038e-02,3.614282570754656376e+01
3.307692549053016506e+01,2.646238012248929017e-02,3.626351449051045250e+01
3.321505358861728752e+01,5.043040573370338037e-02,3.600505136989578148e+01
3.315692128387762239e+01,-9.832398762267631487e-02,3.628133988367284957e+01
3.299126979994333908e+01,-1.002791200222931806e-01,3.634636504364011245e+01
3.313938223684462514e+01,-6.964000016942976934e-02,3.642465465000593383e+01
3.315610940501305492e+01,3.635370431240491501e-02,3.633337065460331416e+01
3.309610561305892418e+01,1.125514152431962983e-01,3.620952906524322401e+01
3.317060282745705280e+01,-7.213430218828492668e-02,3.623867653828853719e+01
3.315959888128855226e+01,1.132257933583900728e-01,3.622925027408925303e+01
3.316740511504974620e+01,5.679479789709823701e-02,3.617287453869546709e+01
3.322418014299829281e+01,-3.181531765163651132e-02,3.617459441360035299e+01
3.312713627650528991e+01,-1.631638400896342489e-01,3.612509122640545911e+01
3.306677125893011038e+01,-3.455137382076511193e-02,3.639174896510505164e+01
3.320619293186383203e+01,5.445878172927285515e-02,3.615503697937121075e+01
3.303600170606902253e+01,-1.603553952907518232e-01,3.640077663984343559e+01
3.315112875859416874e+01,-1.528908655978264419e-02,3.618051891978073797e+01
3.317333117753224059e+01,-2.327767416241704329e-02,3.625546965016648215e+01
3.312725335893404122e+01,-2.965205450360964938e-03,3.638395405891634482e+01
3.315161463974778400e+01,-3.880480162944606459e-02,3.630510546660079285e+01
3.312938313122874234e+01,-4.110940938024728458e-02,3.618701191831610231e+01
3.302522860540481986e+01,8.664538707459627787e-02,3.622948005029633833e+01
3.309291786988059414e+01,1.052126403049927772e-01,3.618020160690295484e+01
3.300913118669855351e+01,-5.374557969020685860e-02,3.630975712842489145e+01
3.305485936770075739e+01,-4.734993984641344689e-02,3.632944564737862692e+01
3.317579143455552781e+01,7.937220411497307448e-02,3.623794087778352946e+01
3.326771603594822579e+01,-1.464843225629761971e-02,3.629840890450964963e+01
3.337936388550906486e+01,-2.233525565907849841e-01,3.632678012175485804e+01
3.311859538226320154e+01,-9.492304957362317219e-02,3.620016884039491600e+01
3.314238387207877423e+01,-2.047748243295424708e-01,3.616072409001183985e+01
3.306209417155093888e+01,-7.635675583070015982e-02,3.644416043768939062e+01
3.324393991243034918e+01,1.802161620502147751e-03,3.624448197175009767e+01
3.322272587950525491e+01,-1.005060164323423183e-01,3.622498266582844906e+01
3.316766513396490268e+01,-1.016346038016033640e-02,3.619005050538929424e+01
3.302833745815900102e+01,2.302362313431811913e-02,3.612224970075721586e+01
3.311602551157331220e+01,1.016093236709776221e-01,3.625308417884676260e+01
3.309058618822717079e+01,-9.691739313789343724e-02,3.635121314213986210e+01
3.314270323504548088e+01,4.958148344048254191e-03,3.627978306125015706e+01
3.317285230267806639e+01,-1.372644446474143576e-01,3.615633814662765388e+01
3.323141517456416238e+01,-3.979560419504339641e-02,3.612311171916746844e+01
3.305956988031734056e+01,-1.271864985116634705e-01,3.629096072865362288e+01
3.311902398659502467e+01,-2.698380730914503797e-02,3.629714662892011035e+01
3.321716046795067712e+01,1.295058875683124666e-01,3.649529361350341361e+01
3.325847036344092089e+01,-3.553144367362146699e-02,3.624409643148164406e+01
3.307419106118348395e+01,1.424400109949235105e-02,3.638099952679530702e+01
3.310526657802069650e+01,-3.748687151012038837e-02,3.623854558591381902e+01
3.313746636921077737e+01,7.108826003062827803e-02,3.629667499212838777e+01
3.307777611187228928e+01,4.474847784505912168e-02,3.612889141891866984e+01
3.306313111882491995e+01,5.714179948416924643e-02,3.627003220124544214e+01
3.334571941169107134e+01,-1.817699908012768845e-02,3.633413485910903518e+01
3.311211652188325161e+01,-1.048246783675694793e-01,3.616026793279151974e+01
3.338381769552718481e+01,3.391833025118084349e-02,3.638525590450476699e+01
3.309413489899841920e+01,-1.820476034312019653e-01,3.635658182553289919e+01
3.325497899013714687e+01,-6.007453410473189565e-02,3.640748081108960577e+01
3.322130420081611391e+01,1.249692410394425135e-01,3.618076792836031785e+01
3.322396836035275669e+01,3.822835242444942022e-02,3.623267441499620389e+01
3.316396855485680817e+01,8.687703351975985255e-02,3.621720664494262820e+01
3.322733131069352197e+01,1.054989123714442784e-02,3.635701566445597166e+01
3.307328312131308223e+01,-1.164785122511614174e-01,3.626834683476207033e+01
3.314092755907942234e+01,4.571906320637370014e-02,3.610413849092993388e+01
3.302566452431216248e+01,-6.848228931893954319e-02,3.608849137276111918e+01
3.302677708599554052e+01,1.393396345040444221e-03,3.620518581139101144e+01
3.325842104556553380e+01,-1.816583538719382038e-02,3.641039689003788737e+01
3.334566690156270141e+01,-3.166278029622664886e-02,3.630052982762536118e+01
3.309809052299537058e+01,1.210641451614481306e-01,3.628733675159267591e+01
3.324777934718619576e+01,-1.825580495764612954e-01,3.625106776709538536e+01
3.319180695101773182e+01,-1.367550497387913337e-02,3.627215316001021250e+01
3.312747939528021135e+01,6.823662469507484063e-02,3.626662272422957045e+01
3.312589056026156697e+01,2.572555325817542371e-02,3.641468906887087087e+01
3.321049241588655576e+01,1.345767094857913682e-01,3.606980081284035577e+01
3.325321247409222991e+01,-8.763226144670067941e-02,3.621770857018684353e+01
3.308194593018843932e+01,2.659109450935972022e-02,3.630576341258453965e+01
3.337090527119779892e+01,-1.030979183336091509e-01,3.614278289728728311e+01
3.314381235095246581e+01,1.188224030905103562e-01,3.600669225621797409e+01
3.317093675410363574e+01,1.386576597358148448e-03,3.631565659799619539e+01
3.301307898448237665e+01,1.632610110007413559e-02,3.626277498182832915e+01
3.311744253997998300e+01,3.416531645656305238e-02,3.637177314127887939e+01
3.305696630461923036e+01,-3.457351237419363510e-02,3.626446819799966192e+01
3.322339575422523694e+01,-9.005919238993048692e-02,3.634980064613704087e+01
3.305730547834277644e+01,2.563600626028415125e-02,3.618481397641293995e+01
3.292662435650241548e+01,1.012280739356963971e-01,3.618002446651037474e+01
3.311293976512310167e+01,-9.983718552476288609e-04,3.622086476064293237e+01
3.308658253258721516e+01,9.525053920528993301e-02,3.624871157374351327e+01
3.315559772194339416e+01,4.256959002597979214e-02,3.620935291290813041e+01
3.313984708042524829e+01,1.684506729139928771e-01,3.635915350901777288e+01
3.343052059840261592e+01,-7.924617299430922190e-02,3.615328832137943493e+01
3.310258406191292124e+01,1.225143897367909629e-01,3.622098319455823656e+01
3.310564542056776105e+01,-4.052968861744065537e-02,3.626678130982267589e+01
3.319658500639502563e+01,5.414390012935682561e-02,3.636422311829957721e+01
3.307415525041912474e+01,-3.736695548637693209e-02,3.612433282567162252e+01
3.306005609687630908e+01,-1.284710480827519763e-01,3.636525949642643951e+01
3.321928619937914107e+01,6.052019947700894298e-02,3.617539148411491112e+01
3.299036686889202485e+01,5.890087320605013471e-03,3.621737989715022366e+01
3.324564539430791399e+01,-7.457370689426368049e-02,3.598743635365747195e+01
3.323250774966848553e+01,-2.010521199141096158e-02,3.615912104469189359e+01
3.313705818107062129e+01,-2.995789949795608087e-01,3.621274168009168903e+01
