accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
2.058104364875099901e-01,2.017006877443318080e-01,-9.599355648949996933e+00
2.966966025564122256e-01,2.947632922388376819e-01,-9.486372322260320900e+00
3.681399211286047191e-01,3.885863140957426243e-01,-9.419573405273110822e+00
4.498138046773489385e-01,4.571114932739400727e-01,-9.355046332430454470e+00
5.144428269934883113e-01,5.179640636429293510e-01,-9.287835781635486398e+00
5.631144638338742014e-01,5.708346337449534680e-01,-9.222799083495074157e+00
6.204503003557451102e-01,6.417141599680429298e-01,-9.169667659472068522e+00
6.648011452606596983e-01,6.610773579505242470e-01,-9.117729411394075001e+00
7.134102851635424347e-01,7.026419304663027443e-01,-9.085708295663224021e+00
7.462104026361718878e-01,7.442342052830326349e-01,-9.026675107648776120e+00
7.863565793636821954e-01,7.793400207528887735e-01,-9.020936463716608955e+00
8.152669334235713716e-01,8.324246338980317850e-01,-8.981725095822508109e+00
8.446093457542052096e-01,8.443030793816765911e-01,-8.954098447148554740e+00
8.791830839103391693e-01,8.737772770745496631e-01,-8.925044245078678884e+00
9.105960929542799009e-01,8.831627538586328541e-01,-8.900608971275159931e+00
9.167650384661621965e-01,9.111023335978215565e-01,-8.870276190338056921e+00
9.298909290478243328e-01,9.222615638408309113e-01,-8.847663326398865991e+00
9.542475042213862668e-01,9.420074670254018345e-01,-8.849063213170868636e+00
9.556234221810652185e-01,9.674797015431961800e-01,-8.831084891025842154e+00
9.917878519430040063e-01,9.697549818147154221e-01,-8.834400518053657336e+00
9.927848807840256029e-01,9.936313831406151653e-01,-8.809800899676309527e+00
9.966500481663806976e-01,9.968569937110730583e-01,-8.789380212382306823e+00
1.016456085038981216e+00,1.020303238521381273e+00,-8.780969854263471319e+00
1.029526658265689676e+00,1.032522761198903405e+00,-8.767494789020055634e+00
1.035524102496506060e+00,1.011978667432175127e+00,-8.778647905272038088e+00
1.021002197917516119e+00,1.038122686505297931e+00,-8.754248604044198245e+00
1.052307799588384496e+00,1.062344736607420792e+00,-8.757927797499524658e+00
1.053958458219357075e+00,1.043997767991859060e+00,-8.737288231679590567e+00
1.060314728777625337e+00,1.053429018297276087e+00,-8.735668823236499847e+00
1.049760110972144167e+00,1.058441902929527778e+00,-8.740009662048700889e+00
1.057001130302633651e+00,1.066993290452830756e+00,-8.733529085898011246e+00
1.068252566368141254e+00,1.068333565313303701e+00,-8.721601195528892347e+00
1.064148303006078100e+00,1.065470040735073232e+00,-8.732753278850397649e+00
1.088513389069532433e+00,1.075691898111847511e+00,-8.712481259256044552e+00
1.071001139590316731e+00,1.055655605214579573e+00,-8.703399952559131236e+00
1.072828408944156653e+00,1.085305500137251578e+00,-8.704323664336763855e+00
1.086126147729254976e+00,1.086235169794238953e+00,-8.714394391931671535e+00
1.073933389007347250e+00,1.073450583904132172e+00,-8.722055625378493104e+00
1.079095027558066855e+00,1.069785047366895503e+00,-8.701983159837574533e+00
1.086682895860613174e+00,1.094377874309693910e+00,-8.701458520792693108e+00
1.079152943484051663e+00,1.077557731455363488e+00,-8.711401510820614646e+00
1.071274980850103864e+00,1.089749960138860052e+00,-8.702701215960985337e+00
1.096327895945527819e+00,1.084348282709041378e+00,-8.711695096824445983e+00
1.087588300441196809e+00,1.091285048091090060e+00,-8.715860852871200493e+00
1.091163943284718663e+00,1.090878151428783749e+00,-8.706923977095621936e+00
1.093761645660879633e+00,1.102424744056164307e+00,-8.702415721641305169e+00
1.096240859005146895e+00,1.089253829937080420e+00,-8.705126243562801847e+00
1.089565004290940387e+00,1.082357095696781624e+00,-8.705213775982050706e+00
1.091843233536860858e+00,1.092107268761990158e+00,-8.711320326212485199e+00
1.093225495521622515e+00,1.103543437810801331e+00,-8.695227729023375929e+00
1.086718959792370320e+00,1.097427629464493570e+00,-8.686200619390945121e+00
1.092046838103577722e+00,1.097343411855815853e+00,-8.703230444161890844e+00
1.090715443986544742e+00,1.105536788831271933e+00,-8.703400546552053640e+00
1.064964103251173633e+00,1.109038361761842229e+00,-8.696363102468360751e+00
1.103288870609817174e+00,1.102220850935608842e+00,-8.710304016323332732e+00
1.101068620211627769e+00,1.093007259624174665e+00,-8.694787390023757112e+00
1.113685408260352450e+00,1.098225499165912833e+00,-8.699260036275481056e+00
1.103279498221335864e+00,1.088085052625081595e+00,-8.683023510550251345e+00
1.107537260506104904e+00,1.108802463322943410e+00,-8.704481158314070655e+00
1.087927176631967141e+00,1.113603431886930339e+00,-8.689455259310829405e+00
1.111765192021656468e+00,1.083861147993404606e+00,-8.696243270083044763e+00
1.100851156462419045e+00,1.088897920465115909e+00,-8.688443087146417554e+00
1.088403798374146358e+00,1.105113017617919802e+00,-8.693621767391432442e+00
1.094302707827524923e+00,1.099983867744709576e+00,-8.684285094409199601e+00
1.092533944088349918e+00,1.103974486362315766e+00,-8.692521347507785379e+00
1.116740351814028420e+00,1.104273069518683092e+00,-8.700382151357629823e+00
1.093320299625326397e+00,1.107385208618083539e+00,-8.690969374310068218e+00
1.101233344564048533e+00,1.102878862966853557e+00,-8.694125208267822202e+00
1.107138347554376789e+00,1.111671241622950612e+00,-8.699930197322508718e+00
1.085672782407012482e+00,1.091442992848783655e+00,-8.707253159849694057e+00
1.090577814884891028e+00,1.089319288449596357e+00,-8.688427390526618055e+00
1.103586865967629338e+00,1.115320769818967550e+00,-8.701579911591437622e+00
1.089544519054810090e+00,1.112715551337765341e+00,-8.690081524141398006e+00
1.084529306621001332e+00,1.098897152814307665e+00,-8.710468324433675136e+00
1.108083673106872169e+00,1.094491120470760359e+00,-8.699344335475796441e+00
1.092173059613455788e+00,1.108245615441307619e+00,-8.706729145134314507e+00
1.094962665459211060e+00,1.080059692633731139e+00,-8.703797261566014853e+00
1.107728715214415960e+00,1.115994719932397405e+00,-8.701805430736893499e+00
1.091097547008545998e+00,1.105511884253147725e+00,-8.688567424867162714e+00
1.099489900763149342e+00,1.095287904549338887e+00,-8.691428585160160480e+00
1.089400573861800003e+00,1.084826783596152922e+00,-8.696709352637492785e+00
1.087958939881199516e+00,1.107871202559958634e+00,-8.689035106442940304e+00
1.091313142032308559e+00,1.087727630820140901e+00,-8.706282643613743488e+00
1.099761102731760420e+00,1.091158330099923690e+00,-8.682439360565185282e+00
1.089459097915373320e+00,1.085269739397598077e+00,-8.697225984329344683e+00
1.090618458679224023e+00,1.107938061897255189e+00,-8.697887289990690718e+00
1.104184234861880443e+00,1.109505085021797788e+00,-8.683899827364554014e+00
1.094055021533097749e+00,1.096218696901153367e+00,-8.694284718868789952e+00
1.105598831083807188e+00,1.100639226650522051e+00,-8.686393695907213441e+00
1.089730251003544925e+00,1.101866278075539496e+00,-8.713126119428114436e+00
1.111384964596684677e+00,1.101369134306771747e+00,-8.695992875317012150e+00
1.096279100312253840e+00,1.093876299800455643e+00,-8.695172003403245142e+00
1.087852408009457372e+00,1.110694006885296181e+00,-8.709640549781752838e+00
1.096643963235343078e+00,1.103321493784415797e+00,-8.696619843366967473e+00
1.099063468205935479e+00,1.102590357901900520e+00,-8.714574943592241496e+00
1.093734580631628317e+00,1.093854147436571944e+00,-8.682843708552605122e+00
1.113285572974247906e+00,1.093840078934820159e+00,-8.685159898622751840e+00
1.097944768425894058e+00,1.100630209610322430e+00,-8.682574596742311357e+00
1.093315415823778336e+00,1.100658173132834650e+00,-8.695287329005578769e+00
1.089366937685707359e+00,1.098680098130816463e+00,-8.689652093110886710e+00
1.105821608745253704e+00,1.087931782276325032e+00,-8.695992319405476678e+00
1.086337987536585281e+00,1.088701121750236256e+00,-8.698333869469845325e+00
1.097323422564227213e+00,1.084860872381392838e+00,-8.701510314067386176e+00
1.090997718534704397e+00,1.100581983466832670e+00,-8.682755123159848765e+00
1.121427098302832936e+00,1.084071375849779972e+00,-8.693717426103784618e+00
1.090796377925431493e+00,1.108823025488273162e+00,-8.686422940721660879e+00
1.095598172245127788e+00,1.099335300857206876e+00,-8.690516898178584526e+00
1.099428771000892535e+00,1.127263964922508910e+00,-8.704169323525617230e+00
1.104716968825969703e+00,1.103593574707999236e+00,-8.707291785219954505e+00
1.102377055286644758e+00,1.108975488185059088e+00,-8.697427902537210542e+00
1.109555194047448623e+00,1.105244752916634043e+00,-8.689506165631875945e+00
1.092108606374194268e+00,1.089955013104041415e+00,-8.689451913665209304e+00
1.098288557432706147e+00,1.099563652864302021e+00,-8.698327281863237559e+00
1.075737690865642415e+00,1.095004271616380809e+00,-8.689271367472171548e+00
1.095917423577602134e+00,1.096050752834367481e+00,-8.687426828528369782e+00
1.101474835441495603e+00,1.106152834784271732e+00,-8.700225672746876526e+00
1.090929921974411965e+00,1.082811209176691492e+00,-8.682848742354751792e+00
1.104545470888769199e+00,1.102015151033174378e+00,-8.697688818003685540e+00
1.081193115671813532e+00,1.096631086389254772e+00,-8.691456703898122527e+00
1.097264154224814270e+00,1.107713275002134790e+00,-8.697373230575882630e+00
1.106731763604637875e+00,1.098353833422610615e+00,-8.690355964551208956e+00
1.094388904095003445e+00,1.100450703297287891e+00,-8.686398042389422258e+00
1.090290383780536443e+00,1.113895749897885645e+00,-8.689326776770913696e+00
1.096622947030988282e+00,1.086260627163549763e+00,-8.702463138443528479e+00
1.099604113719740539e+00,1.105140985931923003e+00,-8.700022517964550062e+00
1.092962917816104662e+00,1.109287741590575971e+00,-8.692546061946178071e+00
1.099673727799676648e+00,1.095531212002287091e+00,-8.697651882122650946e+00
1.093735899749148421e+00,1.113499641449186450e+00,-8.690388315823229348e+00
1.103634864850918440e+00,1.104528880582799077e+00,-8.705772407414693603e+00
1.087534101188892377e+00,1.106059828659405220e+00,-8.705398685555866933e+00
1.114478601111178024e+00,1.092235790304201926e+00,-8.693161349682508643e+00
1.103684236709230104e+00,1.100767105479180108e+00,-8.694650678470118521e+00
1.099709099276005908e+00,1.086799380144116256e+00,-8.689286103828935737e+00
1.098823630922697969e+00,1.104883447607104996e+00,-8.686289007067239609e+00
1.099589436897035144e+00,1.104287201674921004e+00,-8.691918537820956914e+00
1.105715058100324111e+00,1.091508452122028183e+00,-8.692284740638255514e+00
1.099430172202535916e+00,1.099880955804932059e+00,-8.689908097291979772e+00
1.098676848538592266e+00,1.113952399250829339e+00,-8.688383762891383810e+00
1.101325176170740328e+00,1.099377698422564942e+00,-8.684747262700099668e+00
1.104418596563587762e+00,1.086316869696836607e+00,-8.706583176062590468e+00
1.097818246489749461e+00,1.102547507758762313e+00,-8.694574005303531194e+00
1.086202988795045954e+00,1.083216490578698954e+00,-8.699264157682526033e+00
1.098193334406340815e+00,1.098922684839575892e+00,-8.713833122107109475e+00
1.101877917873513413e+00,1.094587181477355342e+00,-8.701341556047880843e+00
1.088161555980013961e+00,1.092538269638084980e+00,-8.698593692413638223e+00
1.099757256105653447e+00,1.094559488744811349e+00,-8.691035232401125299e+00
1.102860381341991269e+00,1.112738063906639541e+00,-8.696513385734133905e+00
1.088254060643855992e+00,1.107765105259046479e+00,-8.686463593016798157e+00
