mag_x (uT),mag_y (uT),mag_z (uT)
3.319001169945205731e+01,-9.144903746302980585e-02,3.647634402005928678e+01
3.326727178031671173e+01,7.548479178113209898e-02,3.623112450718181776e+01
3.305258433110294902e+01,2.330044948008661368e-02,3.605740447810521943e+01
3.317288666753418624e+01,-9.544906517104599620e-05,3.627860504402873687e+01
3.321426914534996655e+01,2.041784833363025076e-02,3.607144892640936717e+01
3.304969759481717517e+01,-5.763021937785160059e-02,3.635215404492873148e+01
3.313275726574980951e+01,6.161927903776433235e-03,3.620359316188733345e+01
3.309631387923563040e+01,-2.710294848311842891e-03,3.656620157912401226e+01
3.315592314554324105e+01,-1.192312094999261468e-01,3.631012338435451170e+01
3.318755866858408865e+01,8.633236091269512469e-02,3.607143146313381976e+01
3.292956736455374056e+01,8.900021770632554619e-02,3.606281308741935021e+01
3.318099447996977602e+01,-2.400219012910681862e-02,3.617919008433865002e+01
3.308631642394151129e+01,-4.895688801928849143e-02,3.618953653406424564e+01
3.299234463537425199e+01,-2.219260724173034369e-02,3.636783032118106007e+01
3.299779111282654043e+01,1.370022294137055764e-02,3.638246131825190588e+01
3.318355597811518010e+01,4.358829411721934499e-02,3.624195445665505133e+01
3.321273876107145639e+01,-2.091702086427306428e-01,3.628937725195399366e+01
3.322638620754053562e+01,-6.340659886451192884e-02,3.640083997965454898e+01
3.314316959815842978e+01,-3.091803373356358242e-02,3.639472637111600761e+01
3.318322113549948682e+01,-2.838428001050962747e-03,3.621454405193934889e+01
3.309983385252704124e+01,1.073216089963380110e-01,3.612341086297438864e+01
3.311700788819874930e+01,7.502915969448022485e-03,3.620575435303643985e+01
3.328633633096637112e+01,1.075603690395877665e-01,3.619298937348260381e+01
3.311970459593013771e+01,-4.391359566345273691e-02,3.628079522032044935e+01
3.300745577435614564e+01,-6.149730702395769105e-03,3.628435743806633695e+01
3.285096882167471932e+01,2.450448903803808531e-01,3.633339411991276791e+01
3.324850655184974357e+01,7.078956649550152691e-02,3.634399049654510350e+01
3.315488146365107980e+01,-4.302272150680347407e-02,3.629028426630640070e+01
3.310375924367521350e+01,2.701949214133285426e-02,3.626699107226879448e+01
3.306113264750634784e+01,-1.349583871539347113e-01,3.629916881613222301e+01
3.315198258752008798e+01,6.621055171809124909e-03,3.623344956210076617e+01
3.322907472653054128e+01,1.109984247383559997e-01,3.613860353693909389e+01
