ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-02,9.999999999999997780e-02,-9.694216470399355856e+00
1.899999999999999467e-01,1.899999999999999467e-01,-9.604216470399355998e+00
2.709999999999999076e-01,2.709999999999999076e-01,-9.523216470399354705e+00
3.438999999999998725e-01,3.438999999999998725e-01,-9.450316470399355850e+00
4.095099999999998741e-01,4.095099999999998741e-01,-9.384706470399356348e+00
4.685589999999998922e-01,4.685589999999998922e-01,-9.325657470399356441e+00
5.217030999999998642e-01,5.217030999999998642e-01,-9.272513370399355637e+00
5.695327899999997889e-01,5.695327899999997889e-01,-9.224683680399355268e+00
6.125795109999998544e-01,6.125795109999998544e-01,-9.181636959399355646e+00
6.513215598999998468e-01,6.513215598999998468e-01,-9.142894910499355987e+00
6.861894039099998288e-01,6.861894039099998288e-01,-9.108027066489356116e+00
7.175704635189998903e-01,7.175704635189998903e-01,-9.076646006880356055e+00
7.458134171670999235e-01,7.458134171670999235e-01,-9.048403053232256354e+00
7.712320754503899645e-01,7.712320754503899645e-01,-9.022984394948965203e+00
7.941088679053509569e-01,7.941088679053509569e-01,-9.000107602494004766e+00
8.146979811148158390e-01,8.146979811148158390e-01,-8.979518489284540550e+00
8.332281830033342329e-01,8.332281830033342329e-01,-8.960988287396022045e+00
8.499053647030008207e-01,8.499053647030008207e-01,-8.944311105696353792e+00
8.649148282327007164e-01,8.649148282327007164e-01,-8.929301642166654673e+00
8.784233454094306781e-01,8.784233454094306781e-01,-8.915793124989924934e+00
8.905810108684876214e-01,8.905810108684876214e-01,-8.903635459530867990e+00
9.015229097816388482e-01,9.015229097816388482e-01,-8.892693560617717097e+00
9.113706188034749189e-01,9.113706188034749189e-01,-8.882845851595881470e+00
9.202335569231274714e-01,9.202335569231274714e-01,-8.873982913476227807e+00
9.282102012308147687e-01,9.282102012308147687e-01,-8.866006269168540399e+00
9.353891811077332807e-01,9.353891811077332807e-01,-8.858827289291621554e+00
9.418502629969599527e-01,9.418502629969599527e-01,-8.852366207402395659e+00
9.476652366972639907e-01,9.476652366972639907e-01,-8.846551233702092176e+00
9.528987130275375916e-01,9.528987130275375916e-01,-8.841317757371818686e+00
9.576088417247837770e-01,9.576088417247837770e-01,-8.836607628674570947e+00
9.618479575523053438e-01,9.618479575523053438e-01,-8.832368512847050823e+00
9.656631617970747872e-01,9.656631617970747872e-01,-8.828553308602280936e+00
9.690968456173673085e-01,9.690968456173673085e-01,-8.825119624781988747e+00
9.721871610556305221e-01,9.721871610556305221e-01,-8.822029309343724535e+00
9.749684449500675143e-01,9.749684449500675143e-01,-8.819248025449287098e+00
9.774716004550607629e-01,9.774716004550607629e-01,-8.816744869944294294e+00
9.797244404095546422e-01,9.797244404095546422e-01,-8.814492029989800415e+00
9.817519963685992224e-01,9.817519963685992224e-01,-8.812464474030756278e+00
9.835767967317392557e-01,9.835767967317392557e-01,-8.810639673667616023e+00
9.852191170585653524e-01,9.852191170585653524e-01,-8.808997353340789260e+00
9.866972053527087727e-01,9.866972053527087727e-01,-8.807519265046646950e+00
9.880274848174378510e-01,9.880274848174378510e-01,-8.806188985581917095e+00
9.892247363356940770e-01,9.892247363356940770e-01,-8.804991734063660758e+00
9.903022627021246249e-01,9.903022627021246249e-01,-8.803914207697230765e+00
9.912720364319121957e-01,9.912720364319121957e-01,-8.802944433967443416e+00
9.921448327887210095e-01,9.921448327887210095e-01,-8.802071637610634269e+00
9.929303495098489307e-01,9.929303495098489307e-01,-8.801286120889507458e+00
9.936373145588640599e-01,9.936373145588640599e-01,-8.800579155840491552e+00
9.942735831029776428e-01,9.942735831029776428e-01,-8.799942887296378302e+00
9.948462247926799229e-01,9.948462247926799229e-01,-8.799370245606676022e+00
9.953616023134119750e-01,9.953616023134119750e-01,-8.798854868085943082e+00
