ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886618240875192e+06,4.656214272951934487e+06,3.287190600473123137e+06
-2.849886618211875204e+06,4.656214272980934940e+06,3.287190600502123125e+06
-2.849886618155775126e+06,4.656214273037035018e+06,3.287190600558223203e+06
-2.849886618065285496e+06,4.656214273127525114e+06,3.287190600648712832e+06
-2.849886617933844216e+06,4.656214273258965462e+06,3.287190600780154113e+06
-2.849886617755547166e+06,4.656214273437262513e+06,3.287190600958451163e+06
-2.849886617525080219e+06,4.656214273667730391e+06,3.287190601188918110e+06
-2.849886617237659637e+06,4.656214273955150507e+06,3.287190601476338692e+06
-2.849886616888981313e+06,4.656214274303829297e+06,3.287190601825017016e+06
-2.849886616475170478e+06,4.656214274717639200e+06,3.287190602238827851e+06
-2.849886615992741194e+06,4.656214275200068951e+06,3.287190602721257135e+06
-2.849886615438554436e+06,4.656214275754255243e+06,3.287190603275443893e+06
-2.849886614809786435e+06,4.656214276383023709e+06,3.287190603904211894e+06
-2.849886614103895612e+06,4.656214277088914998e+06,3.287190604610102717e+06
-2.849886613318593241e+06,4.656214277874216437e+06,3.287190605395405088e+06
-2.849886612451821566e+06,4.656214278740988113e+06,3.287190606262176763e+06
-2.849886611501726788e+06,4.656214279691083357e+06,3.287190607212271541e+06
-2.849886610466641840e+06,4.656214280726168305e+06,3.287190608247356489e+06
-2.849886609345064964e+06,4.656214281847745180e+06,3.287190609368933365e+06
-2.849886608135646209e+06,4.656214283057164401e+06,3.287190610578352120e+06
-2.849886606837169267e+06,4.656214284355641343e+06,3.287190611876829062e+06
-2.849886605448539834e+06,4.656214285744270310e+06,3.287190613265458494e+06
-2.849886603968773037e+06,4.656214287224036641e+06,3.287190614745225292e+06
-2.849886602396983653e+06,4.656214288795826957e+06,3.287190616317014676e+06
-2.849886600732372608e+06,4.656214290460437536e+06,3.287190617981625721e+06
-2.849886598974222783e+06,4.656214292218587361e+06,3.287190619739775546e+06
-2.849886597121888306e+06,4.656214294070921838e+06,3.287190621592110023e+06
-2.849886595174786635e+06,4.656214296018023044e+06,3.287190623539211694e+06
-2.849886593132395763e+06,4.656214298060414381e+06,3.287190625581602566e+06
-2.849886590994243510e+06,4.656214300198566169e+06,3.287190627719754819e+06
-2.849886588759906590e+06,4.656214302432903089e+06,3.287190629954091739e+06
-2.849886586429003626e+06,4.656214304763806053e+06,3.287190632284994703e+06
-2.849886584001190960e+06,4.656214307191619650e+06,3.287190634712807368e+06
-2.849886581476159394e+06,4.656214309716651216e+06,3.287190637237838935e+06
-2.849886578853630926e+06,4.656214312339179218e+06,3.287190639860367402e+06
-2.849886576133355498e+06,4.656214315059455112e+06,3.287190642580642831e+06
-2.849886573315107264e+06,4.656214317877702415e+06,3.287190645398891065e+06
-2.849886570398684125e+06,4.656214320794126019e+06,3.287190648315314204e+06
-2.849886567383903079e+06,4.656214323808906600e+06,3.287190651330095250e+06
-2.849886564270600211e+06,4.656214326922209933e+06,3.287190654443398118e+06
-2.849886561058627907e+06,4.656214330134182237e+06,3.287190657655370422e+06
-2.849886557747852523e+06,4.656214333444957621e+06,3.287190660966145806e+06
-2.849886554338154849e+06,4.656214336854655296e+06,3.287190664375843480e+06
-2.849886550829426851e+06,4.656214340363383293e+06,3.287190667884571478e+06
-2.849886547221571673e+06,4.656214343971238472e+06,3.287190671492426656e+06
-2.849886543514502235e+06,4.656214347678308375e+06,3.287190675199496094e+06
-2.849886539708139375e+06,4.656214351484670304e+06,3.287190679005858954e+06
-2.849886535802413244e+06,4.656214355390396900e+06,3.287190682911585085e+06
-2.849886531797259115e+06,4.656214359395550564e+06,3.287190686916739214e+06
-2.849886527692620642e+06,4.656214363500189036e+06,3.287190691021377686e+06
-2.849886523488446139e+06,4.656214367704363540e+06,3.287190695225552190e+06
-2.849886519184689038e+06,4.656214372008120641e+06,3.287190699529309291e+06
-2.849886514781307895e+06,4.656214376411502250e+06,3.287190703932690434e+06
-2.849886510278264526e+06,4.656214380914545618e+06,3.287190708435733803e+06
-2.849886505675525405e+06,4.656214385517284274e+06,3.287190713038472924e+06
-2.849886500973060727e+06,4.656214390219749883e+06,3.287190717740937602e+06
-2.849886496170842089e+06,4.656214395021968521e+06,3.287190722543156240e+06
-2.849886491268845275e+06,4.656214399923964404e+06,3.287190727445153054e+06
-2.849886486267048400e+06,4.656214404925761744e+06,3.287190732446949929e+06
-2.849886481165430974e+06,4.656214410027379170e+06,3.287190737548567355e+06
-2.849886475963975303e+06,4.656214415228834376e+06,3.287190742750023026e+06
-2.849886470662665553e+06,4.656214420530145057e+06,3.287190748051332776e+06
-2.849886465261486359e+06,4.656214425931323320e+06,3.287190753452511970e+06
-2.849886459760425147e+06,4.656214431432384998e+06,3.287190758953573182e+06
-2.849886454159470275e+06,4.656214437033339404e+06,3.287190764554528054e+06
-2.849886448458611034e+06,4.656214442734199576e+06,3.287190770255387295e+06
-2.849886442657837179e+06,4.656214448534972966e+06,3.287190776056161150e+06
-2.849886436757141259e+06,4.656214454435668886e+06,3.287190781956857070e+06
-2.849886430756514426e+06,4.656214460436295718e+06,3.287190787957483903e+06
-2.849886424655950628e+06,4.656214466536859982e+06,3.287190794058047701e+06
-2.849886418455442879e+06,4.656214472737367265e+06,3.287190800258555450e+06
-2.849886412154986057e+06,4.656214479037824087e+06,3.287190806559012271e+06
-2.849886405754575040e+06,4.656214485438235104e+06,3.287190812959423289e+06
-2.849886399254205171e+06,4.656214491938604973e+06,3.287190819459793158e+06
-2.849886392653872259e+06,4.656214498538938351e+06,3.287190826060126070e+06
-2.849886385953572579e+06,4.656214505239238031e+06,3.287190832760425750e+06
-2.849886379153302871e+06,4.656214512039507739e+06,3.287190839560695458e+06
-2.849886372253059875e+06,4.656214518939750269e+06,3.287190846460938454e+06
-2.849886365252841730e+06,4.656214525939968415e+06,3.287190853461156599e+06
-2.849886358152644709e+06,4.656214533040164970e+06,3.287190860561353620e+06
-2.849886350952467881e+06,4.656214540240341797e+06,3.287190867761530448e+06
-2.849886343652308453e+06,4.656214547540501691e+06,3.287190875061689876e+06
-2.849886336252165493e+06,4.656214554940644652e+06,3.287190882461832836e+06
-2.849886328752036206e+06,4.656214562440773472e+06,3.287190889961962122e+06
-2.849886321151920129e+06,4.656214570040890016e+06,3.287190897562078200e+06
-2.849886313451815862e+06,4.656214577740994282e+06,3.287190905262182467e+06
-2.849886305651721545e+06,4.656214585541088134e+06,3.287190913062276784e+06
-2.849886297751637176e+06,4.656214593441173434e+06,3.287190920962361153e+06
-2.849886289751560893e+06,4.656214601441249251e+06,3.287190928962437436e+06
-2.849886281651492231e+06,4.656214609541317448e+06,3.287190937062506098e+06
-2.849886273451430723e+06,4.656214617741379887e+06,3.287190945262567606e+06
-2.849886265151374973e+06,4.656214626041434705e+06,3.287190953562623356e+06
-2.849886256751324981e+06,4.656214634441484697e+06,3.287190961962673347e+06
-2.849886248251280282e+06,4.656214642941529863e+06,3.287190970462718047e+06
-2.849886239651239477e+06,4.656214651541570202e+06,3.287190979062758852e+06
-2.849886230951203033e+06,4.656214660241606645e+06,3.287190987762795296e+06
-2.849886222151170485e+06,4.656214669041640125e+06,3.287190996562827844e+06
-2.849886213251140900e+06,4.656214677941669710e+06,3.287191005462857429e+06
-2.849886204251114279e+06,4.656214686941695400e+06,3.287191014462884050e+06
-2.849886195151090622e+06,4.656214696041719988e+06,3.287191023562907707e+06
-2.849886185951068997e+06,4.656214705241741613e+06,3.287191032762929332e+06
-2.849886176651049405e+06,4.656214714541760273e+06,3.287191042062948924e+06
-2.849886167251032311e+06,4.656214723941777833e+06,3.287191051462966017e+06
-2.849886157751016319e+06,4.656214733441793360e+06,3.287191060962982010e+06
-2.849886148151002359e+06,4.656214743041807786e+06,3.287191070562995970e+06
-2.849886138450989500e+06,4.656214752741820179e+06,3.287191080263008829e+06
-2.849886128650978208e+06,4.656214762541832402e+06,3.287191090063020121e+06
-2.849886118750968017e+06,4.656214772441842593e+06,3.287191099963030312e+06
-2.849886108750958461e+06,4.656214782441851683e+06,3.287191109963039868e+06
-2.849886098650950473e+06,4.656214792541859671e+06,3.287191120063047856e+06
-2.849886088450942654e+06,4.656214802741867490e+06,3.287191130263055675e+06
-2.849886078150935937e+06,4.656214813041874208e+06,3.287191140563062392e+06
-2.849886067750929855e+06,4.656214823441879824e+06,3.287191150963068474e+06
-2.849886057250924408e+06,4.656214833941885270e+06,3.287191161463073920e+06
-2.849886046650919598e+06,4.656214844541890547e+06,3.287191172063078731e+06
-2.849886035950914957e+06,4.656214855241894722e+06,3.287191182763083372e+06
-2.849886025150910951e+06,4.656214866041898727e+06,3.287191193563087378e+06
-2.849886014250907581e+06,4.656214876941902563e+06,3.287191204463090748e+06
-2.849886003250904381e+06,4.656214887941906229e+06,3.287191215463093948e+06
-2.849885992150901351e+06,4.656214899041908793e+06,3.287191226563096978e+06
-2.849885980950898957e+06,4.656214910241911188e+06,3.287191237763099372e+06
-2.849885969650896266e+06,4.656214921541913413e+06,3.287191249063102063e+06
-2.849885958250894211e+06,4.656214932941915467e+06,3.287191260463104118e+06
-2.849885946750892326e+06,4.656214944441917352e+06,3.287191271963106003e+06
-2.849885935150890611e+06,4.656214956041919068e+06,3.287191283563107718e+06
-2.849885923450889066e+06,4.656214967741920613e+06,3.287191295263109263e+06
-2.849885911650887690e+06,4.656214979541921988e+06,3.287191307063110638e+06
-2.849885899750886485e+06,4.656214991441923194e+06,3.287191318963111844e+06
-2.849885887750885449e+06,4.656215003441925161e+06,3.287191330963112880e+06
-2.849885875650884584e+06,4.656215015541926026e+06,3.287191343063113745e+06
-2.849885863450883422e+06,4.656215027741926722e+06,3.287191355263114907e+06
-2.849885851150882430e+06,4.656215040041927248e+06,3.287191367563115899e+06
-2.849885838750882074e+06,4.656215052441928536e+06,3.287191379963116255e+06
-2.849885826250881422e+06,4.656215064941928722e+06,3.287191392463116907e+06
-2.849885813650880475e+06,4.656215077541929670e+06,3.287191405063117854e+06
-2.849885800950880162e+06,4.656215090241930448e+06,3.287191417763118166e+06
-2.849885788150879554e+06,4.656215103041930124e+06,3.287191430563118774e+06
-2.849885775250879116e+06,4.656215115941930562e+06,3.287191443463119213e+06
-2.849885762250878848e+06,4.656215128941931762e+06,3.287191456463119481e+06
-2.849885749150878284e+06,4.656215142041931860e+06,3.287191469563120045e+06
-2.849885735950878356e+06,4.656215155241931789e+06,3.287191482763119973e+06
-2.849885722650877666e+06,4.656215168541932479e+06,3.287191496063120663e+06
-2.849885709250877611e+06,4.656215181941932999e+06,3.287191509463120718e+06
-2.849885695750877261e+06,4.656215195441932417e+06,3.287191522963121068e+06
-2.849885682150877081e+06,4.656215209041932598e+06,3.287191536563121248e+06
-2.849885668450877070e+06,4.656215222741933540e+06,3.287191550263121258e+06
-2.849885654650876764e+06,4.656215236541933380e+06,3.287191564063121565e+06
-2.849885640750876628e+06,4.656215250441933051e+06,3.287191577963121701e+06
-2.849885626750876661e+06,4.656215264441933483e+06,3.287191591963121668e+06
-2.849885612650876399e+06,4.656215278541933745e+06,3.287191606063121930e+06
