accel_x (m/s^2),accel_y (m/s^2),accel_z (m/s^2)
1.094182514198596579e+00,1.104977376548524681e+00,-8.678424320649504864e+00
2.013465909235480744e+00,1.984671211796409374e+00,-7.788198315798275928e+00
2.792691487426194552e+00,2.808914608131487078e+00,-6.975779985390184734e+00
3.534998089125373166e+00,3.544919856301947725e+00,-6.250690733670113630e+00
4.195434303882967342e+00,4.206396596452291803e+00,-5.597349322788859105e+00
4.783037885296148595e+00,4.795039456541986489e+00,-5.010499707766311595e+00
5.335199317428029886e+00,5.306386612041977813e+00,-4.490581036340206111e+00
5.781832486935353010e+00,5.797007785895433862e+00,-4.005591681928605929e+00
6.244000966572365030e+00,6.213914525834984381e+00,-3.563567191237685616e+00
6.617974908291808234e+00,6.614457621190904746e+00,-3.182207384242912607e+00
6.961983198772284887e+00,6.964952531174306571e+00,-2.836761803560678974e+00
7.279108759392899586e+00,7.270754370629065377e+00,-2.531919293222260503e+00
7.541893995002450168e+00,7.548297715777602335e+00,-2.225305197515943689e+00
7.809636209633675108e+00,7.800170979696654072e+00,-1.989812160080001169e+00
8.041103286884768053e+00,8.042457010568616838e+00,-1.761201081880286567e+00
8.266156204337752555e+00,8.254469298929095089e+00,-1.544427696143005679e+00
8.429581699232763015e+00,8.447012676276600018e+00,-1.369792979015516776e+00
8.603431359679007073e+00,8.593779468235394958e+00,-1.193479885351713010e+00
8.759526192419723856e+00,8.736610091745925288e+00,-1.055145842158539571e+00
8.872080109620808841e+00,8.896292509335790299e+00,-9.071924997769499344e-01
9.007044007827195387e+00,9.011537301160041480e+00,-7.936476359288845428e-01
9.113892242280224210e+00,9.120543533696054084e+00,-6.871297100795199508e-01
9.210666201133062003e+00,9.201156579913323696e+00,-5.853607889919850704e-01
9.296958309012230970e+00,9.304998768361510741e+00,-5.006602530559642883e-01
9.380545252678897938e+00,9.374707111151790784e+00,-4.198897336586099871e-01
9.474314055234870580e+00,9.462619032133918751e+00,-3.373544024163213639e-01
9.494179366331659153e+00,9.521404906965772241e+00,-2.811585844640520637e-01
9.583431905507444171e+00,9.577566045663264305e+00,-2.306345278082970740e-01
