gps_x (m),gps_y (m),gps_z (m),gps_vx (m/s),gps_vy (m/s),gps_vz (m/s)
-2.849884720581097528e+06,4.656212855543000624e+06,3.287195350011100993e+06,5.014140990594862402e+00,-8.641584606779202302e-03,1.237354232915694081e-02
-2.849884197953215800e+06,4.656213469164454378e+06,3.287189699346270878e+06,4.928089031360205929e+00,2.111127433554507021e-02,-1.171743832239926369e-01
-2.849876943678090349e+06,4.656213405676126480e+06,3.287194784981938079e+06,5.049932658487699122e+00,1.827055498866497762e-03,5.255377427000387097e-02
-2.849888158576890826e+06,4.656227350881780498e+06,3.287202940448134672e+06,4.889799498447719550e+00,5.105200360245167046e-02,6.758572286378911054e-02
-2.849890290335208178e+06,4.656222073642487638e+06,3.287190129137776326e+06,5.071036852889610813e+00,9.992244182874113201e-02,5.546422861159663875e-02
-2.849887652102038730e+06,4.656210800096254796e+06,3.287193147294975352e+06,5.155531923390015869e+00,8.221328419512985430e-02,1.313446223698535864e-01
-2.849890406731719617e+06,4.656203827813721262e+06,3.287192991153230891e+06,5.241474794622692279e+00,2.024878629416786979e-01,2.574328123278168401e-01
-2.849885833467784338e+06,4.656217153577267192e+06,3.287185661199866794e+06,5.222181294312302491e+00,1.844876676673884719e-01,1.983007001159137195e-01
-2.849892142699201591e+06,4.656214922102767043e+06,3.287201174544272944e+06,5.294711305181037275e+00,2.982809664534274430e-01,3.267461700882733355e-01
-2.849886533028784674e+06,4.656212208216346800e+06,3.287182636634342838e+06,5.405818827140226546e+00,4.130353674742651693e-01,2.891524657885332084e-01
-2.849890425945997238e+06,4.656216049235443585e+06,3.287192538038836792e+06,5.504659550206253193e+00,4.285215900723307603e-01,3.863767370210709484e-01
-2.849884532129692379e+06,4.656218963054181077e+06,3.287200427347950637e+06,5.551185084756130372e+00,5.272308796716717039e-01,4.421520807594899738e-01
-2.849890907702095807e+06,4.656214568125944585e+06,3.287185606887884904e+06,5.608833261170411255e+00,5.022416791988772999e-01,6.237117107381673353e-01
-2.849894749301987700e+06,4.656199177814980038e+06,3.287199491504951846e+06,5.585281425790181054e+00,7.371759695445128102e-01,5.987343327486320810e-01
-2.849885115939926822e+06,4.656209815778761171e+06,3.287191435140585061e+06,5.702162224160508330e+00,6.982234766941290971e-01,7.687790589257327278e-01
-2.849877764982222114e+06,4.656215201836545020e+06,3.287200625285714399e+06,5.691839093461743992e+00,7.579513021648150994e-01,7.535796852684839564e-01
-2.849887127474315930e+06,4.656220795889263973e+06,3.287177605472998228e+06,5.894915889246262530e+00,8.690003575376530343e-01,8.118984870881470473e-01
-2.849884414394848514e+06,4.656218777272387408e+06,3.287200314327830449e+06,5.923605113215145046e+00,1.009787921567643521e+00,1.006297732764398711e+00
