mag_x (uT),mag_y (uT),mag_z (uT)
3.313421765424606491e+01,6.640473287762187378e-03,3.619401915917774915e+01
3.299356886471468897e+01,5.910596845528964284e-03,3.635813275644721188e+01
3.313161481735789948e+01,-2.984020510530240380e-02,3.631993424520066327e+01
3.309749976846136121e+01,1.706295035174807129e-01,3.613942480643216015e+01
3.324483296501762908e+01,1.200710568662788635e-01,3.628175250273875463e+01
3.314956107611046576e+01,-1.830984566267903069e-01,3.631719129319275652e+01
3.327257450410895245e+01,5.199929081321295193e-02,3.639433419013982274e+01
3.340440220712066832e+01,-1.495094826953127232e-01,3.606603116407122656e+01
3.303798757922111662e+01,1.513668609417185944e-02,3.634542255335611571e+01
3.318403897764038391e+01,7.931591119329073347e-02,3.626185753856336191e+01
3.310346244788780012e+01,1.917137021313609566e-02,3.636992698599208040e+01
3.332853495039789493e+01,-2.105758267110975634e-02,3.626203537638690477e+01
3.304751107311512470e+01,-2.515019555744047453e-01,3.625674580607414299e+01
3.306642689050213590e+01,6.181910901603870911e-02,3.636888703921733423e+01
3.313740107518153621e+01,-6.526924322543546653e-02,3.630625761936637019e+01
3.321357864932473092e+01,2.425432112167136278e-02,3.619468065526329781e+01
3.308317802065510449e+01,2.047753629372280667e-03,3.631158445193113238e+01
3.319256189827955694e+01,2.169506381359306568e-01,3.616505040912827695e+01
3.317185790057499872e+01,-4.517678050500938819e-02,3.631131784690564501e+01
3.302461833119178181e+01,-7.102263464931626857e-02,3.652490297467937808e+01
3.325535925972028650e+01,1.593801594569251856e-01,3.642007753133908210e+01
3.330319350445005000e+01,-1.687769540842921634e-01,3.603176928663704359e+01
3.288919811426760731e+01,4.383719088948864750e-02,3.625684816828390922e+01
3.323539686565881368e+01,-1.634618483074483652e-01,3.637482271503942144e+01
3.301002414493208192e+01,3.808968935596464267e-03,3.620004268727314667e+01
3.311486612206758195e+01,-1.537434074841355913e-01,3.631840837177860237e+01
3.311201487320899162e+01,-1.025103459011519891e-01,3.632231095255986730e+01
3.308653347007332002e+01,-1.245038589878137182e-02,3.623592782579689953e+01
3.316583530636707877e+01,1.415989834433944161e-01,3.636895959032879944e+01
3.315396655533541548e+01,-1.147121484359912014e-01,3.624360157394801973e+01
3.321149148137062213e+01,-1.405035324338067826e-01,3.628203848921965147e+01
3.322074729675526328e+01,-1.508234686220971676e-01,3.619157270949865790e+01
3.321847485244649079e+01,-2.294213047436238218e-01,3.630130232366082765e+01
3.302304580849874327e+01,-7.583447154750214136e-02,3.618248559072637249e+01
3.308407605838599608e+01,-5.102856096745078673e-02,3.618935589242998674e+01
3.298738516084625161e+01,-1.432191215273921070e-01,3.624688714134313017e+01
3.312230888422749331e+01,-8.157912796527995447e-02,3.633741819299785192e+01
3.282308428650415522e+01,7.429323185322478373e-02,3.637494338930363114e+01
3.325397553758580926e+01,-1.001248267612186854e-01,3.627623298607547753e+01
3.316823419074073342e+01,1.102349681563318945e-01,3.619181633734590520e+01
3.298382731083689379e+01,1.597548869590063522e-02,3.632803290723155243e+01
3.304698575543981320e+01,2.085806091476266888e-01,3.625473636225837026e+01
3.310838371876327813e+01,-3.356301479631369072e-02,3.629266697809536169e+01
3.310212240254525540e+01,1.648183121437132581e-01,3.627333120849159087e+01
3.316812592591459463e+01,1.356284287991059434e-01,3.625380610855940944e+01
3.311494849776232741e+01,3.252126033298102792e-02,3.625797687285506044e+01
3.311610896076722810e+01,6.897442049086006943e-02,3.621411795537843403e+01
3.290964943321822744e+01,-7.128664198784376294e-02,3.609828197157376195e+01
3.306427925838799808e+01,-1.586549285783862492e-02,3.638488757926981521e+01
3.331297805443943361e+01,-6.474755823046822456e-02,3.627159943876429793e+01
3.328921850688381312e+01,8.845831956975658272e-02,3.632590298089729686e+01
3.315524265144131988e+01,-9.337158318258757805e-02,3.632267110560853496e+01
3.314841974962419613e+01,7.339180797675717849e-02,3.620192158336263333e+01
3.319044914973207483e+01,-1.988072072525097489e-02,3.630987947725290610e+01
3.322707029988952598e+01,8.354510216077672136e-03,3.632021946754650799e+01
3.309392357400076889e+01,2.096056208263319398e-02,3.648310553561069725e+01
3.334293040952061915e+01,7.366535560047147123e-03,3.624592728884283588e+01
3.294991253898044192e+01,-8.821447654262720706e-02,3.623940966354731330e+01
3.303317382979614081e+01,-1.963828098646099862e-01,3.628265885512167443e+01
3.332745697660745776e+01,-6.628206044961984511e-02,3.621710989725318086e+01
3.306108391679408243e+01,1.420983636393632898e-01,3.633048330769096879e+01
3.310055418784335757e+01,8.317051292676871932e-02,3.638062008554170035e+01
3.326754869929699510e+01,-6.270222061188175655e-02,3.637921516285560841e+01
3.314971186091652555e+01,2.309894500878317825e-01,3.605423678451366953e+01
3.318441197273383381e+01,-4.932171832813449924e-02,3.627428989548216975e+01
3.308654642111763877e+01,2.322515512056675113e-01,3.623989637776718808e+01
3.306828380185320526e+01,1.069005699125939873e-01,3.619107707035359311e+01
3.321266537716859801e+01,3.974146788665058883e-02,3.648930819997367081e+01
3.327666710612337653e+01,-2.351121139162266338e-01,3.635968670625430832e+01
3.320214431798292765e+01,4.638857934793624849e-02,3.640023600122400893e+01
3.304747788396934993e+01,2.019340727049053208e-01,3.622109321312323260e+01
3.322410775367116997e+01,2.378163417663422541e-01,3.635889976813813007e+01
3.312841828439155734e+01,3.191140531715277312e-02,3.618506680422557054e+01
3.302563651561360558e+01,2.702456387548192451e-02,3.618523817879081150e+01
3.314783149514968841e+01,1.074109703359761997e-01,3.626495343763816948e+01
3.290778715243203578e+01,-4.273181332263988746e-02,3.611798306754642596e+01
3.303292391803388028e+01,-7.236301304068896685e-04,3.627008184435823068e+01
3.305702149544190149e+01,2.020100393871369221e-02,3.627156498813211982e+01
3.312015004789822115e+01,-1.896032571489851271e-01,3.637469415344287427e+01
3.326930621043884884e+01,5.342017513288550845e-02,3.626220710821505833e+01
3.341466557636857004e+01,-6.258192253111576064e-02,3.633148972567767032e+01
3.330101039350559233e+01,2.078383183086410790e-01,3.631010087234651706e+01
3.309175073005862089e+01,4.994982566078010056e-02,3.638852658942087004e+01
3.328736100496502814e+01,2.811853961537463809e-03,3.632937533766659044e+01
3.314376747771287057e+01,-5.357180446669972812e-02,3.624484282991090112e+01
3.327595547195392811e+01,-9.442972581852976388e-02,3.631193258703495985e+01
3.312864878459912887e+01,1.344636931811230285e-01,3.632974323635942682e+01
3.320268114313601870e+01,-1.349466972691516220e-01,3.600656280985487001e+01
3.339739264076835212e+01,4.751173262766725247e-02,3.617430920960905638e+01
3.322689496063052417e+01,-1.333479804089579834e-01,3.622215929572482196e+01
3.325027813860990022e+01,1.586855810334978079e-01,3.626093957614270380e+01
3.321106506602309594e+01,7.351301015484913715e-02,3.624594386905565102e+01
3.297173993412596360e+01,1.146032174092604800e-01,3.629703652180376139e+01
3.313534967352583038e+01,-1.189945273620954674e-01,3.632315703767017112e+01
3.294627167782757482e+01,1.258572983363424880e-01,3.626703565700018572e+01
3.302856426570014037e+01,6.949446699888474355e-02,3.639349028673325392e+01
3.311795602901301550e+01,8.929554515421581073e-02,3.635613958095865428e+01
3.319863983735439206e+01,9.484689590831432704e-02,3.623631694796810621e+01
3.328698570506546872e+01,1.266666396261432459e-01,3.631643602303893914e+01
3.316495738619117617e+01,-4.974845816106604479e-02,3.627183028224227002e+01
3.323095039367114367e+01,-6.759013580273454114e-02,3.631076506626233424e+01
3.291462023707514106e+01,-5.157484230838539629e-02,3.625376391245477947e+01
3.321890245619406556e+01,1.116104861360560363e-02,3.626766202251602778e+01
3.289273707925399037e+01,-1.154016208248102859e-02,3.625645956094692934e+01
3.309662838577107635e+01,2.186821882139831641e-01,3.619601943269496758e+01
3.317519466692544228e+01,1.573994445911792717e-01,3.643041017310854102e+01
3.301831590529101135e+01,3.858541514464799982e-02,3.620413239334278188e+01
3.314712365151518014e+01,6.992415453531820868e-02,3.627931452740587304e+01
3.325905956575668654e+01,-3.062241233022307274e-02,3.642232514650219599e+01
3.307391433490599297e+01,7.080747832912241690e-02,3.619269320622447594e+01
3.321756303716504988e+01,6.012666969019739988e-02,3.615502534671965407e+01
3.316854490074441486e+01,3.672879233091715101e-02,3.622145705185401710e+01
3.317086384303618729e+01,2.631153054401623170e-01,3.627211078499819052e+01
3.325145745811755660e+01,-2.632998028257294704e-02,3.623333479990051842e+01
3.282906949600323543e+01,-2.717727555054934296e-02,3.631575615491813380e+01
3.317489559325360204e+01,-4.338017511529707049e-02,3.634037251932252843e+01
3.318774381031897036e+01,-4.889750594287547991e-02,3.641658553254467989e+01
3.332370146062154248e+01,1.994538381958602113e-02,3.613137860212014374e+01
3.322473136130130200e+01,-5.189621396937916728e-03,3.615628213760211906e+01
3.314525883164574793e+01,-5.839440535688976246e-03,3.628198611757750314e+01
3.311003692012243960e+01,-1.081133241484429908e-01,3.626286777387628035e+01
3.317092054287994074e+01,1.518958544542825251e-01,3.632303062551208939e+01
3.314693432971172626e+01,7.142824137686980268e-02,3.628695952676876146e+01
3.292749226441503652e+01,-1.532623250132311189e-02,3.635349123382237480e+01
3.320151324923717340e+01,-5.717346342515308710e-02,3.617620863500178530e+01
3.319724080553623224e+01,-1.875195547846930655e-02,3.621182459142180221e+01
3.316145879344065861e+01,-7.846454369317713839e-02,3.631215015986600747e+01
3.320291004018015002e+01,-7.207180324207571043e-02,3.625784271512840462e+01
3.324359712198048555e+01,-2.067220607372491573e-05,3.628682139550624441e+01
3.318960726219603430e+01,-1.383929960534861503e-01,3.620216180499286907e+01
3.323673586011464920e+01,-1.186045538371003905e-01,3.648917648292723470e+01
3.315234936775615893e+01,-1.310321347104977108e-02,3.632589987251389374e+01
3.306545955348858001e+01,1.710528453443559416e-01,3.630869618744377192e+01
3.320925818435729582e+01,6.495424352564471704e-02,3.625846035089544728e+01
3.322381783266018829e+01,-7.999886786768038716e-02,3.619962628112399727e+01
3.305092205140037720e+01,-6.228780484708047738e-03,3.642666874987902759e+01
3.324013929243240284e+01,-3.137449012991768565e-02,3.623537031310310397e+01
3.315753431684667873e+01,9.043634514642438782e-02,3.642530163303599977e+01
3.318950897681715162e+01,1.078217717157949063e-01,3.634208428812233649e+01
3.333655173453171727e+01,2.625386372148911795e-01,3.640688164730016041e+01
3.334211584399296413e+01,-2.102117617420713458e-01,3.638476498169953288e+01
3.319984055540497536e+01,-5.928906123618537388e-02,3.622027944549662237e+01
3.313947727581371083e+01,-7.399197378715177686e-02,3.614040665665488206e+01
3.303877877076737235e+01,-1.065466454575787064e-01,3.626135736149167599e+01
3.325657627435683139e+01,5.494532918803747557e-02,3.646395486909347738e+01
3.324565224512361539e+01,7.802199688166644442e-02,3.630257506349845897e+01
3.308174660564692005e+01,1.208970252909946919e-01,3.604025066960966939e+01
3.299029319302598395e+01,-6.032541275893863603e-02,3.625448502568637110e+01
3.316672029316373482e+01,-1.685831239611487384e-02,3.621216523743802895e+01
3.306858656771801463e+01,6.197285162831516619e-02,3.607030973329879231e+01
3.315798447503280499e+01,1.295492903251025119e-01,3.639313428348789614e+01
3.317524370533050160e+01,1.057918400585521231e-02,3.609705927340183251e+01
3.315038311929637160e+01,2.069004864069091953e-01,3.625958439638190356e+01
3.323619456443241660e+01,4.161875528761543874e-02,3.631175786057924881e+01
3.320946201146858101e+01,-1.285981372242246401e-01,3.637224027285352435e+01
3.329586212000825896e+01,4.804308885491846703e-02,3.631107552510744085e+01
3.340050787090140716e+01,-6.907989534346600791e-02,3.611120808096825385e+01
3.322159965381837310e+01,2.335662860026129634e-02,3.639705767223536270e+01
3.313422295155014297e+01,-5.535392028955587324e-02,3.627684335523607473e+01
3.304146978492817510e+01,-1.695284559388054654e-02,3.631687160123239266e+01
3.320254932122814751e+01,4.627493626266928478e-02,3.612613362603676137e+01
3.315656170858958518e+01,-1.669140594363573279e-03,3.620612355859937992e+01
3.308574566397520300e+01,4.276309544985698596e-02,3.640713681865539542e+01
3.319033098772369783e+01,9.253964914711196310e-02,3.625285259330910037e+01
3.322937730152433744e+01,-1.055420195141049400e-01,3.640896839037096555e+01
3.292504495539030529e+01,4.128658203491905598e-02,3.630446742102256508e+01
3.318204874831185691e+01,-1.337414531723757349e-01,3.626064876042363494e+01
3.316454792993621226e+01,7.011472876450611236e-02,3.623382429940449612e+01
3.331106688842361052e+01,-3.332229658615554202e-02,3.643267937809008572e+01
3.306047093482612809e+01,-4.368233530534827019e-02,3.635883683392187748e+01
3.299796951905317854e+01,6.867861263428069740e-02,3.630256137890064139e+01
3.329342203858109883e+01,-1.728154029648439755e-02,3.621626355852856705e+01
3.321710571787101429e+01,-2.050949129727496628e-02,3.619117995172589985e+01
3.334045739235406813e+01,-5.449663136396172558e-03,3.623261093566198099e+01
3.333338565201353987e+01,-6.483728225805228396e-02,3.625290344988300006e+01
3.321472322445162462e+01,2.974771491032391496e-02,3.629291742281894528e+01
3.328174867069461129e+01,-3.791868544242511102e-02,3.623606067745487991e+01
3.314437324478026881e+01,-2.122997496060093081e-02,3.625097779222016214e+01
3.316877866754990123e+01,-7.340974653080249712e-02,3.642216672289668367e+01
3.319258041627890066e+01,9.535052994614484634e-02,3.614860381251605048e+01
3.319086878628370130e+01,1.030214135033891698e-01,3.628227046187452487e+01
3.324382837112398192e+01,-1.477464420030732417e-01,3.625565251163090608e+01
3.309808788093415899e+01,-4.989143562547591892e-02,3.621263352756410114e+01
3.309504442652608702e+01,1.259954364221977374e-01,3.623431917655097578e+01
3.338550862891815996e+01,2.958052689603546045e-02,3.632163889228929321e+01
3.312773437735088322e+01,1.475217071328806806e-01,3.629406058278405567e+01
3.307293952307046681e+01,2.147010019370135941e-02,3.641601148718459058e+01
3.320856694092155692e+01,-9.148612047951587556e-02,3.639775472961989777e+01
3.296809614393315968e+01,-1.036593892166854103e-01,3.625350363070052140e+01
3.314248309437597584e+01,5.843835144868664289e-02,3.629164416150214123e+01
3.323664496514945199e+01,6.827006179520458962e-02,3.609065097533927258e+01
3.309359191898811758e+01,6.670140545025694812e-02,3.630849427812009367e+01
3.320751631594633579e+01,-2.803488435753040409e-01,3.636082104949149851e+01
3.309184374693163022e+01,-1.182780714267074422e-02,3.644060461608032142e+01
3.306470052059486875e+01,8.893225911833380071e-02,3.602323859259110606e+01
3.297066903893216505e+01,3.580512125489711955e-02,3.609478293264204041e+01
3.313531381607425175e+01,-6.454153727135683929e-03,3.630153563588522303e+01
3.315815279124490900e+01,-1.236528743944686620e-01,3.626552144306199210e+01
3.316196121705588951e+01,-5.469068000822360776e-02,3.634114788111001104e+01
3.318222447971977118e+01,1.478416628742137418e-01,3.623728668025996313e+01
3.317376733869922845e+01,2.794432353283753459e-02,3.613453594250910328e+01
3.312351674118011857e+01,9.585708370430483238e-03,3.645001455226356057e+01
3.303696288968376393e+01,1.913553041124368623e-02,3.626878306612638880e+01
3.308372828200720761e+01,-5.947727763408982432e-02,3.626420774147114656e+01
3.307504518602158328e+01,4.176873853681294102e-02,3.628816300614361268e+01
3.307840946770231483e+01,7.345719052534122051e-02,3.628402369269798555e+01
3.300339929674247230e+01,5.390975253560158914e-02,3.622782255042510968e+01
3.316648601122552265e+01,-1.118447576661736192e-01,3.634573778850310077e+01
3.310842715033991368e+01,-1.582472829888051935e-01,3.621368267542707997e+01
3.316910931841434973e+01,1.430720853358300772e-02,3.622547134923807732e+01
3.314852390445877717e+01,-1.227796688872382913e-01,3.610518221793932270e+01
3.319013778887207877e+01,-6.053507410741424538e-02,3.615270741302668256e+01
3.316411079316451094e+01,4.606687824685879590e-02,3.622180602497451929e+01
3.308527219452006563e+01,-4.127115490062000652e-02,3.632599110008125365e+01
3.317841879421286677e+01,-1.260739581755114525e-01,3.629389267370820704e+01
3.301493836786734448e+01,1.428242440102511224e-01,3.632403098585048440e+01
3.307415962158592038e+01,9.736249718774003803e-02,3.632344346651326816e+01
3.322764761167814385e+01,-8.752568874001095955e-02,3.619459711387684564e+01
3.325086438866453875e+01,5.768423197823100562e-02,3.613720780572175784e+01
3.316847542038318153e+01,-1.987838676192571485e-01,3.610854261373160057e+01
3.320845688999209244e+01,-8.894841838118741628e-02,3.607996357897391704e+01
3.314543063362711450e+01,1.475127874253658912e-02,3.633976549248593813e+01
3.317622432080685257e+01,2.397134654615971222e-03,3.622731498950112439e+01
3.318295206230166627e+01,-2.149544734748404587e-02,3.633745731960779324e+01
3.335375779515917571e+01,6.643401592293061986e-02,3.624667213665374987e+01
3.333678338359579385e+01,-6.467186638841920798e-02,3.630282366846079611e+01
3.302138557540811092e+01,-1.092667344073397322e-02,3.633617072333156983e+01
3.330371293802573263e+01,6.149350436188029401e-02,3.619481338438981766e+01
3.315327844572986749e+01,2.036255057100548882e-01,3.609081914984271577e+01
3.311496074633325293e+01,1.578882459748211509e-01,3.611595266226196088e+01
3.306580500118803911e+01,1.232049015226635985e-01,3.615837067204499533e+01
3.307184308724130517e+01,2.501735841006099206e-02,3.609059883229433296e+01
3.303909819649771151e+01,1.202188094484268888e-01,3.634314616199961279e+01
