ref_accel_x (m/s^2),ref_accel_y (m/s^2),ref_accel_z (m/s^2)
9.999999999999997780e-01,9.999999999999997780e-01,-8.794216470399355501e+00
1.899999999999999467e+00,1.899999999999999467e+00,-7.894216470399356034e+00
2.709999999999999076e+00,2.709999999999999076e+00,-7.084216470399356425e+00
3.438999999999999169e+00,3.438999999999999169e+00,-6.355216470399356332e+00
4.095099999999999518e+00,4.095099999999999518e+00,-5.699116470399355983e+00
4.685589999999999478e+00,4.685589999999999478e+00,-5.108626470399356023e+00
5.217030999999999530e+00,5.217030999999999530e+00,-4.577185470399355971e+00
5.695327899999999666e+00,5.695327899999999666e+00,-4.098888570399355835e+00
6.125795109999999433e+00,6.125795109999999433e+00,-3.668421360399356068e+00
6.513215598999999578e+00,6.513215598999999578e+00,-3.281000871399355923e+00
6.861894039100000064e+00,6.861894039100000064e+00,-2.932322431299355436e+00
7.175704635189999792e+00,7.175704635189999792e+00,-2.618511835209355709e+00
7.458134171671000345e+00,7.458134171671000345e+00,-2.336082298728355156e+00
7.712320754503900311e+00,7.712320754503900311e+00,-2.081895715895455190e+00
7.941088679053510013e+00,7.941088679053510013e+00,-1.853127791345845488e+00
8.146979811148158390e+00,8.146979811148158390e+00,-1.647236659251197111e+00
8.332281830033341663e+00,8.332281830033341663e+00,-1.461934640366013838e+00
8.499053647030006431e+00,8.499053647030006431e+00,-1.295162823369349070e+00
8.649148282327004722e+00,8.649148282327004722e+00,-1.145068188072350779e+00
8.784233454094303895e+00,8.784233454094303895e+00,-1.009983016305051606e+00
8.905810108684873327e+00,8.905810108684873327e+00,-8.884063617144821734e-01
9.015229097816385817e+00,9.015229097816385817e+00,-7.789873725829696838e-01
9.113706188034747413e+00,9.113706188034747413e+00,-6.805102823646080878e-01
9.202335569231273382e+00,9.202335569231273382e+00,-5.918809011680821186e-01
9.282102012308145689e+00,9.282102012308145689e+00,-5.121144580912098121e-01
9.353891811077330587e+00,9.353891811077330587e+00,-4.403246593220249139e-01
