ref_gps_x (m),ref_gps_y (m),ref_gps_z (m),ref_gps_vx (m/s),ref_gps_vy (m/s),ref_gps_vz (m/s)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-2.849886568250875454e+06,4.656214272941934876e+06,3.287190600463123061e+06,5.009999999999999787e+00,9.999999999999998473e-03,9.999999999999998473e-03
-2.849886518150875345e+06,4.656214273041934706e+06,3.287190600563122891e+06,5.028999999999999915e+00,2.899999999999999453e-02,2.899999999999999453e-02
-2.849886467860875186e+06,4.656214273331934586e+06,3.287190600853123236e+06,5.056099999999999817e+00,5.609999999999998321e-02,5.609999999999998321e-02
-2.849886417299875058e+06,4.656214273892934434e+06,3.287190601414123084e+06,5.090489999999999959e+00,9.048999999999997323e-02,9.048999999999997323e-02
-2.849886366394975223e+06,4.656214274797834456e+06,3.287190602319023106e+06,5.131440999999999697e+00,1.314409999999999745e-01,1.314409999999999745e-01
-2.849886315080565400e+06,4.656214276112244464e+06,3.287190603633433115e+06,5.178296899999999425e+00,1.782968999999999804e-01,1.782968999999999804e-01
-2.849886263297596481e+06,4.656214277895214036e+06,3.287190605416402221e+06,5.230467209999999589e+00,2.304672099999999779e-01,2.304672099999999779e-01
-2.849886210992923938e+06,4.656214280199886300e+06,3.287190607721074019e+06,5.287420488999999613e+00,2.874204889999999457e-01,2.874204889999999457e-01
-2.849886158118719235e+06,4.656214283074091189e+06,3.287190610595278908e+06,5.348678440099999598e+00,3.486784400999999312e-01,3.486784400999999312e-01
-2.849886104631934781e+06,4.656214286560875364e+06,3.287190614082063548e+06,5.413810596089999372e+00,4.138105960899999269e-01,4.138105960899999269e-01
-2.849886050493828952e+06,4.656214290698980913e+06,3.287190618220169563e+06,5.482429536480998955e+00,4.824295364809999542e-01,4.824295364809999542e-01
-2.849885995669533499e+06,4.656214295523276553e+06,3.287190623044464737e+06,5.554186582832898900e+00,5.541865828329000099e-01,5.541865828329000099e-01
-2.849885940127667505e+06,4.656214301065142266e+06,3.287190628586330451e+06,5.628767924549609170e+00,6.287679245496100577e-01,6.287679245496100577e-01
-2.849885883839988615e+06,4.656214307352821343e+06,3.287190634874009993e+06,5.705891132094648377e+00,7.058911320946490431e-01,7.058911320946490431e-01
-2.849885826781077310e+06,4.656214314411733299e+06,3.287190641932921018e+06,5.785302018885183806e+00,7.853020188851841388e-01,7.853020188851841388e-01
-2.849885768928057048e+06,4.656214322264753282e+06,3.287190649785941467e+06,5.866771816996665834e+00,8.667718169966657227e-01,8.667718169966657227e-01
-2.849885710260338616e+06,4.656214330932470970e+06,3.287190658453659620e+06,5.950094635296999002e+00,9.500946352969991127e-01,9.500946352969991127e-01
-2.849885650759392418e+06,4.656214340433417819e+06,3.287190667954606004e+06,6.035085171767298640e+00,1.035085171767299084e+00,1.035085171767299084e+00
-2.849885590408540796e+06,4.656214350784269162e+06,3.287190678305457812e+06,6.121576654590568545e+00,1.121576654590569211e+00,1.121576654590569211e+00
-2.849885529192774091e+06,4.656214362000036053e+06,3.287190689521224238e+06,6.209418989131511246e+00,1.209418989131512134e+00,1.209418989131512134e+00
-2.849885467098584399e+06,4.656214374094225466e+06,3.287190701615414117e+06,6.298477090218359997e+00,1.298477090218360885e+00,1.298477090218360885e+00
-2.849885404113813303e+06,4.656214387078996748e+06,3.287190714600184932e+06,6.388629381196524015e+00,1.388629381196524681e+00,1.388629381196524681e+00
-2.849885340227519628e+06,4.656214400965290144e+06,3.287190728486478794e+06,6.479766443076871774e+00,1.479766443076872218e+00,1.479766443076872218e+00
-2.849885275429855101e+06,4.656214415762955323e+06,3.287190743284143042e+06,6.571789798769184898e+00,1.571789798769184898e+00,1.571789798769184898e+00
-2.849885209711957257e+06,4.656214431480852887e+06,3.287190759002041072e+06,6.664610818892266586e+00,1.664610818892266364e+00,1.664610818892266364e+00
-2.849885143065848853e+06,4.656214448126961477e+06,3.287190775648149196e+06,6.758149737003039448e+00,1.758149737003039670e+00,1.758149737003039670e+00
-2.849885075484351721e+06,4.656214465708458796e+06,3.287190793229646515e+06,6.852334763302735610e+00,1.852334763302735610e+00,1.852334763302735610e+00
-2.849885006961003877e+06,4.656214484231806360e+06,3.287190811752994545e+06,6.947101286972461764e+00,1.947101286972461986e+00,1.947101286972461986e+00
-2.849884937489991076e+06,4.656214503702819347e+06,3.287190831224007066e+06,7.042391158275215446e+00,2.042391158275215890e+00,2.042391158275215890e+00
-2.849884867066079285e+06,4.656214524126730859e+06,3.287190851647919044e+06,7.138152042447694079e+00,2.138152042447694079e+00,2.138152042447694079e+00
-2.849884795684559271e+06,4.656214545508250594e+06,3.287190873029439244e+06,7.234336838202924724e+00,2.234336838202924724e+00,2.234336838202924724e+00
-2.849884723341190722e+06,4.656214567851619795e+06,3.287190895372807514e+06,7.330903154382632181e+00,2.330903154382632181e+00,2.330903154382632181e+00
-2.849884650032158941e+06,4.656214591160651296e+06,3.287190918681839015e+06,7.427812838944369389e+00,2.427812838944368945e+00,2.427812838944368945e+00
-2.849884575754030608e+06,4.656214615438779816e+06,3.287190942959967535e+06,7.525031555049932486e+00,2.525031555049932042e+00,2.525031555049932042e+00
-2.849884500503715128e+06,4.656214640689094551e+06,3.287190968210283201e+06,7.622528399544939326e+00,2.622528399544938882e+00,2.622528399544938882e+00
-2.849884424278431106e+06,4.656214666914379224e+06,3.287190994435566943e+06,7.720275559590445091e+00,2.720275559590445091e+00,2.720275559590445091e+00
-2.849884347075675614e+06,4.656214694117134437e+06,3.287191021638322622e+06,7.818248003631400600e+00,2.818248003631400600e+00,2.818248003631400600e+00
-2.849884268893195782e+06,4.656214722299614921e+06,3.287191049820802640e+06,7.916423203268260878e+00,2.916423203268260433e+00,2.916423203268260433e+00
-2.849884189728963654e+06,4.656214751463846304e+06,3.287191078985034954e+06,8.014780882941435536e+00,3.014780882941434204e+00,3.014780882941434204e+00
-2.849884109581154771e+06,4.656214781611655839e+06,3.287191109132843558e+06,8.113302794647292870e+00,3.113302794647290650e+00,3.113302794647290650e+00
-2.849884028448126744e+06,4.656214812744683586e+06,3.287191140265871771e+06,8.211972515182564436e+00,3.211972515182561771e+00,3.211972515182561771e+00
-2.849883946328401566e+06,4.656214844864408486e+06,3.287191172385596670e+06,8.310775263664307744e+00,3.310775263664305523e+00,3.310775263664305523e+00
-2.849883863220648840e+06,4.656214877972161397e+06,3.287191205493349116e+06,8.409697737297877396e+00,3.409697737297875175e+00,3.409697737297875175e+00
-2.849883779123671819e+06,4.656214912069138139e+06,3.287191239590326790e+06,8.508727963568089692e+00,3.508727963568087471e+00,3.508727963568087471e+00
-2.849883694036392029e+06,4.656214947156418115e+06,3.287191274677606300e+06,8.607855167211280190e+00,3.607855167211278857e+00,3.607855167211278857e+00
-2.849883607957840431e+06,4.656214983234969899e+06,3.287191310756158084e+06,8.707069650490153023e+00,3.707069650490150803e+00,3.707069650490150803e+00
-2.849883520887143910e+06,4.656215020305666141e+06,3.287191347826854326e+06,8.806362685441138538e+00,3.806362685441135874e+00,3.806362685441135874e+00
-2.849883432823516894e+06,4.656215058369292878e+06,3.287191385890481528e+06,8.905726416897024933e+00,3.905726416897022268e+00,3.905726416897022268e+00
-2.849883343766252976e+06,4.656215097426556982e+06,3.287191424947745632e+06,9.005153775207322298e+00,4.005153775207319633e+00,4.005153775207319633e+00
-2.849883253714715131e+06,4.656215137478095479e+06,3.287191464999283198e+06,9.104638397686590778e+00,4.104638397686587226e+00,4.104638397686587226e+00
-2.849883162668331061e+06,4.656215178524479270e+06,3.287191506045667455e+06,9.204174557917932376e+00,4.204174557917928823e+00,4.204174557917928823e+00
-2.849883070626585279e+06,4.656215220566224307e+06,3.287191548087412957e+06,9.303757102126139600e+00,4.303757102126136047e+00,4.303757102126136047e+00
-2.849882977589014452e+06,4.656215263603795320e+06,3.287191591124983970e+06,9.403381391913525178e+00,4.403381391913522513e+00,4.403381391913522513e+00
-2.849882883555200417e+06,4.656215307637609541e+06,3.287191635158797726e+06,9.503043252722173762e+00,4.503043252722170209e+00,4.503043252722170209e+00
-2.849882788524767850e+06,4.656215352668042295e+06,3.287191680189230479e+06,9.602738927449957274e+00,4.602738927449952833e+00,4.602738927449952833e+00
-2.849882692497378681e+06,4.656215398695431650e+06,3.287191726216619369e+06,9.702465034704962576e+00,4.702465034704957247e+00,4.702465034704957247e+00
-2.849882595472728368e+06,4.656215445720082149e+06,3.287191773241269868e+06,9.802218531234466070e+00,4.802218531234461629e+00,4.802218531234461629e+00
-2.849882497450543102e+06,4.656215493742266670e+06,3.287191821263455320e+06,9.901996678111020245e+00,4.901996678111015804e+00,4.901996678111015804e+00
-2.849882398430576082e+06,4.656215542762233876e+06,3.287191870283422060e+06,1.000179701029991897e+01,5.001797010299914525e+00,5.001797010299914525e+00
-2.849882298412606120e+06,4.656215592780203559e+06,3.287191920301392209e+06,1.010161730926992796e+01,5.101617309269923517e+00,5.101617309269923517e+00
-2.849882197396432981e+06,4.656215643796376884e+06,3.287191971317565069e+06,1.020145557834293548e+01,5.201455578342931041e+00,5.201455578342931041e+00
-2.849882095381877385e+06,4.656215695810932666e+06,3.287192023332120851e+06,1.030131002050864275e+01,5.301310020508638310e+00,5.301310020508638310e+00
-2.849881992368777283e+06,4.656215748824032955e+06,3.287192076345221139e+06,1.040117901845777837e+01,5.401179018457774816e+00,5.401179018457774816e+00
-2.849881888356986921e+06,4.656215802835823037e+06,3.287192130357011221e+06,1.050106111661200181e+01,5.501061116611997370e+00,5.501061116611997370e+00
-2.849881783346375916e+06,4.656215857846434228e+06,3.287192185367622413e+06,1.060095500495080145e+01,5.600955004950797900e+00,5.600955004950797900e+00
-2.849881677336825524e+06,4.656215913855984807e+06,3.287192241377172526e+06,1.070085950445572109e+01,5.700859504455718429e+00,5.700859504455718429e+00
-2.849881570328230504e+06,4.656215970864579082e+06,3.287192298385767732e+06,1.080077355401014927e+01,5.800773554010146604e+00,5.800773554010146604e+00
