ref_pos_x (m),ref_pos_y (m),ref_pos_z (m)
-2.849886618250875268e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886568250875454e+06,4.656214272941934876e+06,3.287190600463123061e+06
-2.849886518150875345e+06,4.656214273041934706e+06,3.287190600563122891e+06
-2.849886467860875186e+06,4.656214273331934586e+06,3.287190600853123236e+06
-2.849886417299875058e+06,4.656214273892934434e+06,3.287190601414123084e+06
-2.849886366394975223e+06,4.656214274797834456e+06,3.287190602319023106e+06
-2.849886315080565400e+06,4.656214276112244464e+06,3.287190603633433115e+06
-2.849886263297596481e+06,4.656214277895214036e+06,3.287190605416402221e+06
-2.849886210992923938e+06,4.656214280199886300e+06,3.287190607721074019e+06
-2.849886158118719235e+06,4.656214283074091189e+06,3.287190610595278908e+06
-2.849886104631934781e+06,4.656214286560875364e+06,3.287190614082063548e+06
-2.849886050493828952e+06,4.656214290698980913e+06,3.287190618220169563e+06
-2.849885995669533499e+06,4.656214295523276553e+06,3.287190623044464737e+06
-2.849885940127667505e+06,4.656214301065142266e+06,3.287190628586330451e+06
-2.849885883839988615e+06,4.656214307352821343e+06,3.287190634874009993e+06
-2.849885826781077310e+06,4.656214314411733299e+06,3.287190641932921018e+06
-2.849885768928057048e+06,4.656214322264753282e+06,3.287190649785941467e+06
-2.849885710260338616e+06,4.656214330932470970e+06,3.287190658453659620e+06
-2.849885650759392418e+06,4.656214340433417819e+06,3.287190667954606004e+06
-2.849885590408540796e+06,4.656214350784269162e+06,3.287190678305457812e+06
-2.849885529192774091e+06,4.656214362000036053e+06,3.287190689521224238e+06
-2.849885467098584399e+06,4.656214374094225466e+06,3.287190701615414117e+06
-2.849885404113813303e+06,4.656214387078996748e+06,3.287190714600184932e+06
-2.849885340227519628e+06,4.656214400965290144e+06,3.287190728486478794e+06
-2.849885275429855101e+06,4.656214415762955323e+06,3.287190743284143042e+06
-2.849885209711957257e+06,4.656214431480852887e+06,3.287190759002041072e+06
-2.849885143065848853e+06,4.656214448126961477e+06,3.287190775648149196e+06
-2.849885075484351721e+06,4.656214465708458796e+06,3.287190793229646515e+06
-2.849885006961003877e+06,4.656214484231806360e+06,3.287190811752994545e+06
-2.849884937489991076e+06,4.656214503702819347e+06,3.287190831224007066e+06
-2.849884867066079285e+06,4.656214524126730859e+06,3.287190851647919044e+06
-2.849884795684559271e+06,4.656214545508250594e+06,3.287190873029439244e+06
-2.849884723341190722e+06,4.656214567851619795e+06,3.287190895372807514e+06
-2.849884650032158941e+06,4.656214591160651296e+06,3.287190918681839015e+06
-2.849884575754030608e+06,4.656214615438779816e+06,3.287190942959967535e+06
-2.849884500503715128e+06,4.656214640689094551e+06,3.287190968210283201e+06
-2.849884424278431106e+06,4.656214666914379224e+06,3.287190994435566943e+06
-2.849884347075675614e+06,4.656214694117134437e+06,3.287191021638322622e+06
-2.849884268893195782e+06,4.656214722299614921e+06,3.287191049820802640e+06
-2.849884189728963654e+06,4.656214751463846304e+06,3.287191078985034954e+06
-2.849884109581154771e+06,4.656214781611655839e+06,3.287191109132843558e+06
-2.849884028448126744e+06,4.656214812744683586e+06,3.287191140265871771e+06
-2.849883946328401566e+06,4.656214844864408486e+06,3.287191172385596670e+06
-2.849883863220648840e+06,4.656214877972161397e+06,3.287191205493349116e+06
-2.849883779123671819e+06,4.656214912069138139e+06,3.287191239590326790e+06
-2.849883694036392029e+06,4.656214947156418115e+06,3.287191274677606300e+06
-2.849883607957840431e+06,4.656214983234969899e+06,3.287191310756158084e+06
-2.849883520887143910e+06,4.656215020305666141e+06,3.287191347826854326e+06
-2.849883432823516894e+06,4.656215058369292878e+06,3.287191385890481528e+06
-2.849883343766252976e+06,4.656215097426556982e+06,3.287191424947745632e+06
-2.849883253714715131e+06,4.656215137478095479e+06,3.287191464999283198e+06
-2.849883162668331061e+06,4.656215178524479270e+06,3.287191506045667455e+06
-2.849883070626585279e+06,4.656215220566224307e+06,3.287191548087412957e+06
-2.849882977589014452e+06,4.656215263603795320e+06,3.287191591124983970e+06
-2.849882883555200417e+06,4.656215307637609541e+06,3.287191635158797726e+06
-2.849882788524767850e+06,4.656215352668042295e+06,3.287191680189230479e+06
-2.849882692497378681e+06,4.656215398695431650e+06,3.287191726216619369e+06
-2.849882595472728368e+06,4.656215445720082149e+06,3.287191773241269868e+06
-2.849882497450543102e+06,4.656215493742266670e+06,3.287191821263455320e+06
-2.849882398430576082e+06,4.656215542762233876e+06,3.287191870283422060e+06
-2.849882298412606120e+06,4.656215592780203559e+06,3.287191920301392209e+06
-2.849882197396432981e+06,4.656215643796376884e+06,3.287191971317565069e+06
-2.849882095381877385e+06,4.656215695810932666e+06,3.287192023332120851e+06
-2.849881992368777283e+06,4.656215748824032955e+06,3.287192076345221139e+06
-2.849881888356986921e+06,4.656215802835823037e+06,3.287192130357011221e+06
-2.849881783346375916e+06,4.656215857846434228e+06,3.287192185367622413e+06
-2.849881677336825524e+06,4.656215913855984807e+06,3.287192241377172526e+06
-2.849881570328230504e+06,4.656215970864579082e+06,3.287192298385767732e+06
-2.849881462320494931e+06,4.656216028872314841e+06,3.287192356393503025e+06
-2.849881353313533124e+06,4.656216087879276834e+06,3.287192415400465019e+06
-2.849881243307267316e+06,4.656216147885542363e+06,3.287192475406731013e+06
-2.849881132301628124e+06,4.656216208891182207e+06,3.287192536412370391e+06
-2.849881020296552684e+06,4.656216270896256901e+06,3.287192598417445552e+06
-2.849880907291985117e+06,4.656216333900825121e+06,3.287192661422013305e+06
-2.849880793287874199e+06,4.656216397904936224e+06,3.287192725426124409e+06
-2.849880678284174297e+06,4.656216462908635847e+06,3.287192790429824032e+06
-2.849880562280844431e+06,4.656216528911965899e+06,3.287192856433154084e+06
-2.849880445277847350e+06,4.656216595914962701e+06,3.287192923436150886e+06
-2.849880327275149990e+06,4.656216663917659782e+06,3.287192991438847966e+06
-2.849880208272722550e+06,4.656216732920087874e+06,3.287193060441275593e+06
-2.849880088270538021e+06,4.656216802922272123e+06,3.287193130443460308e+06
-2.849879967268571723e+06,4.656216873924238607e+06,3.287193201445426792e+06
-2.849879845266802236e+06,4.656216945926007815e+06,3.287193273447196465e+06
-2.849879722265209537e+06,4.656217018927601166e+06,3.287193346448788885e+06
-2.849879598263775930e+06,4.656217092929034494e+06,3.287193420450222213e+06
-2.849879473262486048e+06,4.656217167930324562e+06,3.287193495451512281e+06
-2.849879347261324991e+06,4.656217243931485340e+06,3.287193571452673525e+06
-2.849879220260279719e+06,4.656217320932529867e+06,3.287193648453718517e+06
-2.849879092259339523e+06,4.656217398933471180e+06,3.287193726454658899e+06
-2.849878963258493226e+06,4.656217477934316732e+06,3.287193805455505382e+06
-2.849878833257731050e+06,4.656217557935078628e+06,3.287193885456267279e+06
-2.849878702257045545e+06,4.656217638935764320e+06,3.287193966456952505e+06
-2.849878570256428793e+06,4.656217720936381258e+06,3.287194048457569908e+06
-2.849878437255873345e+06,4.656217803936936893e+06,3.287194131458125077e+06
-2.849878303255373612e+06,4.656217887937436812e+06,3.287194215458624996e+06
-2.849878168254923541e+06,4.656217972937886603e+06,3.287194300459074788e+06
-2.849878032254518941e+06,4.656218058938290924e+06,3.287194386459479574e+06
-2.849877895254154224e+06,4.656218145938655362e+06,3.287194473459844012e+06
-2.849877757253826596e+06,4.656218233938983642e+06,3.287194561460171826e+06
-2.849877618253531400e+06,4.656218322939278558e+06,3.287194650460466743e+06
-2.849877478253265843e+06,4.656218412939544767e+06,3.287194740460732486e+06
-2.849877337253026664e+06,4.656218503939783201e+06,3.287194831460971385e+06
-2.849877195252811536e+06,4.656218595939998515e+06,3.287194923461186700e+06
-2.849877052252618130e+06,4.656218688940192573e+06,3.287195016461380292e+06
-2.849876908252443653e+06,4.656218782940366305e+06,3.287195110461554490e+06
-2.849876763252286706e+06,4.656218877940523438e+06,3.287195205461711623e+06
