ref_vel_x (m/s),ref_vel_y (m/s),ref_vel_z (m/s)
5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.009999999999999787e+00,9.999999999999998473e-03,9.999999999999998473e-03
5.028999999999999915e+00,2.899999999999999453e-02,2.899999999999999453e-02
5.056099999999999817e+00,5.609999999999998321e-02,5.609999999999998321e-02
5.090489999999999959e+00,9.048999999999997323e-02,9.048999999999997323e-02
5.131440999999999697e+00,1.314409999999999745e-01,1.314409999999999745e-01
5.178296899999999425e+00,1.782968999999999804e-01,1.782968999999999804e-01
5.230467209999999589e+00,2.304672099999999779e-01,2.304672099999999779e-01
5.287420488999999613e+00,2.874204889999999457e-01,2.874204889999999457e-01
5.348678440099999598e+00,3.486784400999999312e-01,3.486784400999999312e-01
5.413810596089999372e+00,4.138105960899999269e-01,4.138105960899999269e-01
5.482429536480998955e+00,4.824295364809999542e-01,4.824295364809999542e-01
5.554186582832898900e+00,5.541865828329000099e-01,5.541865828329000099e-01
5.628767924549609170e+00,6.287679245496100577e-01,6.287679245496100577e-01
5.705891132094648377e+00,7.058911320946490431e-01,7.058911320946490431e-01
5.785302018885183806e+00,7.853020188851841388e-01,7.853020188851841388e-01
5.866771816996665834e+00,8.667718169966657227e-01,8.667718169966657227e-01
5.950094635296999002e+00,9.500946352969991127e-01,9.500946352969991127e-01
6.035085171767298640e+00,1.035085171767299084e+00,1.035085171767299084e+00
6.121576654590568545e+00,1.121576654590569211e+00,1.121576654590569211e+00
6.209418989131511246e+00,1.209418989131512134e+00,1.209418989131512134e+00
6.298477090218359997e+00,1.298477090218360885e+00,1.298477090218360885e+00
6.388629381196524015e+00,1.388629381196524681e+00,1.388629381196524681e+00
6.479766443076871774e+00,1.479766443076872218e+00,1.479766443076872218e+00
6.571789798769184898e+00,1.571789798769184898e+00,1.571789798769184898e+00
6.664610818892266586e+00,1.664610818892266364e+00,1.664610818892266364e+00
6.758149737003039448e+00,1.758149737003039670e+00,1.758149737003039670e+00
6.852334763302735610e+00,1.852334763302735610e+00,1.852334763302735610e+00
6.947101286972461764e+00,1.947101286972461986e+00,1.947101286972461986e+00
7.042391158275215446e+00,2.042391158275215890e+00,2.042391158275215890e+00
7.138152042447694079e+00,2.138152042447694079e+00,2.138152042447694079e+00
7.234336838202924724e+00,2.234336838202924724e+00,2.234336838202924724e+00
7.330903154382632181e+00,2.330903154382632181e+00,2.330903154382632181e+00
7.427812838944369389e+00,2.427812838944368945e+00,2.427812838944368945e+00
7.525031555049932486e+00,2.525031555049932042e+00,2.525031555049932042e+00
7.622528399544939326e+00,2.622528399544938882e+00,2.622528399544938882e+00
7.720275559590445091e+00,2.720275559590445091e+00,2.720275559590445091e+00
